audit_case_key	audit_split_code	reviewer_one_decision_sha256	reviewer_two_decision_sha256	adjudication_decision_sha256	independent_reviewers_agree	reviewer_one_expects_unresolved	reviewer_two_expects_unresolved	adjudicated_expects_unresolved
audit_case.round2b.sha256_002a90211ac85fcac261201bb2cac4bd2362889c2739f0ae08e9618f52a0cf0e	held_out	25333fbe0a969ab14639f9833dca2f9da2ef7523ddba28804c33b89013ccc3f6	0f11d9a6e114b94365286817e2f5a067b876cdea1cfd0ede29ef07324ade32a3	4b958e7e9e7225e0f3959549dfbc7326e87c212317cef196cfb351dde0410c71	true	false	false	false
audit_case.round2b.sha256_00333af62b10321b1166f42d32f2ecd968259f97400e8a19046d29bb1de0679d	held_out	a6d804bc410ee9fbd0f4a3b9a520ea525b1f1aedc2c35108772883a6f270cd85	524c6cad3604f17bb1664c924f75e412c70b07f37f5075e09aa23a61f5d69765	7612f289a9540776240181cbc65b36eae2b297d357088520e2504c4f7b7bd510	false	false	false	false
audit_case.round2b.sha256_00f0b5e5292d43667338afe6b040fa67f454e0c7f654cde9a923ef95e51fccb8	held_out	cafe962a14cf788759577b0b44df719be34b01efa7d69520f624d174417b6425	8b63f17df6a8ef3df1704f9ee4a3cf3a238a8d4af63293441128441ff1e944e5	12bf09d2fd7a29c5ad3c6326336cbe24dfd22b3fe4aea2293c466f8c4e4bfdcd	false	false	false	false
audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	development	f294fbd226cbead125b7511765ca736a8feae63912b29afa6e71164a66a10579	cadffff56e690606b898ff19a5bec7d46864a7b0fe798357c9c9ee6ed3340360	4e4efb1df656f98dd4488eb48586aee8122fc6248b41f471bbe454bba895869f	true	false	false	false
audit_case.round2b.sha256_0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	held_out	2f513792e841770292451beb59c358a5f80c4c754c9eed92a07be8589edfd2bb	2e5efd664f8b526c06ac8517e8086a32e527f545c3b1f56320c3c259349ff184	085335a07f4781586caff5ceaf8aaab80dd1d8661ca1292dfadb32f7d16012d2	true	false	false	false
audit_case.round2b.sha256_015c4fdfad8726cd26fba917eb92177ca35c4a2d6129283f0afc589a621b7a94	held_out	693006befcacd8d239cc0dea2500fb23a40a0ee39c757b0f83f3111a940a46f5	cc36a3db17a8fd953b4da1336b76a34be091b8d4a9f060e9d7ddfebe68a53bb2	717bb334d006b51778b8bb49f9953bb184058dcce4bebdbeee1d25d4210800cd	false	false	false	false
audit_case.round2b.sha256_01936e8a56207b245398ebcbd2e44e58dd8f83b4335ec3f5e9d215384b8c9571	development	efdf9b70261600e752b23b1b340e8647816c4a6e5e2dd9a40061d4a2be702600	c698fb991f67a578e14a5618905213f685a98186a9b0ed47c70ed79bca36814f	7305175d96141010abcd2ed5882ba1ed18e62e0d0156547e7abd2cac7133eae8	true	false	false	false
audit_case.round2b.sha256_01a06c5e92c0de21f987bff8974ad6d8525fe27031964d9ebfbd1ec004b12fb2	held_out	5b136a249b639e3933a0af762707a5f00965fc2568503293fa9b69c63ca62f1b	d169ce80ab8e5f6f743ccf08b0ef2b63b804fbee32fd020ce1e0647da51ed3f7	753696c1512a0bdda84983bf5ca17fb7df73034918886c364af61f05285eaab3	true	false	false	false
audit_case.round2b.sha256_01d7699c110cf7a5424927c0dacc5b0eec0e97a93737442aafc057224cdb6277	held_out	cbdfe6b7fd5214b82a69f9377e5cbaf0b53e0e14971d5c1b7b0d3315c0994b21	f6ec35abaac08745b5aabe43609226b14330012abbba524b173b9bb31c689a79	0f0b0550ab1633e614811a33558305386fb697f41864d5557caa5622c7b634e9	true	false	false	false
audit_case.round2b.sha256_022fee0b7a2c614d2d6f23748f18a2539f9b11bb1efdc7aeddaf65ee0b86bdd2	development	49297b4a1371a004b37f73a107dad339ef6595374501395cb3a2478022135de3	142c221d33d9672e4a57d593b1a2340cf16b616b995c8cd9e0132d15aaf9cbd5	a89fd8d7cde9c375fa8687cb8640028fe64c811c1e500ffede9486ee36cd2456	false	false	false	false
