audit_case_key	corpus_snapshot_key	normalization_pipeline_key	normalized_expression_identity_sha256	representative_expression_identity_sha256	representative_observation_expression_identity_sha256	occurrence_count	document_count	primary_stratum_code	stratum_codes_json	audit_split_code	selection_ordinal	split_ordinal	selection_sha256	tuning_eligible
audit_case.round2b.sha256_002a90211ac85fcac261201bb2cac4bd2362889c2739f0ae08e9618f52a0cf0e	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	5374982236ca091d369c2caaf94f4c01744988fed6bf102d33b0c36dbdccc25e	6bf382b911205ca82f74642f1ef2efea250ad8812a716af621e35484b51ffc50	435b40550586fe9c7f29a94e4f5cc119ab3bca23004e0756ad46fe9ab3e01f33	4	4	hard_negative	"[""hard_negative""]"	held_out	1	1	002a90211ac85fcac261201bb2cac4bd2362889c2739f0ae08e9618f52a0cf0e	false
audit_case.round2b.sha256_00333af62b10321b1166f42d32f2ecd968259f97400e8a19046d29bb1de0679d	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	f53638dab89770c76d9af31bf15c84b92297dfadf4d06fac3719d363a72a8024	757e95717ce8eaac39f3ff13d2926d8d2ada02ea7eaf3f1fa7bd7f92da9eaf7d	b44ef3f78de6b6ee847c5014ece868c4e62c57a3774df5d34fa6c3b3f6eef824	1	1	unresolved	"[""unresolved""]"	held_out	2	2	00333af62b10321b1166f42d32f2ecd968259f97400e8a19046d29bb1de0679d	false
audit_case.round2b.sha256_00f0b5e5292d43667338afe6b040fa67f454e0c7f654cde9a923ef95e51fccb8	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	e82dd178f92b389904e14cac784f817e9bd124b40e1d4ca74852a4dd281c559c	bc80a7038e5e63aa8e66d8ea3e37767c98375193fa7983d14e7f3e2ab2f65114	9e0bea914923923fcf09933508e90e305986e3a46ce392ccb1c3a5252add4fa0	1	1	unresolved	"[""unresolved""]"	held_out	3	3	00f0b5e5292d43667338afe6b040fa67f454e0c7f654cde9a923ef95e51fccb8	false
audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	c20d7a9d57750c62303a4abcf87ca5b0efe153743bd298b163eebd50985daf5f	4c849d1a87260c7d9da4f1bc85f7a8c786b716d6132738d9d787bb49f8258814	c5bf4cd1e61abd3869d81a568c8fd147c7c25b6f839b183b279a5d860ca5e740	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	4	1	010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	true
audit_case.round2b.sha256_0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	3cc9a97115cae1f2137fba8bb74ad39f4462854ac55ca6ba6bb08481a10fc72e	2d14ebc2d670e7a7d5f8a362c3b1b545615eb833e54852c36c4895b509d358a9	348dabd93b135afb2478404717ba16adca0e64d437f16a201869f3a550cb1db0	2	2	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	5	4	0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	false
audit_case.round2b.sha256_015c4fdfad8726cd26fba917eb92177ca35c4a2d6129283f0afc589a621b7a94	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	c75f50746f879ee7fa11fb8200d2ba9edbc0068a657c57319966e840b34ad00d	d071acf85574747623f5cd57bf55997ed7cb2613025457d49f86036127610d42	60ef1cb00b8e7d04f1365b510dae5715a9408a8e1d9c3252670fcdd7ab7a0063	1	1	hard_negative	"[""hard_negative""]"	held_out	6	5	015c4fdfad8726cd26fba917eb92177ca35c4a2d6129283f0afc589a621b7a94	false
audit_case.round2b.sha256_01936e8a56207b245398ebcbd2e44e58dd8f83b4335ec3f5e9d215384b8c9571	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	3d65ad85e9babae2e5ca28cf59124a5561bb7a75c33f3cb99cdd5729a622df5e	524fa3e7bb3732000c7c0272019fc0cd6bb615c416ce521d6b9470cd0009ba6b	d217fdbed8881e9927c13d32c35dd24ebd404369200f87bd05a9de3de1d4fe46	1	1	hard_negative	"[""hard_negative""]"	development	7	2	01936e8a56207b245398ebcbd2e44e58dd8f83b4335ec3f5e9d215384b8c9571	true
audit_case.round2b.sha256_01a06c5e92c0de21f987bff8974ad6d8525fe27031964d9ebfbd1ec004b12fb2	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	8845f971518850e9bb50de3de42dcee99d565ea71735bdd5824d3c2d641011fb	b201678de931a61c54bd610498f1c3ce9b958522cef3b43b85b8f47521615e4f	05a66c66e2ed56d18374d45168d71723675df56762160d3cb9d392266a26dbfd	26	26	hard_negative	"[""hard_negative""]"	held_out	8	6	01a06c5e92c0de21f987bff8974ad6d8525fe27031964d9ebfbd1ec004b12fb2	false
audit_case.round2b.sha256_01d7699c110cf7a5424927c0dacc5b0eec0e97a93737442aafc057224cdb6277	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	496b42cf8aed3a84adf60db6dfaaae0c068340392364ccbdd7868e31f7dd36fb	97e474a4342ac674735b917af27dc7cb257b46c4052588cebcfb47f81d14017c	b5d1063bfc54dc0910bd783624481e4c393cb40a1d42906c5ccf5a049f800849	1	1	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	held_out	9	7	01d7699c110cf7a5424927c0dacc5b0eec0e97a93737442aafc057224cdb6277	false
audit_case.round2b.sha256_022fee0b7a2c614d2d6f23748f18a2539f9b11bb1efdc7aeddaf65ee0b86bdd2	corpus_snapshot.firstbloom_a6cb002_pilot_v1	normalization.en_v1	76e6e5fe14067cc14fd8b749e7c731ab93e186b8a528b17d1faf95f46bfb8977	49b455bd8ac1a7a94e512f4dfd3923e7e344c51300b4fdc6036ed14678592a84	0cfea36a29be28d6b2960c959a13fea7edb49852087b4d0b82fcba62e65ec60f	8	8	orthographic_difficulty	"[""orthographic_difficulty"",""graph_reference""]"	development	10	3	022fee0b7a2c614d2d6f23748f18a2539f9b11bb1efdc7aeddaf65ee0b86bdd2	true
