audit_case_key	audit_split_code	expects_unresolved	concept_key	relevance_grade_code	adjudication_rationale_sha256	adjudicated_at
audit_case.round2b.sha256_002a90211ac85fcac261201bb2cac4bd2362889c2739f0ae08e9618f52a0cf0e	held_out	false	category.floral	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
audit_case.round2b.sha256_00333af62b10321b1166f42d32f2ecd968259f97400e8a19046d29bb1de0679d	held_out	false	sensory.fullness	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
audit_case.round2b.sha256_00f0b5e5292d43667338afe6b040fa67f454e0c7f654cde9a923ef95e51fccb8	held_out	false	category.tea	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
audit_case.round2b.sha256_00f0b5e5292d43667338afe6b040fa67f454e0c7f654cde9a923ef95e51fccb8	held_out	false	sensory.creamy_mouthfeel	1	2713a4f76a08c7f1355e72661faea076353506f2a75719c35ef43811026530a1	2026-08-24T08:30:00Z
audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	development	false	category.citrus	1	2713a4f76a08c7f1355e72661faea076353506f2a75719c35ef43811026530a1	2026-08-24T08:30:00Z
audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	development	false	sensory.grape	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	development	false	sensory.grapefruit	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
audit_case.round2b.sha256_0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	held_out	false	category.orchard_fruit	1	2713a4f76a08c7f1355e72661faea076353506f2a75719c35ef43811026530a1	2026-08-24T08:30:00Z
audit_case.round2b.sha256_0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	held_out	false	sensory.apple	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
audit_case.round2b.sha256_015c4fdfad8726cd26fba917eb92177ca35c4a2d6129283f0afc589a621b7a94	held_out	false	category.cocoa_chocolate	2	1a11d32db6665bda181bc46197634d43db9c32acef6666f4104f401ba4e5faef	2026-08-24T08:30:00Z
