retrieval_evaluation_key	model_run_key	retrieval_baseline_code	audit_split_code	retrieval_metric_value_key	retrieval_metric_code	cutoff_k	calculation_source
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_f997835266325a26f523e41619d864d5172534b9f5e67eee961d7cd269881264	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_09b3a15bf7b1d7b8654f05cdd1171f17c7c6df7f895c2e6054194578b3d6cca6	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_a3a97edd6385a78261fb3015451420e976aec72dde994b080a85f8f688fba4fa	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_1242a737adbba09f2f6cd1c5b5011282c382c1c0c0d97c3d9a525829d6092cb8	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_f398ca0313a90a6ef25d111dcd27fb6cb8015b16ef1c1acaa96cd3df6e8c5244	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_245c08fa7b882a7784993839ed6cc4fa2f64a909658ad06f3c37727d27a3b22c	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_01808335da53fba8a1359f4799d142ce2894c78d85be1a6aa0ecbe957dbcc246	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_b433dd1661f5b40878c70a6b94a379e4e7d4117358954fb479b33644e42c29d3	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_079bbc74ec3c7e125cdfb71382769884288e910caea91fdafd15826f8eb2fa20	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_f9a3f70e7c9cf15f09094d22b82f59db430610b6885bf823c53301bb6d9e51c3	model_run.round2b.deterministic_retrieval_v1.A	A	development	retrieval_metric_value.round2b.sha256_bf54b5ff3f06eb4bf44f5a614537b42aba964c89fb5b380568b400a60254604a	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_975e3d4189088d6ece2011197c6286a90a8ed7748fd27f0e1b746c9e36ef4352	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_53daba5d2ca9552ae30092443cae89c6edd8f5263883b84e9a0a6e8659668db3	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_a5791d32470a899ab0c5b878ed5e6e3990d3ac732ce602ef08da7ca9034b5510	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_b677e9e3c1795daef7f4ccf3c3a5ea3bb39e1a162f61046ea425aab771ff0825	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_eb1c2c5ace26099d875d1da23bc7a3ec76d7c8d47bcf451365cfb2356e92d252	ndcg_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_7e6220ed772985088868efa27d9e3bccff9a3eca812cb0db715bddf5bca8172d	coverage	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_6c8549f8e08c6f0352eff87d57b40d62a1b952c03bfb6517c4e22665d4ccb0d8	abstention_rate	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_0cdc8ef5b350b118b831533b753875172904c23492864ce7a8c618b80015fe45	abstention_error	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_e069eb3f51b60d32f96626ce0a16a71188807df1eec2c219cd35616f5ff936ca	median_candidate_set_size	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_b5d1c20012e60a47984283db42f27a266f17868de775571e640744cff959a29c	model_run.round2b.deterministic_retrieval_v1.A	A	held_out	retrieval_metric_value.round2b.sha256_0f6c5b3c34a0d3bc8c7f1cba814188b9b068788627fba70ae26df48dda9b4d5b	unsafe_nonabstention	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_a692719617f73d95f2208df148027c77274b9f5792401ca7fa630f765c61a42f	recall_at_k	1	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_19e20a17dd83e1726818c5eb6120f4d3122db734fdac37c07050dd6af12fe25e	recall_at_k	3	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_6fff088e5674363192fea5dc426c1d2765549ef46a074ea42ff86a0716a0ab9a	recall_at_k	5	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_58558292ed72d8d59dd45c3abe3c462ec88ca0fdf1c2e68c952f26d3ad6f05c2	mrr	0	audit.calculate_retrieval_metrics
retrieval_evaluation.round2b.sha256_ae268167586d84dfff61cef5edb2aced5aaa483fc5a87af1ce027bbce315d938	model_run.round2b.deterministic_retrieval_v1.B	B	development	retrieval_metric_value.round2b.sha256_6f9670cb3d60ff4c4eb2f0e729a51f32b7d1bfca124788a58ea46d60870bd58b	ndcg_at_k	5	audit.calculate_retrieval_metrics
