occurrence_key	document_key	source_family_key	source_key	source_version	raw_source_phrase	normalized_expression	language_tag	script	expression_role	source_locator	source_authored	deterministic_normalization	machine_translated	project_translation	preference_evidence	label_disposition	candidate_target_keys	review_state	training_eligible	duplicate_group_key	duplicate_reason	rights_state	privacy_state	provenance_complete	limitation
occurrence.global.r3j.guchengf.001	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	“烘焙”的味道也比较重	“烘焙”的味道也比较重	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L66:main/p[4]:chars[22:33]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.002	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	以“烘焙口感”为特色	以“烘焙口感”为特色	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L65:main/p[3]:chars[51:61]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.003	document.zh_hans.guchengf_2025_002	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	偏苦	偏苦	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/02_review-georgia-the-black-coffee-500ml.html#L69:main/p[5]:chars[55:57]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.004	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	几乎没有酸感	几乎没有酸感	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L66:main/p[4]:chars[7:13]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.005	document.zh_hans.guchengf_2025_002	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	口感基本符合常见的日式烘焙咖啡口感	口感基本符合常见的日式烘焙咖啡口感	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/02_review-georgia-the-black-coffee-500ml.html#L68:main/p[4]:chars[0:17]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.006	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	只有焦苦味	只有焦苦味	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L66:main/p[4]:chars[14:19]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.007	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	喝完之后嘴巴里一直都是苦的	喝完之后嘴巴里一直都是苦的	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L67:main/p[5]:chars[48:61]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.008	document.zh_hans.guchengf_2025_002	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	怪异的很突兀的酸苦感	怪异的很突兀的酸苦感	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/02_review-georgia-the-black-coffee-500ml.html#L69:main/p[5]:chars[29:39]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.009	document.zh_hans.guchengf_2025_003	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	整体口感更佳完整、饱满	整体口感更佳完整、饱满	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/03_review-ucc-shokunin-no-coffee-sugar-free-black-900ml.html#L67:main/p[3]:chars[88:99]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
occurrence.global.r3j.guchengf.010	document.zh_hans.guchengf_2025_004	family.round3j.guchengf-gucheen	guchengf.gucheen.coffee-reviews-2025	2025-posts-snapshot-20260826	日式咖啡那种烘焙咖啡豆的味道	日式咖啡那种烘焙咖啡豆的味道	zh-Hans	Hans	UNRESOLVED	db/data/round3j/raw/candidate.r3j.guchengf-coffee-reviews-2025/2025-posts-snapshot-20260826/04_review-kirin-fire-one-day-black-coffee-600-ml.html#L66:main/p[4]:chars[95:109]	true	NFKC_WHITESPACE_V1	false	false	false	UNRESOLVED	[]	SOURCE_REVIEWED	true		UNIQUE_EXACT_SOURCE_SUBSTRING	CLEARED	NO_PERSONAL_DATA	true	Unresolved is an abstention-capable training disposition, not a gold canonical mapping.
