paper_id	supported_methodological_point	data_unit	applicability	limitation	resulting_experiment_change
Zenodo20840464;M2_R5_PRIMARY	A/B/T are original grader observation units; independent T may repeat A concepts	196 sourceIDs/526rows;112 named historical D0records;79 DEV episodes/77groups	CC-BY4 metadata plus CC-BY-NC4 author restriction; noncommercial intersection; raw/weights private	4 repeated graders; blinding and C0/C1 unverified;0 new coffee material groups	Full fixed T59 evaluable records; fixed hidden T54; train A/A+B head and4-label increment under frozen target/mapping; source SHA85df699ea18f5849ef3104100a20570d5df13e7d6cc7ce53e20c3df8a5219150
10.25338/B8993H;10.1038/s41538-026-00779-7	CATA selection and JAR adequacy differ from intensity and liking	3186 judge-condition rows;118 judges;27 conditions;1 material	Existing CC0 source; current v4 CSV exactly matches R1 FULL hash	Metadata also says3168; 118x27 and actualCSV3186; later AI paper same collection	Reuse native CATA only;0 new sources/beans;unselected is ballot response,not absolute absence
10.3390/foods14040593	Repeated professional evaluation requires actual individual data	Acquired XML plus1-page roast-settings TableS1 PDF	Method evidence only; same R2 source/member hash	Individual espresso responses restricted for privacy/ethics; paper people not acquiredrows	No new training rows; do not invent repeated paired views
10.3390/foods15040678	A scorecard schema is not a filled observation	Acquired XML plus1-page PDF of6 blank scorecards	Method evidence only; same R2 inner PDF hash	Outer ZIP changed; underlying form unchanged; JAR/liking fields remain distinct	0 filled observations; no scorecard-derived targets
S0963996925000067	Public paper availability does not authorize raw-data reuse	No new request or file acquisition	STOP_USER_REPORTED_NO_SHARING_RIGHTS	Rights unavailable per user; no retry, bypass, contact, or payment	Exclude; retain stop outcome only
10.1371/journal.pone.0155845;10.17026/DANS-ZKE-2WGQ	Expert language can differ by modality and expertise without being unique truth	Existing Croijmans coffee smell/flavor responses	Reuse prior licensed collection and identity-linked views	Already R2/R3; not new people or coffee; comments are reported perceptions	Keep native smell/flavor pairing and expert-consumer distinction;0 new collection
10.17632/3yv7bdrczd.1	Information treatment can alter consumer evaluations	Actual xlsx93 rows;90 unique IDs;3 IDs repeated twice;1 coffee	CC BY4 actual file acquired and inspected	6 rows have ambiguous repeatedID; native scale anchors unresolved; treatment is not coffee identity	Quarantine sensory-rating fit; no93 independent-person or3-coffee claim
firstbloom-data@a6cb0026d1af9642724793c799bbc48dc189ba35	Reviews are observations; release-level tag sets are not individual ballots	1231 reviews;704 nonblank;805 releases/768 products;no participantID	Founder explicitly licenses data CC BY4; unused view of old collection	Marketing source rights separate; score zero/anchors unresolved; author and lot overlap unknown	Typed weak observation audit only; no new collection; aggregate tags never assigned to individuals
10.6084/m9.figshare.31895233.v2;10.1093/ijfood/vvag095	Cupping quality and literature odor annotations are different target types	26 actual repeat-quality rows;10 condition-level TableS8 descriptions;1 farm harvest	CC BY4 raw xlsx and official DOCX acquired	Paper says28 and nominal design30; real controls single rows; R1-R3 biological repeats,not graders	Preserve26; no imputation; chemical TableS6 odor labels excluded; no independent view claim
10.6084/m9.figshare.28333775.v1	Marginal question summaries cannot reconstruct respondent-level pairing	Actual summary workbook90x12; response count tables for2 coffee types	CC BY4 source workbook inspected	No participant-response matrix; predictive-focus appreciation differs from sensory truth	No fabricated cross-question pairs or main-task admission
