series_key	series_name	organizer	competition_level	evidence_priority	fresh_preparation_scope	official_url	verification_status	verified_on	limitation
wcc_competition_body_registry	WCC Competition Body Registry	World Coffee Championships / Specialty Coffee Association	NATIONAL_LICENSE_REGISTRY	REGISTRY_PRIORITY	Registry metadata only; preparation scope must be verified per body and competition	https://wcc.coffee/competition-bodies	VERIFIED	2026-08-27	Live embedded registry enumerated at 61 records; most records do not enumerate competition types, editions, results, scoresheets, or rights
wcc_wbc	World Barista Championship	World Coffee Championships	WORLD	P1_HIGH	Espresso service is fresh-prepared core evidence; milk beverage is auxiliary; signature beverage is excluded	https://wcc.coffee/world-barista-championship	VERIFIED	2026-08-27	Public rankings and forms do not establish reuse or model rights
wcc_wbrc	World Brewers Cup	World Coffee Championships	WORLD	P1_HIGH	Open and compulsory services use fresh manual filter preparation	https://wcc.coffee/world-brewers-cup	VERIFIED	2026-08-27	Entry-level sensory comments are not exposed in the public rankings
wcc_wlac	World Latte Art Championship	World Coffee Championships	WORLD	EXCLUSION_MAPPING	Fresh milk beverages are prepared, but judging is principally visual and not descriptor evidence	https://wcc.coffee/world-latte-art-championship	VERIFIED	2026-08-27	Not a core source for black-coffee flavor-language evidence
wcc_wcigs	World Coffee in Good Spirits Championship	World Coffee Championships	WORLD	EXCLUSION_MAPPING	Coffee-and-alcohol beverages are fresh-prepared but outside the authorized black-coffee core	https://wcc.coffee/world-coffee-in-good-spirits-championship	VERIFIED	2026-08-27	Irish Coffee and designer beverages contain alcohol or other additions
wcc_wctc	World Cup Tasters Championship	World Coffee Championships	WORLD	P2_CONTEXT	Fresh triangle sets test discrimination rather than eliciting flavor descriptors	https://wcc.coffee/world-cup-tasters-championship	VERIFIED	2026-08-27	Useful for discrimination-performance context, not descriptor labels
wcc_wcrc	World Coffee Roasting Championship	World Coffee Championships	WORLD	P1_HIGH	Production roasts are cupped fresh under competition protocol	https://wcc.coffee/world-coffee-roasting-championship	VERIFIED	2026-08-27	Public rankings do not expose all cup-level sensory fields
wcc_cic	Cezve/Ibrik Championship	World Coffee Championships	WORLD	P1_HIGH	Traditional cezve/ibrik service is fresh-prepared core evidence; signature service requires exclusion	https://wcc.coffee/cezve-ibrik-championship	VERIFIED	2026-08-27	Current rules index lists 2025-named scoresheets under the 2026 section
coe	Cup of Excellence	Alliance for Coffee Excellence	ORIGIN_COUNTRY_PROGRAM	P1_HIGH	Competition lots are blind-roasted and cupped across elimination stages	https://cupofexcellence.org/cup-of-excellence/	VERIFIED	2026-08-27	Public auction and farm pages do not establish descriptor-reuse or model rights
best_of_panama	Best of Panama	Specialty Coffee Association of Panama	ORIGIN_COUNTRY	P1_HIGH	Green-coffee lots are competition-roasted and cupped in national and international rounds	https://bestofpanama.org/about2026	VERIFIED	2026-08-27	Public result releases do not expose the complete judging dataset or reuse rights
