request_key	organizer	series_scope	contact_route	requested_years	requested_fields	public_results_use	public_descriptor_use	internal_research_use	public_derived_release	model_research_use	commercial_model_use	preparation_status	outbound_status	official_url	note
wcc_registry_request	World Coffee Championships / Specialty Coffee Association	wcc_competition_body_registry	community-partnerships@sca.coffee	CURRENT_AND_HISTORICAL	Machine-readable Competition Body registry; body identifiers; community; designation; licensed competition types; active years; official result and scoresheet routes; data custodian	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://wcc.coffee/competition-bodies	No email sent; request should ask separately for factual registry metadata and reuse/model permissions
wcc_championship_data_request	World Coffee Championships	wcc_wbc,wcc_wbrc,wcc_wlac,wcc_wcigs,wcc_wctc,wcc_wcrc,wcc_cic	community-partnerships@sca.coffee	2019-2026	Edition; competitor/result IDs; category; round; service; scoresheet version; numeric sensory fields; judge comments; descriptor text; rights and attribution requirements	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://wcc.coffee/rules-regulations	No email sent; exclude signatures, cocktails, visual-only fields, and non-descriptor discrimination data from core even if supplied
coe_data_request	Alliance for Coffee Excellence	coe	OFFICIAL_CONTACT_FORM	1999-2026	Country; year; lot ID; stage; cupping form version; category; score; public descriptors; jury comments; preparation protocol; licensing and model-use terms	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PENDING_FORM_TERMS_REVIEW	NOT_SENT	https://cupofexcellence.org/contact-us/	Contact form includes consent; no form opened or submitted and no terms accepted
bop_data_request	Specialty Coffee Association of Panama	best_of_panama	OFFICIAL_CONTACT_ROUTE_NOT_VERIFIED	2004-2026	Lot ID; category; national and international round scores; scoresheet version; sensory descriptors; comments; judging protocol; reuse and model-use rights	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PENDING_CONTACT_VERIFICATION	NOT_SENT	https://bestofpanama.org/about2026	No request sent; do not use the WCC registry listing as a substitute for a verified Best of Panama contact route
golden_bean_data_request	Golden Bean	golden_bean_americas,golden_bean_australasia,golden_bean_world_series	sean@goldenbean.com; greg.davis@goldenbeanamericas.com	2006-2026	Award Force export or equivalent; entry ID; edition; territory; category; round/tasting; preparation parameters; score fields; comments; medal; public-result and model-use permissions	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://goldenbean.com/pages/contact	No email sent; marketing aggregate of coffees judged must not be substituted for record-level inventory
iiac_data_request	International Institute of Coffee Tasters	iiac_ict	info@iiac.coffee	2006-2026	Anonymized product ID; edition/session; category A-I; preparation protocol; panel/judge ID; sensory-sheet version; attribute values; statistical profile; medal; reuse and model-use terms	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://www.iiac.coffee/en/privacy-policy	No email sent; request should preserve category exclusions and distinguish public profiles from licensed data
gca_data_request	Global Coffee Awards	global_coffee_awards	OFFICIAL_CONTACT_FORM	2025-2026	Region; edition; entry ID; filter/espresso/flat-white category; preparation protocol; panel composition; scores; private feedback; public winners; reuse and model-use terms	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PENDING_FORM_TERMS_REVIEW	NOT_SENT	https://globalcoffeeawards.com/contact-us/	No form submitted and privacy-policy acceptance not provided
toh_data_request	African Fine Coffees Association	taste_of_harvest	secretariat@afca.coffee	2023/24-2025/26	Country; season; national/regional round; sample ID; coffee type; preparation and cupping protocol; scoresheet version; scores; descriptors; comments; auction linkage; rights	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://afca.coffee/programs/taste-of-harvest/	No email sent; organizer-stated totals remain contextual claims, not acquired records
scaj_data_request	Specialty Coffee Association of Japan	scaj_jhdc,scaj_jbrc,scaj_jcrc,scaj_jsc,scaj_wsc	competition@scajconference.jp	2003-2026	Edition; competitor/result ID; round; category/service; score-sheet version; numeric fields; judge comments; descriptor language; translations; preparation data; public and model-use rights	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://scaj.org/footer-contents/legal-notice	No email sent; public PDF score sheets do not establish rights over completed competition records
racs_data_request	Royal Agricultural and Horticultural Society of South Australia	royal_adelaide_coffee_show	entries@adelaideshowground.com.au	2023-2025	Entry/result ID; class; preparation protocol; technical and consumer panel fields; scores; comments; awards; score-sheet versions; reuse and model-use permissions	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://www.royaladelaidecoffeeshow.com.au/	No email sent; 2026 pause does not imply historical-data permission
aica_data_request	Melbourne Royal	melbourne_royal_aica	OFFICIAL_CONTACT_ROUTE_NOT_VERIFIED	2013-2022	Entry/result ID; class; year; preparation protocol; panel and score fields; comments; awards; historical score-sheet versions; reuse and model-use permissions	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PENDING_CONTACT_VERIFICATION	NOT_SENT	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/	No request sent; series on hold and a current data-custodian route still needs verification
avpa_data_request	Agency for the Valorization of Agricultural Products (AVPA)	avpa_coffees_roasted_at_origin	contact@avpa.fr	2015-2026	Entry/result ID; edition; country; espresso or unfiltered-infusion class; sensory family; score; jury comments; award; preparation protocol; public and model-use permissions	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	REQUEST_REQUIRED	PREPARED	NOT_SENT	https://en.avpa.fr/	No email sent; public annual awards do not establish access to sensory sheets or downstream rights
