edition_key	series_key	edition_label	year	edition_type	country_or_community	official_url	verification_status	acquired_record_count	note
wcc_wbc_2026	wcc_wbc	2026 World Barista Championship	2026	WORLD_FINAL	Panama	https://wcc.coffee/world-barista-championship	VERIFIED_UPCOMING	0	Official page lists 22-25 October 2026; inventory only
wcc_wbrc_2026	wcc_wbrc	2026 World Brewers Cup	2026	WORLD_FINAL	Belgium	https://wcc.coffee/world-brewers-cup	VERIFIED_COMPLETED	0	Official page lists 25-27 June 2026 in Brussels; inventory only
wcc_wlac_2026	wcc_wlac	2026 World Latte Art Championship	2026	WORLD_FINAL	United States	https://wcc.coffee/world-latte-art-championship	VERIFIED_COMPLETED	0	Official page lists 10-12 April 2026 in San Diego; inventory only
wcc_wcigs_2026	wcc_wcigs	2026 World Coffee in Good Spirits Championship	2026	WORLD_FINAL	Belgium	https://wcc.coffee/world-coffee-in-good-spirits-championship	VERIFIED_COMPLETED	0	Official page lists 25-27 June 2026 in Brussels; excluded beverage family retained for scope control
wcc_wctc_2026	wcc_wctc	2026 World Cup Tasters Championship	2026	WORLD_FINAL	Thailand	https://wcc.coffee/world-cup-tasters-championship	VERIFIED_COMPLETED	0	Official page lists 7-9 May 2026 in Bangkok; inventory only
wcc_wcrc_2026	wcc_wcrc	2026 World Coffee Roasting Championship	2026	WORLD_FINAL	Belgium	https://wcc.coffee/world-coffee-roasting-championship	VERIFIED_COMPLETED	0	Official page lists 25-27 June 2026 in Brussels; inventory only
wcc_cic_2026	wcc_cic	2026 Cezve/Ibrik Championship	2026	WORLD_FINAL	United Arab Emirates	https://wcc.coffee/cezve-ibrik-championship	VERIFIED_COMPLETED	0	Official page lists 18-20 January 2026 in Dubai; inventory only
coe_nicaragua_2026	coe	Nicaragua Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Nicaragua	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_el_salvador_2026	coe	El Salvador Cup of Excellence 2026	2026	ORIGIN_COMPETITION	El Salvador	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_costa_rica_2026	coe	Costa Rica Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Costa Rica	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_honduras_2026	coe	Honduras Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Honduras	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_guatemala_2026	coe	Guatemala Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Guatemala	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_mexico_2026	coe	Mexico Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Mexico	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_thailand_2026	coe	Thailand Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Thailand	https://cupofexcellence.org/	VERIFIED_COMPLETED	0	Official page states auction complete and 25 of 25 lots shown; no records acquired
coe_taiwan_2026	coe	Taiwan Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Taiwan	https://cupofexcellence.org/	VERIFIED	0	Official 2026 program calendar; no records acquired
coe_peru_2026	coe	Peru Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Peru	https://cupofexcellence.org/	VERIFIED_UPCOMING	0	Official 2026 program calendar; no records acquired
coe_brazil_2026	coe	Brazil Cup of Excellence 2026	2026	ORIGIN_COMPETITION	Brazil	https://cupofexcellence.org/	VERIFIED_UPCOMING	0	Official 2026 program calendar; no records acquired
best_of_panama_2026	best_of_panama	Best of Panama XXX 2026	2026	ORIGIN_COMPETITION	Panama	https://bestofpanama.org/about2026	VERIFIED	0	National cupping 20-24 July and international cupping 28 July-1 August; no records acquired
