archive_key	series_key	edition_range	archive_type	official_url	verified_item_count	planning_estimate	access_state	rights_state	inspected_on	note
wcc_wbc_ucd_archive	wcc_wbc	HISTORICAL	OFFICIAL_LINKED_DIGITAL_COLLECTION	https://digital.ucdavis.edu/collection/ark:/87293/d3s756w20	0	UNKNOWN	PUBLIC_EXTERNAL_OFFICIAL_ARCHIVE	UNKNOWN	2026-08-27	Linked by WCC as previous rankings; item count not enumerated and no records acquired
wcc_wbrc_2026_rankings	wcc_wbrc	2026	OFFICIAL_RANKINGS_PDF	https://wcc.coffee/s/2026-WBrC-Rankings-Public.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Public rankings verified; item count not enumerated in this inventory
wcc_wbrc_past_rankings	wcc_wbrc	HISTORICAL	OFFICIAL_RANKINGS_ARCHIVE	https://wcc.coffee/wbrc-past-rankings	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Historical index verified; no results acquired
wcc_wlac_results_gap	wcc_wlac	UNKNOWN	RESULTS_ARCHIVE_NOT_VERIFIED	https://wcc.coffee/world-latte-art-championship	0	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	2026-08-27	No complete official archive route verified in this pass; visual-only family remains excluded from core
wcc_wcigs_results_gap	wcc_wcigs	UNKNOWN	RESULTS_ARCHIVE_NOT_VERIFIED	https://wcc.coffee/world-coffee-in-good-spirits-championship	0	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	2026-08-27	No complete official archive route verified in this pass; cocktail family remains excluded
wcc_wctc_results_gap	wcc_wctc	UNKNOWN	RESULTS_ARCHIVE_NOT_VERIFIED	https://wcc.coffee/world-cup-tasters-championship	0	UNKNOWN	REQUEST_REQUIRED	UNKNOWN	2026-08-27	No complete official archive route verified in this pass; discrimination evidence only
wcc_wcrc_2026_rankings	wcc_wcrc	2026	OFFICIAL_RANKINGS_PDF	https://worldcoffeechampionships.squarespace.com/s/2026-WCRC-Rankings-Public.pdf	0	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	2026-08-27	Public rankings verified; item count not enumerated in this inventory
wcc_wcrc_past_rankings	wcc_wcrc	HISTORICAL	OFFICIAL_RANKINGS_ARCHIVE	https://wcc.coffee/wcrc-past-rankings	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Historical index verified; no results acquired
wcc_cic_ucd_archive	wcc_cic	HISTORICAL	OFFICIAL_LINKED_DIGITAL_COLLECTION	https://digital.ucdavis.edu/collection/ark:/87293/d3s756w20	0	UNKNOWN	PUBLIC_EXTERNAL_OFFICIAL_ARCHIVE	UNKNOWN	2026-08-27	Linked by WCC as previous rankings; item count not enumerated and no records acquired
coe_competition_auction_archive	coe	HISTORICAL_THROUGH_LISTED_YEARS	OFFICIAL_COMPETITION_AND_AUCTION_ARCHIVE	https://cupofexcellence.org/competition-auction-results/	0	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	2026-08-27	Country/year archive verified; exact item count not enumerated
