source_key	series_key	official_owner	source_family_key	source_type	access_route	public_results_use	public_descriptor_use	internal_research_use	public_derived_release	model_research_use	commercial_model_use	access_state	automation_permission_state	official_url	verified_on	note
wcc_cb_registry_index	wcc_competition_body_registry	World Coffee Championships	wcc_competition_bodies	OFFICIAL_REGISTRY_INDEX	EMBEDDED_AIRTABLE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_EMBEDDED_REGISTRY	UNKNOWN	https://wcc.coffee/competition-bodies	2026-08-27	Public visibility is not reuse permission; live registry enumerated at 61 records
wcc_cb_events_calendar	wcc_competition_body_registry	World Coffee Championships	wcc_competition_bodies	OFFICIAL_EVENT_CALENDAR	EMBEDDED_AIRTABLE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_EMBEDDED_CALENDAR	UNKNOWN	https://airtable.com/embed/app1pNznDyJVzVef1/shr7oA61CVIwltOYg?viewControls=on	2026-08-27	Current-month event cards supplied partial competition-type evidence for eight bodies; not a historical results census
wcc_wbc_page	wcc_wbc	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/world-barista-championship	2026-08-27	Competition format and current edition metadata only; rights unknown
wcc_wbrc_page	wcc_wbrc	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/world-brewers-cup	2026-08-27	Service format and current edition metadata only; rights unknown
wcc_wlac_page	wcc_wlac	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/world-latte-art-championship	2026-08-27	Visual competition retained for exclusion mapping; rights unknown
wcc_wcigs_page	wcc_wcigs	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/world-coffee-in-good-spirits-championship	2026-08-27	Cocktail competition retained for exclusion mapping; rights unknown
wcc_wctc_page	wcc_wctc	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/world-cup-tasters-championship	2026-08-27	Discrimination format only; rights unknown
wcc_wcrc_page	wcc_wcrc	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/world-coffee-roasting-championship	2026-08-27	Roasting stages and current edition metadata; rights unknown
wcc_cic_page	wcc_cic	World Coffee Championships	wcc_world_series	OFFICIAL_SERIES_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://wcc.coffee/cezve-ibrik-championship	2026-08-27	Traditional and signature services require separation; rights unknown
wcc_rules_index	wcc_wbc	World Coffee Championships	wcc_world_rules	OFFICIAL_RULES_AND_SCORESHEET_INDEX	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DOWNLOAD_INDEX	UNKNOWN	https://wcc.coffee/rules-regulations	2026-08-27	Shared index for all seven WCC series; public downloads do not establish downstream or model rights
wcc_wbrc_rankings_2026	wcc_wbrc	World Coffee Championships	wcc_results	OFFICIAL_RESULTS_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://wcc.coffee/s/2026-WBrC-Rankings-Public.pdf	2026-08-27	Public ranking PDF; no entry-level sensory comments or rights grant verified
wcc_wcrc_rankings_2026	wcc_wcrc	World Coffee Championships	wcc_results	OFFICIAL_RESULTS_PDF	DIRECT_PUBLIC_PDF	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_OFFICIAL_PDF	UNKNOWN	https://worldcoffeechampionships.squarespace.com/s/2026-WCRC-Rankings-Public.pdf	2026-08-27	Public ranking PDF; no full cup-level sensory dataset or rights grant verified
coe_program	coe	Alliance for Coffee Excellence	coe_official	OFFICIAL_PROGRAM_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://cupofexcellence.org/	2026-08-27	Current program, farm, and auction display; public access is not reuse or model permission
coe_process	coe	Alliance for Coffee Excellence	coe_official	OFFICIAL_PROCESS_PAGE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_WEB_PAGE	UNKNOWN	https://cupofexcellence.org/cup-of-excellence/	2026-08-27	Official blind three-stage process; rights unknown
coe_archive	coe	Alliance for Coffee Excellence	coe_results	OFFICIAL_RESULTS_ARCHIVE	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_ARCHIVE_INDEX	UNKNOWN	https://cupofexcellence.org/competition-auction-results/	2026-08-27	Historical country/year listings are public; no blanket reuse rights verified
coe_farm_directory	coe	Alliance for Coffee Excellence	coe_results	OFFICIAL_FARM_DIRECTORY	DIRECT_PUBLIC_WEB	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PUBLIC_DIRECTORY	UNKNOWN	https://farmdirectory.cupofexcellence.org/listings/	2026-08-27	Pagination observed but item count not inferred from page count; no records acquired
