section	field_key	required_for_core	cardinality_or_type	controlled_values_or_rule	source_rule	note
IDENTITY	competition_series	true	one	OFFICIAL_ORGANIZER_IDENTITY	explicit official competition metadata	Stable series identity is independent of an edition or mirrored publisher page.
IDENTITY	edition	true	one	SERIES_LOCAL_EDITION_KEY	explicit official edition metadata	Edition must link to a calendar year and source snapshot.
IDENTITY	year	true	integer	OFFICIAL_REPORTED_YEAR	explicit official metadata	Do not infer an edition year from crawl time.
IDENTITY	category	true	one	VERSIONED_COMPETITION_CATEGORY	explicit official category or rulebook	Category never substitutes for preparation or roast without documented protocol linkage.
IDENTITY	round	true	one	VERSIONED_COMPETITION_ROUND	explicit official round or governed organizer export	Where a source only publishes a final aggregate, use the explicit published round state rather than inventing preliminary rounds.
IDENTITY	entry_or_lot_key	true	one	SOURCE_DECLARED_OR_GOVERNED_PSEUDONYMOUS_KEY	explicit source identifier or deterministic governed key	A page URL is not an entry identity.
IDENTITY	coffee_identity	true	one_or_more_links	SOURCE_DECLARED_OR_GOVERNED_PSEUDONYMOUS_KEY	explicit source coffee fields	Repeated appearances retain the same identity where evidence supports linkage; ambiguity is explicit.
IDENTITY	preparation_service	true	one	VERSIONED_PREPARATION_SERVICE	official category, protocol, scoresheet field, or entry metadata	Defines the beverage evaluation event and supplies C0 evidence where permitted.
IDENTITY	effective_record_key	true	derived_unique	series_x_edition_x_category_x_round_x_entry_or_lot_x_preparation_service	all identity components	This is the effective professional coffee record grain.
PROTOCOL	rule_version	true	one	VERSIONED_OR_EXPLICIT_NOT_PUBLISHED	official rule document or source-declared absence	A record cannot pass a core gate without a rule/protocol decision and evidence path.
PROTOCOL	scoresheet_version	conditional	zero_or_one	VERSIONED|NOT_APPLICABLE|NOT_PUBLISHED	official scoresheet or source-declared state	Required where structured judge fields rely on a scoresheet; otherwise retain an explicit status.
PROTOCOL	fresh_preparation_confirmed	true	boolean	true	official category, protocol, scoresheet, or entry metadata	Product title or common practice is insufficient.
PROTOCOL	fresh_preparation_basis	true	one_or_more_links	SOURCE_SPAN_OR_VERSIONED_PROTOCOL	explicit official evidence	The evidence is retained even when shared by every record in an edition/category.
PROTOCOL	core_eligible_preparation	true	boolean	standardized_cupping|green_competition_cupping|production_roast_cupping|filter|pour_over|competition_batch_filter|immersion|siphon|manual_pressure|hybrid|espresso|espresso_plus_water|fresh_cezve_ibrik|fresh_cold_extraction	official preparation evidence	Fresh milk and plant-milk services are stored only as auxiliary strata.
PROTOCOL	excluded_preparation	true	must_be_false_for_core	rtd|bottled|canned|shelf_stable_cold_brew|instant|soluble|flavored|coffee_cocktail|noncoffee_signature_drink	explicit source evidence	Exclusion has priority over a generic coffee category.
EVIDENCE	professional_evidence_tier	true	one	P1|P2	governed tier decision	P3-P5 never count toward 7,000 or 10,000.
EVIDENCE	judge_or_panel_provenance	conditional	one_or_more_links	JUDGE|HEAD_JUDGE|PANEL|ORGANIZER_AGGREGATE	explicit official source	P1 requires judge/panel lineage; P2 requires an organizer-published professional basis.
EVIDENCE	official_sensory_payload	true	at_least_one	OFFICIAL_SCORE|OFFICIAL_DESCRIPTOR	explicit official field or text span	A ranking-only row is not an effective professional sensory record.
EVIDENCE	source	true	one	GOVERNED_SOURCE_ID	canonical official source identity	Mirror publishers link to the same upstream origin and never create independent evidence.
EVIDENCE	snapshot	true	one	IMMUTABLE_SNAPSHOT_ID	lawfully acquired official artifact	Snapshot metadata includes retrieval time, version, access method, and canonical URL.
EVIDENCE	source_file_hash	true	one_per_local_file	SHA256	bytes actually acquired	Every admitted source file must hash-match its manifest.
EVIDENCE	raw_source_span	conditional	one_or_more	VERBATIM_SOURCE_LOCAL_SPAN	explicit source text	Required for descriptors and notes. Preserve language and offsets or stable source-local anchors.
ASSERTION	assertion_type	true	one	OFFICIAL_JUDGE_DESCRIPTOR|OFFICIAL_PANEL_CONSENSUS_DESCRIPTOR|OFFICIAL_AGGREGATED_DESCRIPTOR|OFFICIAL_STRUCTURED_SCORE	explicit official evidence	Only these four enter the P1/P2 core ground-truth layer; OFFICIAL_STRUCTURED_SCORE links a score evidence assertion but numeric score rows remain in structured_score and do not increment PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT.
ASSERTION	auxiliary_assertion_type	false	one	COMPETITOR_DECLARED_DESCRIPTOR|ROASTER_SUBMITTED_DESCRIPTOR|ORGANIZER_MARKETING_DESCRIPTION	explicit source evidence	Auxiliary assertions remain separated from core evidence.
ASSERTION	consensus_lineage	conditional	one_or_more_judge_observations	REQUIRED_FOR_PANEL_CONSENSUS	derived only from linked official observations	Consensus never overwrites or replaces judge-level evidence.
ASSERTION	semantic_inference_used	true	boolean	false	not applicable	Do not infer descriptors from origin, process, variety, score, category, or model output.
ASSERTION	structured_score_dimension	conditional	versioned_field_key	SOURCE_NATIVE_FIELD	official scoresheet or export	Preserve native score semantics; do not silently pool incompatible systems.
ASSERTION	professional_descriptor_assertion_metric	true	rule	COUNT_EXPLICIT_DESCRIPTOR_TEXT_OR_SOURCE_DEFINED_DESCRIPTOR_IDENTITIES_ONLY	explicit official descriptor evidence	OFFICIAL_STRUCTURED_SCORE numeric rows are reported through STRUCTURED_SCORE_COUNT and never inflate PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT.
COUNTING	judge_observation_counting	true	rule	ONE_ROW_PER_ACTUAL_JUDGE_OBSERVATION	official judge/panel source	Judge observations are reported separately and never counted as effective coffee records.
COUNTING	repeated_round_counting	true	rule	SEPARATE_EFFECTIVE_ROUND_SERVICE_WITH_LINKAGE	official identity and round evidence	One coffee identity and entry may have multiple legitimate linked round-service observations.
COUNTING	distinct_entry_service_ratio	true	decimal_0_to_1	unique_entry_service_count_div_effective_round_service_record_count	governed inventory	Must be at least 0.60 at 7,000; 0.65 is preferred at 10,000.
COUNTING	duplicate_group	conditional	zero_or_one	GOVERNED_DUPLICATE_GROUP	identity and source evidence	Mirrors and duplicate publications remain visible but count once.
COUNTING	repeat_relationship	conditional	zero_or_more	EARLIER_ROUND|LATER_ROUND|CROSS_CATEGORY|AUCTION_REPUBLICATION|ROASTER_REPUBLICATION|OTHER_REVIEWED	explicit evidence and governed review	Unlinked repeats block gate credit when relationships cannot be resolved.
COUNTING	source_family_identity	true	one	INDEPENDENT_UPSTREAM_JUDGING_PROGRAM_OR_DATA_CUSTODIAN	organizer identity, governance, upstream origin, and rights evidence	Multiple sites, mirrors, editions, categories, or exports do not create families. A national/country program is independent only with independently governed judging/data custody and a separate rights decision.
RIGHTS	public_results_use	true	decision	true|false|pending|not_applicable	source-specific evidence	Public visibility is not a model-use grant.
RIGHTS	public_descriptor_use	true	decision	true|false|pending|not_applicable	source-specific evidence	May differ from public result metadata rights.
RIGHTS	internal_research_use	true	decision	true|false|pending|not_applicable	source-specific evidence	Must be true for an observed core record.
