context_id	context_parts	statement_zh	statement_en	evidence_state	citation_ref	source_id
C0_ESPRESSO	C0:espresso	意式浓缩放大醇厚度与油脂，前段高挥发花果香被压缩。	Espresso amplifies body and oils; the volatile floral and fruit top notes are compressed.	OWNER_STATEMENT	owner 2026-09-12	owner
C0_COLD_BREW	C0:cold_brew	冷萃抑制低挥发酸，酸质与花香偏弱，甜感与醇厚更突出。	Cold brew suppresses the low-volatility acids: less acidity and floral lift, more sweetness and body.	OWNER_STATEMENT	owner 2026-09-12	owner
C0_V60	C0:pour_over_v60	手冲常见的表现是花香与果酸更清晰，醇厚较轻。	Pour-over tends to show florals and fruit acidity more clearly, with a lighter body.	OWNER_STATEMENT	owner 2026-09-12; reworded OWNER_COPY_REVIEW_2026-09-12 (tendency wording, no genetic ceiling / no cause asserted from the description)	owner
C0_FRENCH_PRESS	C0:french_press	浸泡式萃取带入更多油脂与细粉，醇厚度上升，干净度下降。	Immersion brewing carries more oils and fines: more body, less clarity.	OWNER_STATEMENT	owner 2026-09-12	owner
C1_LIGHT	C1:light	浅烘保留更多绿原酸与高挥发香气，酸质与花果香突出。	Light roasts keep more chlorogenic acids and volatile aromatics: acidity and floral-fruit notes lead.	OWNER_STATEMENT	owner 2026-09-12	owner
C1_MEDIUM_LIGHT	C1:medium_light	中浅烘保留花果酸质，同时开始形成焦糖化甜感。	Medium-light roasts keep the floral-fruit acidity while caramelisation sweetness begins.	OWNER_STATEMENT	owner 2026-09-12	owner
C1_MEDIUM	C1:medium	中烘平衡酸质与美拉德产物，坚果与焦糖增强。	Medium roasts balance acidity against Maillard products: nut and caramel rise.	OWNER_STATEMENT	owner 2026-09-12	owner
C1_MEDIUM_DARK	C1:medium_dark	中深烘美拉德产物占比高，醇厚度、巧克力与苦感上升，酸质下降。	Medium-dark roasts are Maillard-dominated: body, chocolate and bitterness rise, acidity falls.	OWNER_STATEMENT	owner 2026-09-12	owner
C1_DARK	C1:dark	深烘绿原酸大量降解，焦糖苦与烟熏占主导。	Dark roasts degrade most chlorogenic acids: caramelised bitterness and smoke dominate.	OWNER_STATEMENT	owner 2026-09-12	owner
C1_VERY_DARK	C1:very_dark	极深烘以碳化与烟熏为主，品种与产地特征基本被覆盖。	Very dark roasts are carbonised and smoky; origin and variety character is mostly covered.	OWNER_STATEMENT	owner 2026-09-12	owner
