surface_term_zh	surface_term_en	primary_dimension	canonical_concept_id	secondary_effects	source	owner_reviewed	display_eligible
桂花	osmanthus	floral			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
栀子花	gardenia	floral			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
咖啡花	coffee blossom	floral	sensory.jasmine		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
白兰花	white magnolia	floral			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
洋甘菊	chamomile	floral	sensory.chamomile		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
巨峰葡萄	Kyoho grape	fruity	sensory.grape		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
荔枝	lychee	fruity			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
杨梅	bayberry	fruity			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
西梅	prune	fruity	sensory.prune		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
青梅	green plum	fruity	sensory.plum	sour side; acidity 0.5	OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
红心芭乐	pink guava	fruity			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
冰糖雪梨	rock-sugar pear	sweetness	sensory.pear		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
太妃糖	toffee	sweetness	sensory.caramel		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
麦芽糖	maltose	sweetness	sensory.malt		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
黑糖	dark brown sugar	sweetness	sensory.molasses		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
罗汉果甜	monk-fruit sweetness	sweetness			OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
高山龙井	high-mountain Longjing	herbal_green	sensory.green_tea		OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
武夷岩茶	Wuyi rock tea	herbal_green	sensory.black_tea	roasted oolong; woody 0.3	OWNER_SUPPLEMENT_MATRIX_2026-09-12 (大众点评/小红书/淘宝 roaster labels); GACTT expansion pending (Step 5)	true	true
