question_id	kind	parent_option	option_id	position	role	label_zh_cn	label_en	deltas	focus	concepts	card_row_zh_cn	card_row_en	basis	owner_reviewed	lead_in_zh_cn	lead_in_en	short_zh_cn	short_en
A	core		A1	1	data	柑橘：{examples}那种	Citrus: like {examples}	acidity:2;fruity:1	acidity:*	lemon|lime|orange|grapefruit|pink_grapefruit|bergamot			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	柑橘那种酸之后，	After that citrus acidity, 	柑橘	citrus
A	core		A2	2	data	莓果：{examples}那种	Berries: like {examples}	acidity:1;fruity:2	fruity:berry	raspberry|strawberry|blueberry|blackcurrant|blackberry|pomegranate			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	莓果那种酸之后，	After that berry-like acidity, 	莓果	berries
A	core		A3	3	data	核果：{examples}那种	Stone fruit: like {examples}	acidity:1;fruity:2;sweetness:0.5	fruity:stone	cherry|plum|peach			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	核果那种酸之后，	After that stone-fruit acidity, 	核果	stone fruit
A	core		A4	4	data	苹果、梨、葡萄那种清爽的酸甜	Apple, pear or grape: crisp and lightly sweet	acidity:1;fruity:1.5	fruity:grape_pome	grape|apple|pear			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	苹果、葡萄那种清爽的酸之后，	After that crisp apple-and-grape acidity, 	苹果、梨、葡萄	apple, pear and grape
A	core		A5	5	data	热带水果：{examples}那种	Tropical fruit: like {examples}	fruity:2;sweetness:1	fruity:tropical	mango|pineapple|banana|coconut			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	热带水果那种酸甜之后，	After that tropical fruit, 	热带水果	tropical fruit
A	core		A6	6	data	果干：葡萄干、西梅那种带甜的酸	Dried fruit: like raisin or prune, sweet and sour	fruity:1.5;sweetness:1;fermented_winey:0.5	fruity:dried	raisin|prune			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	果干那种带甜的酸之后，	After that dried-fruit tang, 	果干	dried fruit
A	core		A7	7	data	发酵的酸：像酸奶、红酒、酒酿	Fermented: like yoghurt, red wine or rice wine	acidity:1;fermented_winey:2		wine_like_character|fermented_character|alcoholic			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	发酵的酸之后，	After that fermented acidity, 		
A	core		A8	8	data	尖酸，有点刺激	Sharp and sour, a little harsh	acidity:2;bitter_roasted:1;defect:0.5		sour|acetic_vinegar			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	尖酸之后，	After that sharp sourness, 		
A	core		A0	9	fifth	酸不突出，整体圆润 ‖ 几乎喝不出酸，整体很柔和 ‖ 酸融在整体里，不单独显出来	Acidity doesn't stand out; the cup feels round ‖ Hardly any acidity; the cup is soft overall ‖ The acidity sits inside the whole and never comes forward	body:1					OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	酸不突出的话，	With the acidity in the background, 		
A	core		A-	10	unanswered	这一项很难形容 ‖ 这一项我说不上来 ‖ 我恐怕很难准确回答	This one is hard to describe ‖ I can't put this one into words ‖ I'm afraid I can't answer this accurately						OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true				
B	core		B1	1	data	花：{examples}	Flowers: {examples}	floral:3		jasmine|rose|orange_blossom|chamomile			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	花香之后，	After the floral notes, 	花	flowers
B	core		B2	2	data	茶：红茶、绿茶、乌龙	Tea: black, green or oolong	herbal_green:2;floral:1	herbal_green:tea	black_tea|green_tea			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	茶感之后，	After the tea notes, 	茶	tea
B	core		B3	3	data	草本：薄荷、柠檬草	Herbs: mint, lemongrass	herbal_green:3	herbal_green:herb	mint|lemongrass|eucalyptus|fresh_grass|green_vegetal|hay			OWNER_REVIEWED_2026-09-19 (R3-D40 wording review; deltas and focus are the operator's draft)	true	草本的香气之后，	After the herbal notes, 	草本	herbs
