effective_record_id	body_axis_percentile	acidity_axis_percentile	roast_level	origin_country	basis
effective-b2:0002c41f30affea9086704b4	0.1010	0.1316	Medium	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00069b539417d36f848c56d2	0.8060	0.8228	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:000728619c87ff1854d2aa0a	0.3865	0.1316	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:001392f080ce03d04113a7c2	0.8060		Light	El Salvador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:002d861f1a19fee73783894c	0.3865	0.8228	Medium	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:002e852d76a36192a52f880c	0.8060	0.4250	Medium	Costa Rica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0039762abdb09cc437445f56	0.8060	0.8228	Medium-Light	Ecuador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:003c7f9e80cd558c80f6bbee	0.8060	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:005a1031ca9bf955b1d59ceb	0.8060	0.4250	Medium	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0071245ca90894694b391ce0	0.1010	0.1316	Medium	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:008ac2338bf444c0230bd67f	0.3865	0.1316	Dark	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00917f4509f669126c3292c8	0.3865	0.8228	Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0091c7ed4de7a439e3bbf97c	0.8060	0.8228	Medium-Light	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0094d9868ace1c6b476c2ebe	0.0270	0.0029	Very Dark	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00995f94882839c8365adc67	0.1010	0.1316	Medium	Jamaica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00a2dadaa4d481bea5e76b51	0.3865	0.4250	Medium-Light	Rwanda	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00b78df71bb66052ef1cf160	0.0270	0.0470	Dark	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00ba607cb71843c4fbe5c2a0	0.8060	0.4250	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00d015ea4e042a00270abb71	0.3865	0.1316	Very Dark	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00d3d23b0827de5368b571c3	0.8060	0.8228	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00d49fae07bf07d74ab52d1a	0.8060	0.8228	Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00d5b75bd6fdf5db5286bc19	0.3865	0.4250	Medium-Light	Mexico	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00ecbe2cff6cf328b6a2215c			UNREPORTED	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00ef68930aa596bf264d5ffd	0.1010	0.0470	Medium-Light	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00f0289cf7b90115684d866d	0.8060	0.8228	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00f3b79687f4f65cf0fb544e	0.3865	0.8228	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00f675ba3b17bee35a817003	0.1010	0.1316	Medium	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:00fc2e7fd720d41728d9f287	0.3865	0.1316	Very Dark	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0106fdf0226aaa9e03d8f4bf	0.3865		NA	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:010c9103c8e310433e6a1ddb	0.8060	0.8228	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0111c719bc6ee64d743815ea	0.8060	0.1316	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:011372324992342f6fcb5dd4	0.3865	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:012998f51fabd7e7d2a16be2	0.8060	0.4250	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:012b9b7e63eb6647b7018677	0.8060	0.8228	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01361e482770c2add8f605d2	0.8060	0.4250	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0138d23a3e53e78f45437005	0.3865	0.8228	Medium-Light	Peru	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0142a2bf594252a230d884a6	0.8060	0.1316	Medium-Light	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:014bd77cff1b009ab1ef79f4	0.8060	0.8228	NA	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:015e8cd86dda63c0a8c742d2	0.8060	0.8228	Medium-Light	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:015ef7bb948187b7314f7494	0.3865		Medium-Light	Brazil	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01666f1cd27e4eabf7cd9eea	0.8060	0.4250	Light	Yemen	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:017bd1f31a2e6f71ad32d661	0.1010		Very Dark	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:018a5a60bc6a3dcbd1114c4c	0.3865	0.4250	Medium	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:018a5cad3866fd3e8a9641b2	0.3865		Medium	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:018ab8fef96c61aa5ec80553	0.3865	0.8228	Light	Guatemala	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:018c4fd50830b2bca1dc52d5	0.3865	0.4250	Medium	Rwanda	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:018ffc19bb66a254b7d4df20	0.3865	0.1316	Medium	Papua New Guinea	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01a271b1d68182304a66c188	0.8060	0.8228	Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01a286321fce9d86edbdc816	0.1010	0.0224	Medium	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01a5fe8b219ce4b3b7b0b943	0.8060	0.8228	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01a652e035230e63bc3fef04	0.3865	0.1316	Medium	Honduras	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01adee92a49794035cf407b5	0.3865	0.0224	Dark	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01b0f57235d2959b7901be90	0.3865	0.4250	Medium	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01b4e53b3b77399bce67132f	0.3865	0.8228	Medium	Costa Rica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01b64558017d1423e8af3b48	0.1010	0.4250	Medium-Dark	Papua New Guinea	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01bd19af33139cbc74abdaa0	0.3865		Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01c15240aeaec0e56bca3972	0.8060		NA	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01c606b51ba325ea03fc4c67	0.3865	0.8228	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01c6d19cad4fc3357669475a	0.3865	0.4250	Medium-Light	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01cdae7348911e7982c93653	0.8060	0.8228	Medium-Light	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01d59093c6484bd87aebab67	0.3865	0.1316	Medium	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01d7999d54f643c781ed1d50	0.8060	0.8228	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01d8739e96ba0eff063f3dcf	0.8060	0.8228	Medium-Light	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01d9ee092e059135be2812e8	0.3865	0.4250	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01dccab9cea09f52120af715	0.1010	0.4250	Medium-Dark	Costa Rica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01dd9dbfb542c9a7bc517b73	0.8060	0.8228	Medium-Light	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01de0609f49e562ef63edae3	0.3865	0.4250	Medium	Dominican Republic	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01f544c52bf3b978176c0d73	0.8060	0.8228	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01f71a602564b49812fe3728	0.3865	0.4250	Medium-Light	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01f8dd909dd8d10f529dc8b8	0.3865	0.4250	Medium	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:01fe47e137ba5c21a553c5fc	0.1010	0.0470	NA	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0202231dfa0c2d91dd0865a4	0.3865	0.8228	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:022134ef95dbda10192d4334	0.8060		Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:022d613ee59704988d6c4435	0.3865	0.4250	Medium-Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:022f7577b32bad8cc7084d41	0.8060	0.4250	Medium	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:023882cf998969ba4fb955ae	0.8060	0.8228	Medium-Light	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:023f337e807f5bdd856a1950	0.3865	0.4250	Medium-Light	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02400b4f1f5fc3c9b8c13306	0.3865	0.0470	Medium-Dark	Puerto Rico	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0245ce7e65e29198f731ce2e	0.3865	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0247ca22b15e90d5efe03b91	0.3865	0.1316	Medium	Timor	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0255340ed005826936547be1	0.0067	0.1316	Medium-Dark	Guatemala	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:025a84564a49bcfaf9f82f77	0.3865	0.4250	Medium	Bolivia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0267651803661e23eb3a2d96	0.8060	0.8228	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02704e0a112a902d2d7119ad	0.3865	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0271fdbc79f6d59dc8576f17	0.8060	0.8228	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:027e2586409e15aa7401050d	0.0270	0.0470	Medium-Dark	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:028167cc55ce222ffab600a3	0.8060	0.8228	Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:028b1fe6ed4aba041e379bec	0.3865	0.4250	Medium-Light	Guatemala	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:028efdea56e51ab1427c5130			UNREPORTED	Jamaica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:029351d7c357babb4fe23769	0.3865	0.0470	Very Dark	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02b5a47f28b024ad7283551c	0.3865	0.4250	Medium	Costa Rica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02b6d8c6562054a40795057c	0.3865	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02bc5c36fec02a3df86fc7e9	0.8060	0.8228	Light	Ecuador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02c928c465e865e2608b3f40			UNREPORTED	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02cc5bfdfe2a9d25ef6ea230	0.3865	0.8228	Medium-Light	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02cea32977aaf31883b8324a	0.3865	0.8228	Light	Costa Rica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02d422b41e1e6c22d7980dfc	0.1010	0.4250	Medium	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02dcfbd16df21e9b4561976e	0.3865	0.8228	Medium-Light	Panama	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02e33f55ccba87da0577bfd1	0.8060	0.4250	Light	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02e45f058a0d9999f414c90e	0.1010		Dark	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02e77c5b6b0461f850fbdebd	0.1010	0.4250	Medium-Light	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02f15f7ff3cbb8f507fa99e3	0.3865	0.8228	Medium-Light	Costa Rica	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02f89ce8f85f71944949a1a3	0.3865	0.4250	Medium-Light	Rwanda	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:02fa5349f6ae1c14dd5ec6f0	0.3865	0.8228	Medium-Light	El Salvador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0309e4a6d4a197f8220028d7	0.3865	0.4250	Medium	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:030f90fb69f0570dacde30b5	0.3865	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03179c0b24292650f7b2fc23	0.3865	0.1316	Medium	Brazil	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:031aee66cdcfb6f5469819ce	0.8060	0.8228	Medium-Light	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:031bd4135da626b938690e4b	0.8060	0.4250	Medium-Light	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:032830a2d5106f66ed0903cf	0.8060	0.8228	Medium-Light	Guatemala	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:032edd7e77e0db4e333efc3c	0.3865		Medium-Dark	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:033437d12a02e84749a38726	0.3865	0.4250	Medium	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0334ffc338601c196c1252f7	0.8060	0.8228	Medium-Light	Hawaii	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:034ad8de99a923cd9f59c1ed	0.0067	0.1316	NA	Kenya	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:034c93a8782709338a96ac6e	0.3865	0.4250	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:034d0ac998be336d9f93912e	0.3865	0.4250	Medium	Brazil	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:034fcdae3b01521428c7fd53	0.3865	0.8228	Medium-Light	Ecuador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03551330ac1390bdfa577a7e	0.3865		Medium-Dark	UNRESOLVED	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03602d299c0800a08f3832c5	0.3865	0.4250	Medium	Guatemala	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:036161f5d45d1a80b94136da	0.3865	0.4250	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0363359a3928595f761c0210	0.3865	0.8228	Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03713b9168e12cef2e1b321b	0.3865	0.1316	Medium	Guatemala	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03826c2e4f1b7c5bc3348d4c	0.3865	0.1316	Medium	Mexico	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:0382f1dfcbc77cf527372167	0.8060	0.8228	Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:038a60f3412b706d10825d1a	0.3865	0.4250	Medium-Light	Burundi	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03b072b68e3ecd0444854945			UNREPORTED	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03b40e3d6f21403d1ef53f96	0.8060	0.4250	Medium-Light	Peru	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03b640094323765c21bb711a	0.3865	0.4250	Medium-Light	El Salvador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03c5d8776f89600901cc322e	0.3865		Medium-Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03ce6cdaf0ec5e457ac4e299	0.1010		Very Dark	Indonesia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03d1488e9c85712d48bfd8f1	0.8060	0.8228	Light	Ecuador	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03da578ee5478d5eea5f1d2f	0.1010	0.4250	Light	Ethiopia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
effective-b2:03df57de85e2b28eb5ea6a56	0.8060	0.4250	Light	Colombia	COFFEEREVIEW_EDITORIAL_1_10_RANK_PERCENTILE;OWNER_D-OPEN-3
