term_en	respondents	dimension	canonical_concept_id	mapping_basis	source
chocolate	895	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
fruity	892	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
fruit	584	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
nutty	471	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
apple	463	fruity	sensory.apple	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
sweet	455	sweetness	sensory.sweet	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
caramel	433	sweetness	sensory.caramel	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bright	352	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
sour	352	acidity	sensory.sour	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bitter	316	bitter_roasted	sensory.bitter	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
citrus	312	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
dark chocolate	311	nutty_chocolate	sensory.dark_chocolate	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
blueberry	305	fruity	sensory.blueberry	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
earthy	285	woody_earthy	sensory.earthy	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
berry	258	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
smooth	257	body	sensory.smooth_mouthfeel	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
berries	238	fruity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cherry	233	fruity	sensory.cherry	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
acidic	226	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
lemon	222	acidity	sensory.lemon	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
fermented	221	fermented_winey	sensory.fermented_character	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
acidity	217	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
floral	192	floral		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
juicy	176	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
body	156	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
bitterness	145	bitter_roasted		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
raspberry	141	fruity	sensory.raspberry	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
burnt	137	bitter_roasted	sensory.burnt	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
chocolatey	133	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
roasty	133	bitter_roasted	sensory.roasted_character	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
mouthfeel	127	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
orange	123	fruity	sensory.orange	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
acid	122	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
strawberry	121	fruity	sensory.strawberry	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
green	119	herbal_green		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
honey	117	sweetness	sensory.honey	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
woody	115	woody_earthy	sensory.woody	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tea	114	herbal_green		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
nuts	113	nutty_chocolate		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
tart	113	acidity		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
funky	109	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
blackberry	107	fruity	sensory.blackberry	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
pear	105	fruity	sensory.pear	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
cocoa	102	nutty_chocolate	sensory.cocoa	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
heavy	102	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
thin	100	body		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
creamy	92	body	sensory.creamy_mouthfeel	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
grape	90	fruity	sensory.grape	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
smoky	82	bitter_roasted	sensory.smoky	CONCEPT_TAG_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
sweetness	78	sweetness		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
wine	78	fermented_winey		CONSUMER_SYNONYM_EN	GACTT_RESULTS_ANONYMIZED_v2 tasting notes (aggregate counts only; owner-approved T2)
