context_axis	option	member_count	k_acidity	k_sweetness	k_body	k_floral	k_fruity	k_nutty_chocolate	k_fermented_winey	k_bitter_roasted	k_spice	k_herbal_green	k_woody_earthy	k_defect	basis	owner_reviewed
C0	CUPPING	5778	0.4396	0.3886	0.3151	0.1201	0.4900	0.4425	0.0552	0.2489	0.0559	0.0156	0.1939	0.0118	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C0	ESPRESSO	738	0.2772	0.3540	0.3068	0.0725	0.5035	0.5030	0.0488	0.3283	0.0522	0.0055	0.2809	0.0106	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C1	Dark	96	0.2388	0.5138	0.1940	0.0269	0.3450	0.3877	0.0692	0.4412	0.0884	0.0089	0.4029	0.0400	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C1	Light	1168	0.4810	0.3238	0.3355	0.1606	0.5057	0.4563	0.0465	0.1968	0.0614	0.0172	0.1289	0.0076	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C1	Medium	1200	0.3778	0.4449	0.2901	0.0699	0.4892	0.4333	0.0616	0.2903	0.0499	0.0143	0.2292	0.0089	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C1	Medium-Dark	438	0.2917	0.4707	0.2630	0.0713	0.4449	0.4022	0.0753	0.3712	0.0613	0.0168	0.3341	0.0144	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C1	Medium-Light	3253	0.4421	0.3568	0.3310	0.1248	0.5001	0.4484	0.0505	0.2376	0.0536	0.0143	0.1967	0.0104	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C1	Very Dark	204	0.2190	0.5116	0.1733	0.0325	0.3533	0.5034	0.0708	0.4315	0.0514	0.0043	0.2941	0.0251	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_process	anaerobic	52	0.4531	0.2854	0.3837	0.1294	0.5282	0.4368	0.0783	0.1875	0.1607	0.0164	0.1100	0.0065	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_process	decaf	66	0.2120	0.6175	0.2141	0.0580	0.3019	0.4201	0.0700	0.3801	0.0474	0.0231	0.3236	0.0072	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_process	natural	879	0.4350	0.3064	0.3491	0.1144	0.5120	0.4809	0.0464	0.2407	0.0578	0.0151	0.1571	0.0119	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_process	washed	1819	0.4585	0.3113	0.3221	0.1391	0.4652	0.4954	0.0493	0.2420	0.0535	0.0162	0.2090	0.0095	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	bourbon	154	0.4303	0.3444	0.3316	0.0940	0.4769	0.4737	0.0574	0.2617	0.0735	0.0114	0.2192	0.0135	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	castillo	51	0.4613	0.3008	0.3585	0.1044	0.5413	0.4205	0.0656	0.1977	0.0964	0.0000	0.1863	0.0034	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	catuai	90	0.4168	0.3662	0.3064	0.1083	0.5425	0.4379	0.0590	0.2441	0.0335	0.0102	0.1895	0.0161	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	caturra	166	0.4358	0.3860	0.3262	0.0622	0.5210	0.4287	0.0543	0.2129	0.0531	0.0036	0.2107	0.0079	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	ethiopian_landrace	565	0.4525	0.2534	0.3284	0.1409	0.4702	0.5368	0.0457	0.2472	0.0335	0.0162	0.1716	0.0079	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	gesha	447	0.4869	0.3181	0.3554	0.2339	0.4849	0.4343	0.0498	0.1877	0.0773	0.0168	0.1137	0.0069	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	pacamara	55	0.4888	0.2703	0.3315	0.0096	0.5316	0.4501	0.0570	0.2269	0.0824	0.0000	0.1770	0.0045	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	robusta	64	0.3824	0.3742	0.3225	0.0760	0.5068	0.4345	0.0716	0.2907	0.0733	0.0162	0.2482	0.0384	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	sl28_sl34	259	0.5039	0.2458	0.3537	0.1250	0.4631	0.4678	0.0537	0.2388	0.0349	0.0241	0.2235	0.0048	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
C2_variety	typica	88	0.4608	0.3821	0.3140	0.1343	0.4550	0.4186	0.0448	0.2820	0.0627	0.0273	0.2372	0.0164	CORPUS_MEASURED_COFFEEREVIEW_USABLE_VECTORS	false
