preparation	roast_level	member_count	sufficiency	k_acidity	k_sweetness	k_body	k_floral	k_fruity	k_nutty_chocolate	k_fermented_winey	k_bitter_roasted	k_spice	k_herbal_green	k_woody_earthy	k_defect
CUPPING	Medium-Light	2946	MAIN	0.4547	0.3616	0.3315	0.1276	0.4983	0.4403	0.0511	0.2280	0.0560	0.0154	0.1900	0.0102
CUPPING	Light	1153	MAIN	0.4825	0.3207	0.3351	0.1615	0.5038	0.4586	0.0470	0.1972	0.0598	0.0174	0.1294	0.0077
CUPPING	Medium	941	MAIN	0.4120	0.4586	0.2867	0.0746	0.4886	0.4080	0.0649	0.2779	0.0504	0.0177	0.2063	0.0090
CUPPING	Medium-Dark	320	MAIN	0.3213	0.5069	0.2410	0.0777	0.4091	0.3747	0.0786	0.3744	0.0426	0.0163	0.3453	0.0161
ESPRESSO	Medium-Light	307	MAIN	0.3133	0.3044	0.3195	0.0957	0.5079	0.5159	0.0440	0.3243	0.0294	0.0044	0.2564	0.0126
ESPRESSO	Medium	259	MAIN	0.2523	0.3884	0.2955	0.0523	0.4810	0.5108	0.0491	0.3267	0.0472	0.0024	0.3026	0.0083
CUPPING	Very Dark	193	MAIN	0.2203	0.5180	0.1769	0.0344	0.3467	0.5057	0.0718	0.4330	0.0544	0.0046	0.2801	0.0242
ESPRESSO	Medium-Dark	118	MAIN	0.2134	0.3725	0.3106	0.0542	0.5220	0.4604	0.0656	0.3552	0.1055	0.0178	0.2998	0.0098
CUPPING	Dark	78	INTERPOLATION	0.2360	0.5508	0.1730	0.0305	0.3200	0.3429	0.0714	0.4495	0.0795	0.0111	0.4171	0.0499
ESPRESSO	Dark	18	INTERPOLATION	0.2388	0.3479	0.2654	0.0119	0.4250	0.5415	0.0575	0.3890	0.1189	0.0000	0.3296	0.0000
ESPRESSO	Light	15	INTERPOLATION	0.3325	0.5278	0.3411	0.0817	0.6037	0.2512	0.0062	0.1468	0.1777	0.0000	0.0851	0.0000
ESPRESSO	Very Dark	11	INTERPOLATION	0.1871	0.3833	0.1065	0.0000	0.4435	0.4422	0.0517	0.3876	0.0000	0.0000	0.5100	0.0391
