effective_record_id	source_family_id	year_id	preparation_service_id	assertion_count	mapped_concept_mentions	distinct_mapped_concepts	v_acidity	v_sweetness	v_body	v_floral	v_fruity	v_nutty_chocolate	v_fermented_winey	v_bitter_roasted	v_spice	v_herbal_green	v_woody_earthy	v_defect	axis_basis	vector_state	product_candidate_rights	projection_basis
effective-b2:000127085b6f202287f44dd5	family.ace_cup_of_excellence	year.2024	CUPPING	36	18	14	0.3434	0.5332	0.0271	0.2621	0.7050	0.1175	0.0000	0.0542	0.0000	0.1175	0.0271	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0002c41f30affea9086704b4	family.coffeereview_kaggle_parsed	year.2007	CUPPING	1	0	0	0.7933	0.0000	0.6088	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00069b539417d36f848c56d2	family.coffeereview_kaggle_parsed	year.2025	CUPPING	6	7	5	0.5474	0.6296	0.3045	0.0547	0.2737	0.3558	0.0000	0.0821	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:000728619c87ff1854d2aa0a	family.coffeereview_kaggle_parsed	year.2014	CUPPING	6	3	2	0.1058	0.8819	0.2045	0.2117	0.3528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:002d861f1a19fee73783894c	family.coffeereview_kaggle_parsed	year.2019	CUPPING	5	2	2	0.4081	0.3627	0.1893	0.0000	0.8161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:002e852d76a36192a52f880c	family.coffeereview_kaggle_parsed	year.2008	CUPPING	5	4	2	0.2375	0.7125	0.3446	0.0000	0.5344	0.0000	0.0000	0.1781	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0039762abdb09cc437445f56	family.coffeereview_kaggle_parsed	year.2013	CUPPING	4	2	2	0.6233	0.6233	0.3014	0.1870	0.3117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:003c7f9e80cd558c80f6bbee	family.coffeereview_kaggle_parsed	year.2022	CUPPING	5	3	3	0.5799	0.0000	0.2804	0.0000	0.5799	0.0000	0.1784	0.1338	0.0000	0.0000	0.4461	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00422f3943ff08e03324369e	family.ace_cup_of_excellence	year.2016	CUPPING	14	5	5	0.4099	0.1561	0.0000	0.0000	0.8978	0.0000	0.0390	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0071245ca90894694b391ce0	family.coffeereview_kaggle_parsed	year.2006	CUPPING	1	1	1	0.5293	0.0000	0.0513	0.0000	0.8469	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00917f4509f669126c3292c8	family.coffeereview_kaggle_parsed	year.2013	CUPPING	4	3	3	0.3753	0.4472	0.1763	0.1342	0.7603	0.0000	0.1789	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0091c7ed4de7a439e3bbf97c	family.coffeereview_kaggle_parsed	year.2017	CUPPING	5	0	0	0.7144	0.0000	0.6998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:0094d9868ace1c6b476c2ebe	family.coffeereview_kaggle_parsed	year.2012	CUPPING	1	0	0	0.1068	0.0000	0.9943	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	EMPTY	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00978766a6c58a160fd5bd2f	family.ace_cup_of_excellence	year.2017	CUPPING	22	16	14	0.4626	0.4841	0.1076	0.2474	0.6670	0.1398	0.0861	0.0538	0.0000	0.0645	0.0000	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00995f94882839c8365adc67	family.coffeereview_kaggle_parsed	year.2003	CUPPING	2	1	1	0.0753	0.0000	0.0578	0.0000	0.0000	0.0000	0.0000	0.2861	0.0000	0.0000	0.9535	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00a2dadaa4d481bea5e76b51	family.coffeereview_kaggle_parsed	year.2024	CUPPING	5	2	2	0.3506	0.0000	0.1626	0.0000	0.5610	0.0000	0.0000	0.7012	0.0000	0.0000	0.0000	0.2104	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00b78df71bb66052ef1cf160	family.coffeereview_kaggle_parsed	year.2002	CUPPING	1	1	1	0.0270	0.0000	0.0155	0.0000	0.0000	0.9574	0.0000	0.2872	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00ba607cb71843c4fbe5c2a0	family.coffeereview_kaggle_parsed	year.2022	CUPPING	6	3	2	0.2033	0.3261	0.3855	0.0000	0.0000	0.1449	0.0000	0.7972	0.0000	0.0000	0.0000	0.2174	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00d015ea4e042a00270abb71	family.coffeereview_kaggle_parsed	year.2009	CUPPING	10	5	5	0.0973	0.0000	0.1504	0.0000	0.2593	0.4539	0.1945	0.4863	0.0000	0.0000	0.6484	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00d3d23b0827de5368b571c3	family.coffeereview_kaggle_parsed	year.2021	CUPPING	5	3	3	0.5016	0.0000	0.2426	0.5016	0.3511	0.5016	0.0000	0.2508	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00d49fae07bf07d74ab52d1a	family.coffeereview_kaggle_parsed	year.2022	CUPPING	5	1	1	0.8209	0.0000	0.3970	0.0000	0.4105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00d5b75bd6fdf5db5286bc19	family.coffeereview_kaggle_parsed	year.2013	CUPPING	4	4	4	0.2421	0.4843	0.1123	0.1453	0.4359	0.4359	0.0000	0.2421	0.0000	0.0000	0.4843	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00ecbe2cff6cf328b6a2215c	family.coffeereview_kaggle_parsed	year.2024	CUPPING	6	1	1	0.8944	0.0000	0.0000	0.0000	0.4472	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS_ONLY	THIN	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00f0289cf7b90115684d866d	family.coffeereview_kaggle_parsed	year.2014	CUPPING	6	3	3	0.3082	0.6242	0.3019	0.4802	0.3841	0.1921	0.0000	0.0960	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00f3b79687f4f65cf0fb544e	family.coffeereview_kaggle_parsed	year.2017	CUPPING	5	2	2	0.3572	0.7236	0.1678	0.0000	0.5169	0.2067	0.0000	0.1034	0.0000	0.0000	0.0000	0.0000	DESCRIPTORS+COFFEEREVIEW_STRUCTURE_SCORES	USABLE	RESEARCH_ONLY_NOT_RECOMMENDABLE	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
effective-b2:00f47bf92e37dd6fb813393e	family.ace_cup_of_excellence	year.2020	CUPPING	30	16	15	0.3179	0.3950	0.0963	0.0000	0.7900	0.2312	0.1830	0.1156	0.0963	0.0000	0.0000	0.0000	DESCRIPTORS_ONLY	USABLE	PUBLIC_RECORD_RIGHTS_UNRESOLVED	CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv (owner review pending)
