group	n	question_id	option_id	within_question_share_corrected	pruning
all	6359	A	A1	0.2751	kept
all	6359	A	A2	0.1771	kept
all	6359	A	A3	0.2112	kept
all	6359	A	A4	0.1730	
all	6359	A	A5	0.0879	
all	6359	A	A6	0.0685	
all	6359	A	A7	0.0066	
all	6359	A	A8	0.0007	
all	6359	B	B1	0.1484	
all	6359	B	B2	0.0082	
all	6359	B	B3	0.0397	
all	6359	B	B4	0.1631	kept
all	6359	B	B5	0.3137	kept
all	6359	B	B6	0.0287	
all	6359	B	B7	0.0959	
all	6359	B	B8	0.1519	kept
all	6359	B	B9	0.0506	
all	6359	C	C1	0.2063	
all	6359	C	C3	0.2318	kept
all	6359	C	C4	0.0945	
all	6359	C	C5	0.0854	
all	6359	C	C6	0.2692	kept
all	6359	C	C7	0.1128	
band=dark	738	A	A1	0.2310	kept
band=dark	738	A	A2	0.0688	
band=dark	738	A	A3	0.2145	kept
band=dark	738	A	A4	0.1237	
band=dark	738	A	A5	0.1096	
band=dark	738	A	A6	0.2331	kept
band=dark	738	A	A7	0.0169	
band=dark	738	A	A8	0.0024	
band=dark	738	B	B1	0.0735	
band=dark	738	B	B2	0.0061	
band=dark	738	B	B3	0.0279	
band=dark	738	B	B4	0.0919	
band=dark	738	B	B5	0.3113	kept
band=dark	738	B	B6	0.1243	kept
band=dark	738	B	B7	0.0997	
band=dark	738	B	B8	0.2195	kept
band=dark	738	B	B9	0.0457	
band=dark	738	C	C1	0.0566	
band=dark	738	C	C3	0.2630	kept
band=dark	738	C	C4	0.1021	
band=dark	738	C	C5	0.1106	
band=dark	738	C	C6	0.1697	kept
band=dark	738	C	C7	0.2980	kept
band=dark|prep=espresso	147	A	A1	0.2323	kept
band=dark|prep=espresso	147	A	A2	0.0777	
band=dark|prep=espresso	147	A	A3	0.2796	kept
band=dark|prep=espresso	147	A	A4	0.0864	
band=dark|prep=espresso	147	A	A5	0.1286	
band=dark|prep=espresso	147	A	A6	0.1898	kept
band=dark|prep=espresso	147	A	A7	0.0050	
band=dark|prep=espresso	147	A	A8	0.0007	
band=dark|prep=espresso	147	B	B1	0.0590	
band=dark|prep=espresso	147	B	B2	0.0018	
band=dark|prep=espresso	147	B	B3	0.0315	
band=dark|prep=espresso	147	B	B4	0.0965	
band=dark|prep=espresso	147	B	B5	0.3295	kept
band=dark|prep=espresso	147	B	B6	0.0925	
band=dark|prep=espresso	147	B	B7	0.1343	kept
band=dark|prep=espresso	147	B	B8	0.2214	kept
band=dark|prep=espresso	147	B	B9	0.0335	
band=dark|prep=espresso	147	C	C1	0.0494	
band=dark|prep=espresso	147	C	C3	0.1493	kept
band=dark|prep=espresso	147	C	C4	0.1140	
band=dark|prep=espresso	147	C	C5	0.1245	
band=dark|prep=espresso	147	C	C6	0.2977	kept
band=dark|prep=espresso	147	C	C7	0.2652	kept
band=dark|process=decaf	47	A	A1	0.1937	kept
band=dark|process=decaf	47	A	A2	0.0363	
band=dark|process=decaf	47	A	A3	0.1605	kept
band=dark|process=decaf	47	A	A4	0.0912	
band=dark|process=decaf	47	A	A5	0.1502	
band=dark|process=decaf	47	A	A6	0.3579	kept
band=dark|process=decaf	47	A	A7	0.0089	
band=dark|process=decaf	47	A	A8	0.0013	
band=dark|process=decaf	47	B	B1	0.0779	
band=dark|process=decaf	47	B	B2	0.0034	
band=dark|process=decaf	47	B	B3	0.0387	
band=dark|process=decaf	47	B	B4	0.0505	
band=dark|process=decaf	47	B	B5	0.2777	kept
band=dark|process=decaf	47	B	B6	0.1738	kept
band=dark|process=decaf	47	B	B7	0.0881	
band=dark|process=decaf	47	B	B8	0.2446	kept
band=dark|process=decaf	47	B	B9	0.0453	
band=dark|process=decaf	47	C	C1	0.0309	
band=dark|process=decaf	47	C	C3	0.2415	kept
band=dark|process=decaf	47	C	C4	0.1230	
band=dark|process=decaf	47	C	C5	0.1095	
band=dark|process=decaf	47	C	C6	0.1337	kept
band=dark|process=decaf	47	C	C7	0.3615	kept
band=dark|process=natural	49	A	A1	0.2200	kept
band=dark|process=natural	49	A	A2	0.2168	kept
band=dark|process=natural	49	A	A3	0.2837	kept
band=dark|process=natural	49	A	A4	0.0903	
band=dark|process=natural	49	A	A5	0.0892	
band=dark|process=natural	49	A	A6	0.0734	
band=dark|process=natural	49	A	A7	0.0261	
band=dark|process=natural	49	A	A8	0.0005	
band=dark|process=natural	49	B	B1	0.1378	kept
band=dark|process=natural	49	B	B2	0.0197	
band=dark|process=natural	49	B	B3	0.0647	
band=dark|process=natural	49	B	B4	0.1316	
band=dark|process=natural	49	B	B5	0.3078	kept
band=dark|process=natural	49	B	B6	0.0866	
band=dark|process=natural	49	B	B7	0.0911	
band=dark|process=natural	49	B	B8	0.1375	kept
band=dark|process=natural	49	B	B9	0.0233	
band=dark|process=natural	49	C	C1	0.1569	kept
band=dark|process=natural	49	C	C3	0.2209	kept
band=dark|process=natural	49	C	C4	0.0931	
band=dark|process=natural	49	C	C5	0.0643	
band=dark|process=natural	49	C	C6	0.3393	kept
band=dark|process=natural	49	C	C7	0.1256	
band=dark|process=washed	45	A	A1	0.2805	kept
band=dark|process=washed	45	A	A2	0.0866	
band=dark|process=washed	45	A	A3	0.2339	kept
band=dark|process=washed	45	A	A4	0.1690	kept
band=dark|process=washed	45	A	A5	0.1019	
band=dark|process=washed	45	A	A6	0.1260	
band=dark|process=washed	45	A	A7	0.0017	
band=dark|process=washed	45	A	A8	0.0004	
band=dark|process=washed	45	B	B1	0.1766	kept
band=dark|process=washed	45	B	B2	0.0061	
band=dark|process=washed	45	B	B3	0.0567	
band=dark|process=washed	45	B	B4	0.1775	kept
band=dark|process=washed	45	B	B5	0.3180	kept
band=dark|process=washed	45	B	B6	0.0050	
band=dark|process=washed	45	B	B7	0.0464	
band=dark|process=washed	45	B	B8	0.1594	
band=dark|process=washed	45	B	B9	0.0543	
band=dark|process=washed	45	C	C1	0.1490	
band=dark|process=washed	45	C	C3	0.2216	kept
band=dark|process=washed	45	C	C4	0.1276	
band=dark|process=washed	45	C	C5	0.1057	
band=dark|process=washed	45	C	C6	0.2225	kept
band=dark|process=washed	45	C	C7	0.1736	kept
band=light	4421	A	A1	0.2854	kept
band=light	4421	A	A2	0.1983	kept
band=light	4421	A	A3	0.2021	kept
band=light	4421	A	A4	0.1871	
band=light	4421	A	A5	0.0912	
band=light	4421	A	A6	0.0302	
band=light	4421	A	A7	0.0053	
band=light	4421	A	A8	0.0003	
band=light	4421	B	B1	0.1714	kept
band=light	4421	B	B2	0.0086	
band=light	4421	B	B3	0.0405	
band=light	4421	B	B4	0.1722	kept
band=light	4421	B	B5	0.3103	kept
band=light	4421	B	B6	0.0148	
band=light	4421	B	B7	0.0969	
band=light	4421	B	B8	0.1345	
band=light	4421	B	B9	0.0507	
band=light	4421	C	C1	0.2530	kept
band=light	4421	C	C3	0.2336	
band=light	4421	C	C4	0.0812	
band=light	4421	C	C5	0.0778	
band=light	4421	C	C6	0.3008	kept
band=light	4421	C	C7	0.0537	
band=light|prep=espresso	322	A	A1	0.2562	kept
band=light|prep=espresso	322	A	A2	0.2335	kept
band=light|prep=espresso	322	A	A3	0.2261	kept
band=light|prep=espresso	322	A	A4	0.1566	
band=light|prep=espresso	322	A	A5	0.0974	
band=light|prep=espresso	322	A	A6	0.0294	
band=light|prep=espresso	322	A	A7	0.0008	
band=light|prep=espresso	322	A	A8	0.0000	
band=light|prep=espresso	322	B	B1	0.1411	
band=light|prep=espresso	322	B	B2	0.0057	
band=light|prep=espresso	322	B	B3	0.0153	
band=light|prep=espresso	322	B	B4	0.1687	kept
band=light|prep=espresso	322	B	B5	0.3523	kept
band=light|prep=espresso	322	B	B6	0.0063	
band=light|prep=espresso	322	B	B7	0.0676	
band=light|prep=espresso	322	B	B8	0.1869	kept
band=light|prep=espresso	322	B	B9	0.0561	
band=light|prep=espresso	322	C	C1	0.1599	
band=light|prep=espresso	322	C	C3	0.2630	kept
band=light|prep=espresso	322	C	C4	0.1859	
band=light|prep=espresso	322	C	C5	0.0815	
band=light|prep=espresso	322	C	C6	0.2577	kept
band=light|prep=espresso	322	C	C7	0.0521	
band=light|process=anaerobic	293	A	A1	0.2577	kept
band=light|process=anaerobic	293	A	A2	0.2101	kept
band=light|process=anaerobic	293	A	A3	0.1481	
band=light|process=anaerobic	293	A	A4	0.2586	kept
band=light|process=anaerobic	293	A	A5	0.1013	
band=light|process=anaerobic	293	A	A6	0.0136	
band=light|process=anaerobic	293	A	A7	0.0106	
band=light|process=anaerobic	293	A	A8	0.0001	
band=light|process=anaerobic	293	B	B1	0.1433	kept
band=light|process=anaerobic	293	B	B2	0.0015	
band=light|process=anaerobic	293	B	B3	0.0353	
band=light|process=anaerobic	293	B	B4	0.0984	
band=light|process=anaerobic	293	B	B5	0.4022	kept
band=light|process=anaerobic	293	B	B6	0.0111	
band=light|process=anaerobic	293	B	B7	0.1648	kept
