anchor_id	owner_name_zh	owner_name_en	benchmark_beans	display_tags_zh	display_tags_en	a_acidity	a_sweetness	a_body	a_floral	a_fruity	a_nutty_chocolate	a_fermented_winey	a_bitter_roasted	a_spice	a_herbal_green	a_woody_earthy	a_defect	basis	owner_reviewed
anchor-01	熟果与黄桃甜感	Tropical Stone Fruit	哥伦比亚 厌氧日晒 / 埃塞俄比亚 日晒 G1	黄桃|熟果|蔗糖|柑橘	yellow peach|ripe fruit|cane sugar|citrus	0.42	0.46	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-02	榛果巧克力与红莓	Nutty Cocoa & Berry	危地马拉 安提瓜水洗 (Guatemala Antigua)	榛果|可可|红莓|柑橘	hazelnut|cocoa|red berry|citrus	0.43	0.00	0.00	0.00	0.52	0.57	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-03	蔗糖与纯净高甜	Pure Cane Sweetness	巴西 黄波本 (Brazil Yellow Bourbon)	蔗糖|蜂蜜|焦糖|柔和	cane sugar|honey|caramel|smooth	0.35	0.80	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-04	经典黑巧与烤榛果	Dark Chocolate & Roasted Nut	哥伦比亚 惠兰水洗 (Colombia Huila)	黑巧克力|烤榛果|红糖|醇厚	dark chocolate|roasted hazelnut|brown sugar|full body	0.34	0.00	0.41	0.00	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-05	鲜明柑橘与柚子酸质	Bright Citrus & Yuzu Acid	肯尼亚 AA (Kenya AA SL28/SL34)	柚子|柑橘|黑加仑|明亮	yuzu|citrus|blackcurrant|bright	0.51	0.00	0.42	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-06	深烘烤雪松与松露	Roasted Cedar & Earth	苏门答腊 湿剥曼特宁 (Sumatra Mandheling PWN)	雪松|松露|黑巧克力|烟熏	cedar|truffle|dark chocolate|smoke	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.36	0.00	0.00	0.52	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-07	野生黑加仑与树莓	Wild Forest Berry	埃塞俄比亚 哈拉尔 (Ethiopia Harrar)	黑加仑|树莓|木质|红酒	blackcurrant|raspberry|woody|red wine	0.43	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.51	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-08	高拔明亮清冽酸质	High Altitude Alpine Acidity	哥斯达黎加 塔拉珠 (Costa Rica Tarrazu)	清冽|青苹果|柑橘|干净	crisp|green apple|citrus|clean	0.84	0.00	0.54	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-09	高锐茉莉花与白花	Delicate Jasmine & Floral	埃塞俄比亚 耶加雪菲水洗 / 瑰夏 (Geisha)	茉莉花|白花|佛手柑|水蜜桃	jasmine|white flowers|bergamot|peach	0.45	0.00	0.41	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-10	丝绒醇厚与糖浆感	Full Velvet Body	巴西 半日晒 / 罗布斯塔精选 (Brazil Pulped Natural)	丝绒|糖浆|奶油|醇厚	velvet|syrup|cream|full body	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
anchor-11	泥炭烟熏与风干木	Smoky Peat & Aged Wood	爪哇 老深烘 (Java Arabica / Old Brown)	烟熏|泥炭|风干木|烟草	smoke|peat|aged wood|tobacco	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.81	0.00	OWNER_NAMING_2026-09-12_CN_SPECIALTY_VOCABULARY;anchor=owner-stated centroid features	true
