record_key	source_key	file_relative_path	source_row_number	raw_preparation_label	raw_roast_label	preparation_status_code	normalized_preparation_family_key	normalized_preparation_leaf_key	roast_status_code	normalized_roast_code	coffee_mode_code	has_sensory_outcome	has_chemical_outcome	has_strong_addition	raw_payload
context.raw.cotter_v4.0001	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	2	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""63.5"",""Acidity"":""2"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.0-16"",""Brew Mass"":""2829.1"",""Brew Temperature"":""81.1"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""1"",""Cluster"":""1"",""Dark.chocolate"":""0"",""Dose"":""176.1"",""Empty Carafe"":""1769.3"",""Final NaOH"":""18.3"",""Flavor.intensity"":""2"",""Fruit"":""0"",""Full Carafe"":""4598.4"",""Green.veg"":""0"",""Grind"":""5"",""Initial NaOH"":""13.3"",""Judge"":""1"",""Liking"":""6"",""Mouthfeel"":""2"",""Nutty"":""0"",""PE.x"":""Low"",""Paper.wood"":""0"",""Percent Extraction"":""16.86856899"",""Position"":""3"",""Pour Temp"":""67"",""Purchase.intent"":""2"",""Roasted"":""0"",""Rubber"":""1"",""Session Number"":""13"",""Setting"":""1SM"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""Low"",""TDS__1"":""1.05"",""Tea.floral"":""0"",""Temp"":""4"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.2"",""Volume"":""5"",""Week"":""3"",""pH"":""5.05""}"
context.raw.cotter_v4.0002	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	3	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""63.9"",""Acidity"":""2"",""Astringent"":""1"",""Bitter"":""0"",""Brew"":""87-1.0-20"",""Brew Mass"":""2905.9"",""Brew Temperature"":""81"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""0"",""Dose"":""145"",""Empty Carafe"":""1764.3"",""Final NaOH"":""18.8"",""Flavor.intensity"":""2"",""Fruit"":""0"",""Full Carafe"":""4670.2"",""Green.veg"":""0"",""Grind"":""3"",""Initial NaOH"":""14.3"",""Judge"":""1"",""Liking"":""4"",""Mouthfeel"":""2"",""Nutty"":""0"",""PE.x"":""Medium"",""Paper.wood"":""0"",""Percent Extraction"":""19.43946897"",""Position"":""2"",""Pour Temp"":""69.4"",""Purchase.intent"":""1"",""Roasted"":""0"",""Rubber"":""1"",""Session Number"":""10"",""Setting"":""6LG"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""Low"",""TDS__1"":""0.97"",""Tea.floral"":""0"",""Temp"":""2"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.2"",""Volume"":""4.5"",""Week"":""2"",""pH"":""5.01""}"
context.raw.cotter_v4.0003	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	4	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""61.5"",""Acidity"":""1"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.0-24"",""Brew Mass"":""2884.1"",""Brew Temperature"":""78.6"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""0"",""Dose"":""119"",""Empty Carafe"":""1791"",""Final NaOH"":""22.6"",""Flavor.intensity"":""1"",""Fruit"":""0"",""Full Carafe"":""4675.1"",""Green.veg"":""0"",""Grind"":""3"",""Initial NaOH"":""18.5"",""Judge"":""1"",""Liking"":""2"",""Mouthfeel"":""1"",""Nutty"":""1"",""PE.x"":""High"",""Paper.wood"":""1"",""Percent Extraction"":""23.26668908"",""Position"":""9"",""Pour Temp"":""66.3"",""Purchase.intent"":""2"",""Roasted"":""0"",""Rubber"":""0"",""Session Number"":""13"",""Setting"":""4LG"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""Low"",""TDS__1"":""0.96"",""Tea.floral"":""0"",""Temp"":""4"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.2"",""Volume"":""4.1"",""Week"":""3"",""pH"":""5.11""}"
context.raw.cotter_v4.0004	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	5	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""62.1"",""Acidity"":""4"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.25-16"",""Brew Mass"":""2811.1"",""Brew Temperature"":""80.4"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""1"",""Cluster"":""1"",""Dark.chocolate"":""0"",""Dose"":""215.3"",""Empty Carafe"":""1775.1"",""Final NaOH"":""8.6"",""Flavor.intensity"":""3"",""Fruit"":""1"",""Full Carafe"":""4586.2"",""Green.veg"":""1"",""Grind"":""5"",""Initial NaOH"":""3.6"",""Judge"":""1"",""Liking"":""7"",""Mouthfeel"":""4"",""Nutty"":""0"",""PE.x"":""Low"",""Paper.wood"":""0"",""Percent Extraction"":""13.97063168"",""Position"":""9"",""Pour Temp"":""68.9"",""Purchase.intent"":""3"",""Roasted"":""0"",""Rubber"":""0"",""Session Number"":""10"",""Setting"":""12LG"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""Medium"",""TDS__1"":""1.07"",""Tea.floral"":""0"",""Temp"":""3"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.2"",""Volume"":""5"",""Week"":""2"",""pH"":""5.08""}"
context.raw.cotter_v4.0005	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	6	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""62.1"",""Acidity"":""3"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.25-20"",""Brew Mass"":""2869.2"",""Brew Temperature"":""80.8"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""1"",""Dose"":""176.1"",""Empty Carafe"":""1782.1"",""Final NaOH"":""13.1"",""Flavor.intensity"":""3"",""Fruit"":""0"",""Full Carafe"":""4651.3"",""Green.veg"":""0"",""Grind"":""3"",""Initial NaOH"":""7.3"",""Judge"":""1"",""Liking"":""8"",""Mouthfeel"":""3"",""Nutty"":""1"",""PE.x"":""Medium"",""Paper.wood"":""0"",""Percent Extraction"":""20.69212947"",""Position"":""10"",""Pour Temp"":""66.9"",""Purchase.intent"":""5"",""Roasted"":""0"",""Rubber"":""0"",""Session Number"":""13"",""Setting"":""12LG"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""Medium"",""TDS__1"":""1.27"",""Tea.floral"":""0"",""Temp"":""3"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.21"",""Volume"":""5.8"",""Week"":""3"",""pH"":""5.02""}"
context.raw.cotter_v4.0006	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	7	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""62.1"",""Acidity"":""2"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.25-24"",""Brew Mass"":""2919.5"",""Brew Temperature"":""78"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""1"",""Dose"":""150"",""Empty Carafe"":""1792.3"",""Final NaOH"":""14.1"",""Flavor.intensity"":""2"",""Fruit"":""0"",""Full Carafe"":""4711.8"",""Green.veg"":""0"",""Grind"":""4"",""Initial NaOH"":""8.9"",""Judge"":""1"",""Liking"":""6"",""Mouthfeel"":""2"",""Nutty"":""1"",""PE.x"":""High"",""Paper.wood"":""0"",""Percent Extraction"":""21.31235"",""Position"":""5"",""Pour Temp"":""67.5"",""Purchase.intent"":""3"",""Roasted"":""1"",""Rubber"":""0"",""Session Number"":""10"",""Setting"":""13SM"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""Medium"",""TDS__1"":""1.095"",""Tea.floral"":""0"",""Temp"":""3"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.2"",""Volume"":""5.2"",""Week"":""2"",""pH"":""5.04""}"
context.raw.cotter_v4.0007	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	8	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""62.4"",""Acidity"":""3"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.5-16"",""Brew Mass"":""2747.2"",""Brew Temperature"":""80.3"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""1"",""Dose"":""252.7"",""Empty Carafe"":""1798.8"",""Final NaOH"":""19.5"",""Flavor.intensity"":""4"",""Fruit"":""0"",""Full Carafe"":""4546"",""Green.veg"":""0"",""Grind"":""5"",""Initial NaOH"":""12.4"",""Judge"":""1"",""Liking"":""8"",""Mouthfeel"":""3"",""Nutty"":""1"",""PE.x"":""Low"",""Paper.wood"":""0"",""Percent Extraction"":""16.52451128"",""Position"":""4"",""Pour Temp"":""67.7"",""Purchase.intent"":""4"",""Roasted"":""1"",""Rubber"":""0"",""Session Number"":""4"",""Setting"":""5LG"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""High"",""TDS__1"":""1.52"",""Tea.floral"":""0"",""Temp"":""4"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.19"",""Volume"":""7.1"",""Week"":""1"",""pH"":""5.04""}"
context.raw.cotter_v4.0008	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	9	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""63"",""Acidity"":""3"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""87-1.5-20"",""Brew Mass"":""2793.7"",""Brew Temperature"":""80.2"",""Burnt"":""0"",""Caramel"":""1"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""1"",""Dose"":""207.6"",""Empty Carafe"":""1776.8"",""Final NaOH"":""25.1"",""Flavor.intensity"":""3"",""Fruit"":""0"",""Full Carafe"":""4570.5"",""Green.veg"":""0"",""Grind"":""3"",""Initial NaOH"":""18.4"",""Judge"":""1"",""Liking"":""8"",""Mouthfeel"":""3"",""Nutty"":""1"",""PE.x"":""Medium"",""Paper.wood"":""0"",""Percent Extraction"":""20.05112235"",""Position"":""6"",""Pour Temp"":""71.4"",""Purchase.intent"":""5"",""Roasted"":""0"",""Rubber"":""0"",""Session Number"":""4"",""Setting"":""5LG"",""Sour"":""0"",""Sweet"":""0"",""TDS.x"":""High"",""TDS__1"":""1.49"",""Tea.floral"":""0"",""Temp"":""4"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.2"",""Volume"":""6.7"",""Week"":""1"",""pH"":""5.06""}"
context.raw.cotter_v4.0009	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	10	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""64"",""Acidity"":""5"",""Astringent"":""1"",""Bitter"":""1"",""Brew"":""87-1.5-24"",""Brew Mass"":""2843.5"",""Brew Temperature"":""78.7"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""0"",""Dose"":""176.1"",""Empty Carafe"":""1798.4"",""Final NaOH"":""7.1"",""Flavor.intensity"":""5"",""Fruit"":""0"",""Full Carafe"":""4641.9"",""Green.veg"":""0"",""Grind"":""3"",""Initial NaOH"":""0.3"",""Judge"":""1"",""Liking"":""3"",""Mouthfeel"":""3"",""Nutty"":""0"",""PE.x"":""High"",""Paper.wood"":""0"",""Percent Extraction"":""23.090318"",""Position"":""6"",""Pour Temp"":""67.1"",""Purchase.intent"":""1"",""Roasted"":""0"",""Rubber"":""0"",""Session Number"":""13"",""Setting"":""4LG"",""Sour"":""1"",""Sweet"":""0"",""TDS.x"":""High"",""TDS__1"":""1.43"",""Tea.floral"":""0"",""Temp"":""3"",""Temp.x"":""Low"",""Thick.viscous"":""0"",""Titration pH"":""8.21"",""Volume"":""6.8"",""Week"":""3"",""pH"":""4.98""}"
context.raw.cotter_v4.0010	dryad_cotter_black_coffee	cotter_2020_black_coffee/cotter_dataset.csv	11	drip-brewed black coffee	medium roast	known	preparation.family.filter_percolation	preparation.method.batch_filter	known	medium	black_coffee	true	true	false	"{""90Sec Temp"":""64.1"",""Acidity"":""4"",""Astringent"":""0"",""Bitter"":""0"",""Brew"":""90-1.0-16"",""Brew Mass"":""2862.8"",""Brew Temperature"":""83.3"",""Burnt"":""0"",""Caramel"":""0"",""Cereal"":""0"",""Citrus"":""0"",""Cluster"":""1"",""Dark.chocolate"":""0"",""Dose"":""176.1"",""Empty Carafe"":""1806"",""Final NaOH"":""24.4"",""Flavor.intensity"":""3"",""Fruit"":""1"",""Full Carafe"":""4668.8"",""Green.veg"":""1"",""Grind"":""5"",""Initial NaOH"":""19.6"",""Judge"":""1"",""Liking"":""7"",""Mouthfeel"":""4"",""Nutty"":""0"",""PE.x"":""Low"",""Paper.wood"":""0"",""Percent Extraction"":""16.25667235"",""Position"":""2"",""Pour Temp"":""70.8"",""Purchase.intent"":""4"",""Roasted"":""0"",""Rubber"":""0"",""Session Number"":""4"",""Setting"":""6LG"",""Sour"":""1"",""Sweet"":""0"",""TDS.x"":""Low"",""TDS__1"":""1"",""Tea.floral"":""1"",""Temp"":""4"",""Temp.x"":""Medium"",""Thick.viscous"":""0"",""Titration pH"":""8.21"",""Volume"":""4.8"",""Week"":""1"",""pH"":""5.06""}"
