model	question_id	case_count	independent_group_count	mean_before_ndcg5	mean_after_ndcg5	incremental_delta	incremental_group_95_interval	leave_one_question_out_delta	leave_one_out_group_95_interval	coverage	interpretation
B0	q.fermented	3	3	0.2956311257876489	0.2956311257876489	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B0	q.fruit	8	8	0.4601866116254043	0.4601866116254043	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B0	q.nut_cocoa	5	5	0.613818273410919	0.613818273410919	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B0	q.spice_roasted	2	2	0.6338060961521446	0.6338060961521446	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B0	q.sweet	11	11	0.38299797720885104	0.38299797720885104	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B0	q.tea_green	3	3	0.2951867642728369	0.2951867642728369	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B1	q.fermented	3	3	0.2956311257876489	0.2956311257876489	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B1	q.fruit	8	8	0.4601866116254043	0.4601866116254043	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B1	q.nut_cocoa	5	5	0.613818273410919	0.613818273410919	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B1	q.spice_roasted	2	2	0.6338060961521446	0.6338060961521446	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B1	q.sweet	11	11	0.38299797720885104	0.38299797720885104	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B1	q.tea_green	3	3	0.2951867642728369	0.2951867642728369	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B2	q.fermented	3	3	0.2956311257876489	0.2956311257876489	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B2	q.fruit	8	8	0.4601866116254043	0.4601866116254043	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B2	q.nut_cocoa	5	5	0.613818273410919	0.613818273410919	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B2	q.spice_roasted	2	2	0.6338060961521446	0.6338060961521446	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B2	q.sweet	11	11	0.38299797720885104	0.38299797720885104	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B2	q.tea_green	3	3	0.2951867642728369	0.2951867642728369	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
M1	q.fermented	3	3	0.2956311257876489	0.2956311257876489	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
M1	q.fruit	8	8	0.43539521367732603	0.4690493952489301	0.03365418157160402	[-0.030819536660978992, 0.090495601752666]	0.015439013411022093	[-0.007712082736198098, 0.054029122969264376]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
M1	q.nut_cocoa	5	5	0.5998657674993481	0.614891483071357	0.01502571557200908	[-0.06659127160518775, 0.1008765217626705]	0.01502571557200908	[-0.06659127160518775, 0.1008765217626705]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
M1	q.spice_roasted	2	2	0.7093159052660473	0.7093159052660473	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
M1	q.sweet	11	11	0.4328710178484681	0.42997876297081433	-0.0028922548776538566	[-0.034491017996313295, 0.03582133115998853]	-0.0127463346809447	[-0.03487381682405643, 0.0031105305533294988]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
M1	q.tea_green	3	3	0.28228590454070795	0.28228590454070795	0.0	[0.0, 0.0]	0.0	[0.0, 0.0]	1	EXPLORATORY_PROXY_DIAGNOSIS_NOT_PARAMETER_SELECTION
B0	q.direction	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
B0	q.floral	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
B1	q.direction	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
B1	q.floral	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
B2	q.direction	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
B2	q.floral	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
M1	q.direction	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
M1	q.floral	0	0								NO_FROZEN_SPECIFIC_ANSWER_CASES; NOT_EVIDENCE_OF_ZERO_VALUE
