section	metric_key	operator	declared_value	hard_gate	minimum_gate	preferred_gate	evidence_path
BASELINE	BASELINE_CANONICAL_CONCEPT_COUNT	EQ	130	true	false	false	audit.v_round3f_canonical_freeze
BASELINE	BASELINE_ACTIVE_SENSORY_ATTRIBUTE_COUNT	EQ	92	true	false	false	audit.v_round3f_canonical_freeze
BASELINE	BASELINE_ASSOCIATION_RANGE_COUNT	EQ	7	true	false	false	audit.v_round3f_range_coverage
BASELINE	BASELINE_ASSOCIATION_RANGE_MEMBERSHIP_COUNT	EQ	18	true	false	false	audit.v_round3f_range_coverage
BASELINE	BASELINE_OVERLAPPING_MEMBERSHIP_COUNT	EQ	8	true	false	false	audit.v_round3f_range_coverage
BASELINE	BASELINE_SOURCE_LOCAL_SUPPORTED_RANGE_COUNT	EQ	0	true	false	false	audit.v_round3f_range_coverage
BASELINE	BASELINE_CROSS_SOURCE_SUPPORTED_RANGE_COUNT	EQ	0	true	false	false	audit.v_round3f_range_coverage
BASELINE	BASELINE_QUESTION_RANGE_TARGET_COUNT	EQ	18	true	false	false	calibration.question_range_target
BASELINE	BASELINE_TEXT_FIRST_LEXICAL_CANDIDATE_COUNT	EQ	107	true	false	false	audit.v_round3f_lexical_candidate_range_disposition
BASELINE	BASELINE_TEXT_FIRST_OUTSIDE_RANGE_COUNT	EQ	107	true	false	false	audit.v_round3f_lexical_candidate_range_disposition
BASELINE	BASELINE_USER_VALIDATED_QUESTION_COUNT	EQ	0	true	false	false	calibration.question_research_status
BASELINE	BASELINE_REAL_OBSERVATION_COUNT	EQ	0	true	false	false	audit.round3f_checkpoint
MINIMUM_EXPECTED	CANONICAL_CONCEPT_COUNT	EQ	130	true	false	false	kb.concept
MINIMUM_EXPECTED	ACTIVE_SENSORY_ATTRIBUTE_COUNT	EQ	92	true	false	false	kb.concept
MINIMUM_EXPECTED	ASSOCIATION_RANGE_COUNT	EQ	7	true	false	false	kb.association_range
MINIMUM_EXPECTED	NEW_ACTIVE_ASSOCIATION_RANGE_COUNT	EQ	0	true	false	false	kb.association_range
MINIMUM_EXPECTED	SOURCE_ANNOTATION_COMPLETENESS	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
MINIMUM_EXPECTED	ADMITTED_SOURCE_RIGHTS_REVIEW_RATE	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
MINIMUM_EXPECTED	ADMITTED_SOURCE_PRIVACY_REVIEW_RATE	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
MINIMUM_EXPECTED	ADMITTED_SOURCE_FILE_HASH_RATE	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
MINIMUM_EXPECTED	RELATIONSHIP_EVIDENCE_PROVENANCE_RATE	EQ	1.0000	true	false	false	audit.v_round3g_evidence_completeness
MINIMUM_EXPECTED	RELATIONSHIP_REVIEW_DISPOSITION_RATE	EQ	1.0000	true	false	false	audit.v_round3g_review_completeness
MINIMUM_EXPECTED	AUTOMATIC_PROMOTION_PATH_COUNT	EQ	0	true	false	false	audit.run_round3g_expected_state_gate
MINIMUM_EXPECTED	UNSUPPORTED_PROMOTION_COUNT	EQ	0	true	false	false	audit.run_round3g_expected_state_gate
MINIMUM_EXPECTED	QUESTION_USER_VALIDATED_COUNT	EQ	0	true	false	false	calibration.question_research_status
MINIMUM_EXPECTED	QUESTION_INFORMATION_GAIN_ESTIMATED_COUNT	EQ	0	true	false	false	calibration.question_research_status
MINIMUM_EXPECTED	MODEL_OR_EMBEDDING_RUN_COUNT	EQ	0	true	false	false	ml.model_run
MINIMUM_EXPECTED	REAL_OBSERVATION_COUNT	EQ	0	true	false	false	audit.round3f_checkpoint
MINIMUM_EXPECTED	ALL_7_CURRENT_RANGES_SEARCHED_OR_REVIEWED	EQ	true	false	true	false	audit.v_round3g_range_review_coverage
MINIMUM_EXPECTED	ALL_18_CURRENT_MEMBERSHIPS_REVIEWED	EQ	true	false	true	false	kb.relationship_review_decision
MINIMUM_EXPECTED	ALL_18_CURRENT_QUESTION_TARGETS_REVIEWED	EQ	true	false	true	false	calibration.question_target_review_decision
MINIMUM_EXPECTED	NEW_NAMED_SOURCE_CANDIDATE_COUNT	GE	4	false	true	false	evidence.source_candidate_register
MINIMUM_EXPECTED	NEW_INDEPENDENT_SOURCE_FAMILY_ADMITTED_COUNT	GE	1	false	true	false	evidence.source_family
MINIMUM_EXPECTED	NEW_IMMUTABLE_SOURCE_SNAPSHOT_COUNT	GE	1	false	true	false	evidence.relationship_source_snapshot
MINIMUM_EXPECTED	NEW_ADMITTED_EVIDENCE_RECORD_COUNT	GT	0	false	true	false	evidence.relationship_evidence_claim
PREFERRED_EXPECTED	NEW_INDEPENDENT_SOURCE_FAMILY_ADMITTED_COUNT	GE	2	false	false	true	evidence.source_family
PREFERRED_EXPECTED	NEW_COFFEE_SENSORY_OR_CONSUMER_SOURCE_FAMILY_COUNT	GE	1	false	false	true	evidence.source_family
PREFERRED_EXPECTED	NEW_BILINGUAL_LEXICAL_OR_CONTEMPORARY_SOURCE_FAMILY_COUNT	GE	1	false	false	true	evidence.source_family
PREFERRED_EXPECTED	SOURCE_LOCAL_RELATIONSHIP_PROMOTION_COUNT	GE	1	false	false	true	kb.relationship_review_decision
OBSERVED	CANONICAL_CONCEPT_COUNT	EQ	130	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	ACTIVE_SENSORY_ATTRIBUTE_COUNT	EQ	92	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	ASSOCIATION_RANGE_COUNT	EQ	7	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	ASSOCIATION_RANGE_MEMBERSHIP_COUNT	EQ	18	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	OVERLAPPING_MEMBERSHIP_COUNT	EQ	8	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	SOURCE_LOCAL_SUPPORTED_RANGE_COUNT	EQ	0	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	CROSS_SOURCE_SUPPORTED_RANGE_COUNT	EQ	0	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	QUESTION_RANGE_TARGET_COUNT	EQ	18	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	TEXT_FIRST_LEXICAL_CANDIDATE_COUNT	EQ	107	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	TEXT_FIRST_OUTSIDE_RANGE_COUNT	EQ	107	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	SOURCE_ANNOTATION_COMPLETENESS	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
OBSERVED	ADMITTED_SOURCE_RIGHTS_REVIEW_RATE	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
OBSERVED	ADMITTED_SOURCE_PRIVACY_REVIEW_RATE	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
OBSERVED	ADMITTED_SOURCE_FILE_HASH_RATE	EQ	1.0000	true	false	false	audit.v_round3g_source_completeness
OBSERVED	RELATIONSHIP_EVIDENCE_PROVENANCE_RATE	EQ	1.0000	true	false	false	audit.v_round3g_evidence_completeness
OBSERVED	RELATIONSHIP_REVIEW_DISPOSITION_RATE	EQ	1.0000	true	false	false	audit.v_round3g_evidence_completeness
OBSERVED	ALL_7_CURRENT_RANGES_SEARCHED_OR_REVIEWED	EQ	true	false	true	false	audit.v_round3g_range_review_coverage
OBSERVED	ALL_18_CURRENT_MEMBERSHIPS_REVIEWED	EQ	true	false	true	false	kb.relationship_review_decision
OBSERVED	ALL_18_CURRENT_QUESTION_TARGETS_REVIEWED	EQ	true	false	true	false	calibration.question_target_review_decision
OBSERVED	NEW_NAMED_SOURCE_CANDIDATE_COUNT	EQ	6	false	true	false	evidence.source_candidate_register
OBSERVED	NEW_RIGHTS_CLEARED_SOURCE_COUNT	EQ	3	false	false	false	evidence.relationship_source
OBSERVED	NEW_INDEPENDENT_SOURCE_FAMILY_ADMITTED_COUNT	EQ	2	false	true	true	evidence.source_family
OBSERVED	NEW_IMMUTABLE_SOURCE_SNAPSHOT_COUNT	EQ	3	false	true	false	evidence.relationship_source_snapshot
OBSERVED	NEW_SOURCE_FILE_COUNT	EQ	4	false	false	false	evidence.relationship_source_file
OBSERVED	NEW_ADMITTED_EVIDENCE_RECORD_COUNT	EQ	20	false	true	false	evidence.relationship_evidence_claim
OBSERVED	SOURCE_LOCAL_RELATIONSHIP_PROMOTION_COUNT	EQ	1	false	false	true	audit.v_round3g_promotion_audit
OBSERVED	AUTOMATIC_PROMOTION_PATH_COUNT	EQ	0	true	false	false	audit.round3g_checkpoint
OBSERVED	UNSUPPORTED_PROMOTION_COUNT	EQ	0	true	false	false	audit.v_round3g_promotion_audit
OBSERVED	QUESTION_USER_VALIDATED_COUNT	EQ	0	true	false	false	audit.round3g_checkpoint
OBSERVED	QUESTION_INFORMATION_GAIN_ESTIMATED_COUNT	EQ	0	true	false	false	audit.round3g_checkpoint
OBSERVED	MODEL_OR_EMBEDDING_RUN_COUNT	EQ	0	true	false	false	audit.round3g_checkpoint
OBSERVED	REAL_OBSERVATION_COUNT	EQ	0	true	false	false	audit.round3g_checkpoint
OBSERVED	EXPECTED_STATE_THRESHOLD_REVISION_COUNT	EQ	0	true	false	false	audit.round3g_threshold_revision
OBSERVED	EXPECTED_STATE_HARD_GATE_PASS	EQ	true	true	false	false	audit.run_round3g_expected_state_gate
OBSERVED	MINIMUM_EXPECTED_STATE_PASS	EQ	true	false	true	false	audit.run_round3g_expected_state_gate
OBSERVED	PREFERRED_EXPECTED_STATE_PASS	EQ	true	false	false	true	audit.run_round3g_expected_state_gate
OBSERVED	EXPECTED_STATE_RESULT	EQ	PASS	false	false	false	audit.round3g_expected_state_result
DELTA	CANONICAL_CONCEPT_COUNT	EQ	0	true	false	false	kb.concept
DELTA	ACTIVE_SENSORY_ATTRIBUTE_COUNT	EQ	0	true	false	false	kb.concept
DELTA	ASSOCIATION_RANGE_COUNT	EQ	0	true	false	false	corpus.association_range
DELTA	ASSOCIATION_RANGE_MEMBERSHIP_COUNT	EQ	0	true	false	false	corpus.association_range_membership
DELTA	OVERLAPPING_MEMBERSHIP_COUNT	EQ	0	true	false	false	corpus.association_range_membership
DELTA	SOURCE_LOCAL_SUPPORTED_RANGE_COUNT	EQ	0	true	false	false	corpus.association_range
DELTA	CROSS_SOURCE_SUPPORTED_RANGE_COUNT	EQ	0	true	false	false	corpus.association_range
DELTA	QUESTION_RANGE_TARGET_COUNT	EQ	0	true	false	false	calibration.question_range_target
DELTA	TEXT_FIRST_LEXICAL_CANDIDATE_COUNT	EQ	0	true	false	false	corpus.lexical_mapping_candidate
DELTA	TEXT_FIRST_OUTSIDE_RANGE_COUNT	EQ	0	true	false	false	corpus.v_lexical_candidate_range_disposition
DELTA	NEW_NAMED_SOURCE_CANDIDATE_COUNT	EQ	6	false	true	false	evidence.source_candidate_register
DELTA	NEW_RIGHTS_CLEARED_SOURCE_COUNT	EQ	3	false	false	false	evidence.relationship_source
