evidence_claim_key	target_entity_type	target_entity_key	source_family_key	source_key	snapshot_key	evidence_basis	evidence_direction	evidence_scope	evidence_locator	method	support_count	document_count	source_diversity	review_status	limitation
claim.liberica.membership.smoke.supports	MEMBERSHIP	membership.roast-spice-smoke.smoke	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	SUPPORTS	SOURCE_LOCAL	Dataset.xlsx:RATA Test!A33:K62; aggregate row Smoky Aroma	RATA descriptor measured across nine source-defined sample configurations	9	9	1	REVIEWED	Supports source-local use of a smoky descriptor only; it does not imply synonymy with roasty or spice.
claim.liberica.range.roast.distinct	ASSOCIATION_RANGE	roast-spice-smoke	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Dataset.xlsx:RATA Test rows Smoky Aroma and Roasty Flavor	Separate RATA variables compared within one protocol	9	9	1	REVIEWED	The source separates smoky aroma and roasty flavor; the project range must not collapse them.
claim.liberica.range.fruit.jackfruit	ASSOCIATION_RANGE	fruit	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	INSUFFICIENT	SOURCE_LOCAL	Dataset.xlsx:RATA Test row Jackfruit Aroma	Single descriptor measured across source-defined samples	9	9	1	REVIEWED	A named fruit descriptor is present, but no relationship among current fruit memberships is tested.
claim.liberica.range.sweet.direct	ASSOCIATION_RANGE	sweet-associated	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Dataset.xlsx:RATA Test row Sweet	Single descriptor measured across source-defined samples	9	9	1	REVIEWED	Direct sweetness ratings are relevant, but the source does not associate caramel or honey with them.
claim.liberica.range.acidity.sour-separate	ASSOCIATION_RANGE	acidity-character	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Dataset.xlsx:RATA Test row Sour	Separate RATA variable under the source protocol	9	9	1	REVIEWED	The source operationalizes sour directly and does not establish bright, citrus and juicy as equivalent acidity constructs.
claim.liberica.range.texture.separate	ASSOCIATION_RANGE	texture-body-drying	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Dataset.xlsx:RATA Test rows Astringent Aftertaste and Body	Separate RATA variables compared within one protocol	9	9	1	REVIEWED	Body and astringent aftertaste are separate variables; neither validates juicy, silky or tea-like as interchangeable texture terms.
claim.liberica.range.floral.outside	ASSOCIATION_RANGE	floral-tea	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	INSUFFICIENT	SOURCE_LOCAL	Dataset.xlsx:RATA Test!A158:J168	Declared descriptor inventory review	10	9	1	REVIEWED	No targeted floral or tea grouping is present; absence is not negative evidence.
claim.liberica.range.cocoa.outside	ASSOCIATION_RANGE	cocoa-nut-caramel	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	COFFEE_SENSORY_STUDY	INSUFFICIENT	SOURCE_LOCAL	Dataset.xlsx:RATA Test!A158:J168	Declared descriptor inventory review	10	9	1	REVIEWED	No cocoa, nut or caramel grouping is tested; absence is not negative evidence.
claim.liberica.question.roast-direction	QUESTION_TARGET	question-range.roast-direction.roast-spice-smoke	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	SOURCE_LOCAL	Dataset.xlsx:RATA Test rows Smoky Aroma and Roasty Flavor	Protocol relevance review	9	9	1	REVIEWED	Relevant sensory variables exist, but the source did not test the project question wording or ordinary-user comprehension.
claim.liberica.question.roast-smoke	QUESTION_TARGET	question-range.roast-smoke-reference.roast-spice-smoke	family.liberica-ratapanel-2025	mendeley.liberica-sensory.v1	snapshot.mendeley-liberica.v1	QUESTION_WORDING_EVIDENCE	INSUFFICIENT	SOURCE_LOCAL	Dataset.xlsx:RATA Test rows Smoky Aroma and Roasty Flavor	Protocol relevance review	9	9	1	REVIEWED	Research context was added without user validation or information-gain estimation.
