descriptor	L_100_0	L_95_5	L_90_10	M_100_0	M_95_5	M_90_10	D_100_0	D_95_5	D_90_10
Green Aroma	1.92	2.1739130434782608	2.52	1.826086956521739	1.9565217391304348	2	1.3913043478260869	1.5652173913043479	1.6521739130434783
Jackfruit Aroma	0.8	0.88	1.173913043478261	2	1.5652173913043479	1.4782608695652173	1.3913043478260869	1.4782608695652173	1.3913043478260869
Smoky Aroma	2.347826086956522	2.52	2.7391304347826089	3.0869565217391304	3.3913043478260869	3.5217391304347827	2.8695652173913042	3.1304347826086958	3.36
Sweet	1.7826086956521738	1.88	2.347826086956522	2.4347826086956523	2.5652173913043477	2.2400000000000002	2.1739130434782608	1.6956521739130435	1.2173913043478262
Sour	1.3043478260869565	1.3913043478260869	1.5652173913043479	1.8695652173913044	1.72	1.6956521739130435	1.5652173913043479	1.3043478260869565	1.28
Bitter	1.52	1.9130434782608696	1.92	2.0434782608695654	2.0434782608695654	2.2173913043478262	2.7391304347826089	3.2608695652173911	3.347826086956522
Roasty Flavor	2.48	2.04	2.3913043478260869	2.6086956521739131	2.5652173913043477	3	3.1304347826086958	3.0869565217391304	2.4347826086956523
Bitter Aftertaste	1.48	1.7826086956521738	1.9130434782608696	1.9565217391304348	2	2.04	2.7826086956521738	2.8260869565217392	2.9565217391304346
Astringent Aftertaste	1.6086956521739131	2	2.2608695652173911	1.68	1.8695652173913044	1.9565217391304348	1.4347826086956521	1.48	1.5652173913043479
Body	1.6	1.6956521739130435	1.84	1.9565217391304348	2.0434782608695654	2.1304347826086958	2.5652173913043477	2.7391304347826089	2.7391304347826089
