review_key	question_range_target_key	disposition	supporting_source_families	challenging_source_families	decision_reason	remaining_uncertainty	review_protocol
review.question.family-floral	question-range.family-direction.floral-tea	BILINGUAL_REVIEW_REQUIRED	none	none	Cross-edition title attestation does not validate a bilingual question option.	Independent bilingual review and ordinary-user comprehension evidence are absent.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.family-fruit	question-range.family-direction.fruit	RETAIN_HYPOTHESIS	none	none	No admitted evidence directly tested this question target.	Ordinary-user comprehension and context effects remain unmeasured.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.family-cocoa	question-range.family-direction.cocoa-nut-caramel	RETAIN_HYPOTHESIS	none	none	No admitted evidence directly tested this question target.	The combined cocoa/roast option remains a design hypothesis.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.family-roast	question-range.family-direction.roast-spice-smoke	RETAIN_HYPOTHESIS	none	family.liberica-ratapanel-2025	The sensory source separates smoky aroma and roasty flavor rather than testing the combined option.	Ordinary-user interpretation remains unknown.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.fruit-direction	question-range.fruit-direction.fruit	RETAIN_HYPOTHESIS	none	none	Jackfruit measurement does not validate this question wording.	User comprehension and coverage remain untested.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.sweet-direction	question-range.sweet-direction.sweet-associated	RETAIN_HYPOTHESIS	none	none	A direct Sweet rating does not validate caramel/honey question wording.	User comprehension and construct alignment remain untested.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.roast-direction	question-range.roast-direction.roast-spice-smoke	RESEARCH_SUPPORT_ADDED	family.liberica-ratapanel-2025	family.liberica-ratapanel-2025	A coffee RATA source adds relevant roast/smoke context while separating the variables.	The source did not test the project wording, user comprehension or information gain.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.bright-acidity	question-range.bright-acidity.acidity-character	BILINGUAL_REVIEW_REQUIRED	none	family.liberica-ratapanel-2025	Bright/明亮 title attestation and a separate Sour variable do not establish equivalence.	Independent bilingual and ordinary-user review are required.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.texture-direction	question-range.texture-direction.texture-body-drying	RETAIN_HYPOTHESIS	none	family.liberica-ratapanel-2025	The source measures body/astringency separately and does not test the juicy/silky option.	User comprehension and construct compatibility remain unknown.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.floral-reference	question-range.floral-tea-reference.floral-tea	BILINGUAL_REVIEW_REQUIRED	none	none	茉莉 and jasmine titles are attested but no equivalence or wording validation follows.	Independent bilingual review is required.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.tea-style	question-range.tea-style-reference.floral-tea	BILINGUAL_REVIEW_REQUIRED	none	none	Tea-like and 茶感 were missing in the exact metadata query; absence is not negative evidence.	Register, sensory meaning and user comprehension remain unresolved.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.fruit-region	question-range.fruit-region-reference.fruit	RETAIN_HYPOTHESIS	none	none	The sensory source measured one jackfruit descriptor but did not test the project's fruit-region options.	Coverage and wording remain unvalidated.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.cocoa-nut	question-range.cocoa-nut-reference.cocoa-nut-caramel	RETAIN_HYPOTHESIS	none	none	No admitted source tested the question target.	Ordinary-user comprehension remains unmeasured.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.browned-sweet	question-range.browned-sweet-reference.cocoa-nut-caramel	RETAIN_HYPOTHESIS	none	none	Direct Sweet ratings do not validate browned-sweet wording.	Caramel/honey/cocoa relationships remain untested.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.roast-smoke	question-range.roast-smoke-reference.roast-spice-smoke	RESEARCH_SUPPORT_ADDED	family.liberica-ratapanel-2025	family.liberica-ratapanel-2025	A coffee RATA source adds relevant smoky and roasty variables while keeping them separate.	No wording, bilingual or ordinary-user validation was performed.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.sweetness-character	question-range.sweetness-character.sweet-associated	RETAIN_HYPOTHESIS	family.liberica-ratapanel-2025	none	The source measured Sweet, which is relevant context but not question validation.	The relationship to proposed answer wording remains untested.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.acidity-character	question-range.acidity-character.acidity-character	RETAIN_HYPOTHESIS	none	family.liberica-ratapanel-2025	The source measured Sour separately and did not test the project's acidity wording.	Construct boundaries and user comprehension remain unresolved.	ROUND3G_QUESTION_TARGET_MATRIX_V1
review.question.texture-character	question-range.texture-character.texture-body-drying	RETAIN_HYPOTHESIS	none	family.liberica-ratapanel-2025	The source measures Body and Astringent Aftertaste separately; lexical evidence for juicy is insufficient.	The target remains unvalidated and information gain is not estimable.	ROUND3G_QUESTION_TARGET_MATRIX_V1
