source_route_id	source_url	restricted_relative_path	sha256	byte_count	acquisition_cursor
route.frontiers.2024.inera-robusta-q-grader-frequency	https://api.figshare.com/v2/articles/25735122	restricted://post20k_extension/raw/non-coe/figshare-25735122-metadata.json	9782af9bdbf70cfcc8bbe562e32c805c9f2399ad9eee90c7a740811fe532209e	17299	noncoe-route=frontiers-inera-robusta;status=EXHAUSTED
route.frontiers.2024.inera-robusta-q-grader-frequency	https://ndownloader.figshare.com/files/46039437	restricted://post20k_extension/raw/non-coe/frontiers-inera-robusta-sensory.xlsx	4ca2bff21183d2615e244f68b330ba23282f56e6d012c7be762f04baa19abb0a	31426	noncoe-route=frontiers-inera-robusta;status=EXHAUSTED
route.frontiers.2026.lengupa-trained-cupper-table	https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2026.1809471/full	restricted://post20k_extension/raw/non-coe/frontiers-lengupa-trained-cupper-article.html	e5bbcdf68eb025877d1e00e037a3f1710b58c94e697ed0e398af32129809428e	1012517	noncoe-route=frontiers-lengupa;status=EXHAUSTED
route.coe.archive-continuation	https://farmdirectory.cupofexcellence.org/listings/page/12/	restricted://post20k_extension/raw/coe-archive/listings-page-012.html	49dd9698e34bc42010071e05cff598d73922e6fec63003b4b993e66992bdaaf7	129123	archive-page=12
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/9-liquidambar-honduras-2026-parainema-catracha/	restricted://post20k_extension/raw/coe-detail/9f59e2f1a803e4821c2e796b.html	cd7ab2c750d7365ec45607c343128ed43182cb1d732cc0b881c8972feba6234b	141014	archive-page=12;detail-index=10;url=https://farmdirectory.cupofexcellence.org/listing/9-liquidambar-honduras-2026-parainema-catracha/
route.coe.archive-continuation	https://farmdirectory.cupofexcellence.org/listings/page/13/	restricted://post20k_extension/raw/coe-archive/listings-page-013.html	e0ec727dd6339f6e9f6abeedb8b7c93fc9d315861cb9d8c6b850a1e476d5b3ff	129039	archive-page=13
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/1-la-cascada-honduras-2026-honduras-traditional/	restricted://post20k_extension/raw/coe-detail/fbe78dc86a1868dcda505eec.html	d9e9642d105a3076a4e1c6f49c0f539a22595bcb3b5b47cd4c6d174654530dca	144447	archive-page=13;detail-index=1;url=https://farmdirectory.cupofexcellence.org/listing/1-la-cascada-honduras-2026-honduras-traditional/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/10-mystic-hills-costa-rica-2026-experimental/	restricted://post20k_extension/raw/coe-detail/79de7988f31d39cb4a0917a0.html	6780d7c9346b12ac9baf020287277be969cf4033d8d3f46e18e7a67baf2d8002	143371	archive-page=13;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/10-mystic-hills-costa-rica-2026-experimental/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/2-el-manantial-honduras-2026-honduras-traditional/	restricted://post20k_extension/raw/coe-detail/5e4ab136c38c251de71eb052.html	24cb81525f672ea1b6d8e72b4351d7ea7870e72c32648ccdbf1db9ab3e7eeac2	143172	archive-page=13;detail-index=3;url=https://farmdirectory.cupofexcellence.org/listing/2-el-manantial-honduras-2026-honduras-traditional/
route.coe.generic-official-sensory-detail	https://farmdirectory.cupofexcellence.org/listing/3-las-acacias-honduras-2026-honduras-traditional/	restricted://post20k_extension/raw/coe-detail/0bbf5de8fbbb2f719c0df302.html	a8acc3886fe970741d3571b7e60610911ae40f072c8f0d1e4a340cba5cb94306	144395	archive-page=13;detail-index=4;url=https://farmdirectory.cupofexcellence.org/listing/3-las-acacias-honduras-2026-honduras-traditional/
