model	variant	scope	groups	ndcg5	recall5	recall8	attribute_mae	wrong_initial_count	wrong_direction_correction_rate	correct_initial_count	correct_direction_loss_rate	direction_not_identifiable_count	duplicate_evidence_max_gain	real_answer_evaluation
M2_R1_FIXED	V0	ALL_DEVELOPMENT_GROUPS	187	0.444088023076634	0.5112299465240642	0.6830659536541889		0		0		0		NOT_EVALUATED
M2_R1_FIXED	V0	inera	73	0.5225253495676272	0.6894977168949771	0.9235159817351597		0		0		0		NOT_EVALUATED
M2_R1_FIXED	V0	lengupa	21	0.2823404447264664	0.3333333333333333	0.4682539682539682		0		0		0		NOT_EVALUATED
M2_R1_FIXED	V0	zenodo	93	0.4190425855659996	0.4114695340501792	0.5428315412186381		0		0		0		NOT_EVALUATED
explicit_attributes	V1	ALL_DEVELOPMENT_GROUPS	187	0.4462884876215261	0.5094474153297682	0.6844028520499108	0.17288524606266079	0		0		0		NOT_EVALUATED
explicit_attributes	V1	inera	73	0.5183401703650246	0.6735159817351598	0.9166666666666667	0.17288524606266079	0		0		0		NOT_EVALUATED
explicit_attributes	V1	lengupa	21	0.2823404447264664	0.3333333333333333	0.4682539682539682		0		0		0		NOT_EVALUATED
explicit_attributes	V1	zenodo	93	0.4267523162292773	0.42043010752688176	0.5508960573476703		0		0		0		NOT_EVALUATED
explicit_attributes	V2	ALL_DEVELOPMENT_GROUPS	187	0.4253077372379744	0.49884135472370766	0.6655080213903742	0.20167753855885534	90	0.022222222222222223	105	0.01904761904761905	16	0.0	NOT_EVALUATED
explicit_attributes	V2	inera	73	0.4909783029644057	0.6586757990867579	0.8984018264840182	0.20167753855885534	55	0.0	39	0.05128205128205128	1	0.0	NOT_EVALUATED
explicit_attributes	V2	lengupa	21	0.2852662803433468	0.3333333333333333	0.4682539682539682		6	0.0	6	0.0	9	0.0	NOT_EVALUATED
explicit_attributes	V2	zenodo	93	0.4053821382783795	0.41075268817204297	0.5272401433691756		29	0.06896551724137931	60	0.0	6	0.0	NOT_EVALUATED
nmf_projection	V1	ALL_DEVELOPMENT_GROUPS	187	0.44015086910969425	0.5040998217468806	0.6830659536541889	0.2490599216522558	0		0		0		NOT_EVALUATED
nmf_projection	V1	inera	73	0.512287253280898	0.6712328767123288	0.9235159817351597	0.2490599216522558	0		0		0		NOT_EVALUATED
nmf_projection	V1	lengupa	21	0.2823404447264664	0.3333333333333333	0.4682539682539682		0		0		0		NOT_EVALUATED
nmf_projection	V1	zenodo	93	0.4191622977930265	0.4114695340501792	0.5428315412186381		0		0		0		NOT_EVALUATED
nmf_projection	V2	ALL_DEVELOPMENT_GROUPS	187	0.42203200423370313	0.4961675579322638	0.6659536541889483	0.282359467338995	92	0.010869565217391304	103	0.038834951456310676	16	0.0	NOT_EVALUATED
nmf_projection	V2	inera	73	0.484497288610267	0.6586757990867579	0.9098173515981733	0.282359467338995	54	0.018518518518518517	40	0.025	1	0.0	NOT_EVALUATED
nmf_projection	V2	lengupa	21	0.2852662803433468	0.3333333333333333	0.4682539682539682		6	0.0	6	0.3333333333333333	9	0.0	NOT_EVALUATED
nmf_projection	V2	zenodo	93	0.4038826971606742	0.40537634408602147	0.5191756272401433		32	0.0	57	0.017543859649122806	6	0.0	NOT_EVALUATED
supervised_soft_profile	V1	ALL_DEVELOPMENT_GROUPS	187	0.443497008379032	0.5067736185383244	0.6861853832442067	0.17399755610644901	0		0		0		NOT_EVALUATED
supervised_soft_profile	V1	inera	73	0.5168661594401867	0.6712328767123288	0.9166666666666667	0.17399755610644901	0		0		0		NOT_EVALUATED
supervised_soft_profile	V1	lengupa	21	0.2823404447264664	0.3333333333333333	0.4682539682539682		0		0		0		NOT_EVALUATED
supervised_soft_profile	V1	zenodo	93	0.4222963611665544	0.4168458781362007	0.5544802867383513		0		0		0		NOT_EVALUATED
