dataset	model	groups	held_group_index	held_conditions	stage	standardized_mae	delta_from_base	c0_other_error_increase	c1_other_error_increase	both_error_increase	status	scope	reason
iswaldi_chemical	C_BASE	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	1.2621559915078022	0.0	0.0	0.0	0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_C0	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	1.1713628056646483	-0.09079318584315388	0.3291952135934355	0.0	0.3291952135934355	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_C1	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	1.0889375214277581	-0.1732184700800441	0.0	0.3924830184996262	0.3924830184996262	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_ADD	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.9914482245611175	-0.27070776694668475	0.3950155948004729	0.38234678336108197	0.7076201716897356	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_JOINT	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.987560300260423	-0.27459569124737926	0.4019112196880519	0.3864333024813169	0.7144879110420905	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_BASE	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	1.2037969536443847	0.0	0.0	0.0	0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_C0	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	1.1134985931792238	-0.09029836046516082	0.27829034904140326	0.0	0.27829034904140326	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_C1	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	1.009575101238525	-0.19422185240585965	0.0	0.5357130210005412	0.5357130210005412	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_ADD	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.9208949533924177	-0.282902000251967	0.3540816032260915	0.5081482833170635	0.7981708991335598	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical	C_JOINT	2	1	6	CONTEXT_ONLY_SOURCE_NATIVE	0.9153171264805461	-0.2884798271638386	0.36437576096568336	0.5172370877428781	0.806048562352904	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_chemical		2			INITIAL_EXTRACTION						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
iswaldi_chemical		2			FOUNDATION_CHECK						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
iswaldi_chemical		2			FINAL_RESULT						NOT_ESTIMABLE		No verified production seven-bin C1 + independent stage answers + common specific targets; source-native labels not substituted.
iswaldi_consumer_sensory	C_BASE	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.8890794407643311	0.0	0.0	0.0	0.0	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
iswaldi_consumer_sensory	C_C0	2	0	6	CONTEXT_ONLY_SOURCE_NATIVE	0.8500641864838281	-0.03901525428050301	0.19285271771939017	0.0	0.19285271771939017	INCONCLUSIVE	Source-native aggregate; per-group results, no small-n confidence claim	
