configuration_id	true_target_concept_id	predicted_target_concept_id	output_count	protocol
B0_EXACT_LOOKUP	sensory.almond	sensory.almond	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.apple	sensory.apple	9	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.bergamot	sensory.bergamot	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.bitter	sensory.bitter	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.black_tea	sensory.black_tea	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.blackcurrant	sensory.blackcurrant	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.blueberry	sensory.blueberry	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.caramel	sensory.caramel	22	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.cardamom	sensory.cardamom	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.cherry	sensory.cherry	4	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.clove	ABSTAIN	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.cocoa	sensory.cocoa	26	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.dark_chocolate	sensory.dark_chocolate	17	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.grape	sensory.grape	3	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.grapefruit	sensory.grapefruit	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.green_tea	sensory.green_tea	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.hay	ABSTAIN	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.hazelnut	sensory.hazelnut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.lemon	sensory.lemon	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.nutmeg	sensory.nutmeg	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.orange	sensory.orange	5	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.peach	sensory.peach	2	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
B0_EXACT_LOOKUP	sensory.peanut	sensory.peanut	1	GROUPED_SAMPLE_COFFEE_SPLIT_TEST
