target_concept_id	output_atom_count	distinct_group_count	source_family_count	year_count	train_output_count	train_group_count	dev_output_count	dev_group_count	test_output_count	test_group_count	support_status
sensory.alcoholic	12	11	1	1	10	10	2	1	0	0	SUPPORTED_TARGET
sensory.almond	10	9	2	1	5	5	2	1	3	3	SUPPORTED_TARGET
sensory.apple	71	42	1	1	55	34	7	4	9	4	SUPPORTED_TARGET
sensory.banana	3	3	2	1	3	3	0	0	0	0	LOW_SUPPORT_TARGET
sensory.bergamot	18	13	1	1	15	10	2	2	1	1	SUPPORTED_TARGET
sensory.bitter	7	7	1	1	3	3	3	3	1	1	SUPPORTED_TARGET
sensory.black_pepper	3	2	1	1	2	1	1	1	0	0	LOW_SUPPORT_TARGET
sensory.black_tea	51	36	1	1	37	25	9	6	5	5	SUPPORTED_TARGET
sensory.blackberry	3	3	1	1	3	3	0	0	0	0	LOW_SUPPORT_TARGET
sensory.blackcurrant	9	9	1	1	8	8	0	0	1	1	SUPPORTED_TARGET
sensory.blueberry	6	5	1	1	5	4	0	0	1	1	SUPPORTED_TARGET
sensory.caramel	174	83	2	1	119	57	33	15	22	11	SUPPORTED_TARGET
sensory.cardamom	7	7	1	1	4	4	2	2	1	1	SUPPORTED_TARGET
sensory.chamomile	1	1	1	1	1	1	0	0	0	0	LOW_SUPPORT_TARGET
sensory.cherry	26	22	1	1	20	17	2	2	4	3	SUPPORTED_TARGET
sensory.cinnamon	3	3	1	1	3	3	0	0	0	0	LOW_SUPPORT_TARGET
sensory.clove	1	1	1	1	0	0	0	0	1	1	LOW_SUPPORT_TARGET
sensory.cocoa	158	119	2	3	108	81	24	18	26	20	SUPPORTED_TARGET
sensory.dark_chocolate	73	46	1	1	45	31	11	6	17	9	SUPPORTED_TARGET
sensory.earthy	2	2	2	1	2	2	0	0	0	0	LOW_SUPPORT_TARGET
sensory.grape	22	15	1	1	18	11	1	1	3	3	SUPPORTED_TARGET
sensory.grapefruit	17	14	1	1	12	9	3	3	2	2	SUPPORTED_TARGET
sensory.green_tea	16	14	1	1	15	13	0	0	1	1	SUPPORTED_TARGET
sensory.hay	1	1	1	1	0	0	0	0	1	1	LOW_SUPPORT_TARGET
sensory.hazelnut	21	18	2	1	15	13	5	4	1	1	SUPPORTED_TARGET
sensory.honey	14	11	2	1	14	11	0	0	0	0	LOW_SUPPORT_TARGET
sensory.jasmine	14	10	1	1	14	10	0	0	0	0	LOW_SUPPORT_TARGET
sensory.lemon	23	14	1	1	20	12	1	1	2	1	SUPPORTED_TARGET
sensory.lemongrass	4	3	2	1	4	3	0	0	0	0	LOW_SUPPORT_TARGET
sensory.lime	9	5	1	1	9	5	0	0	0	0	LOW_SUPPORT_TARGET
sensory.malt	3	2	1	1	1	1	2	1	0	0	LOW_SUPPORT_TARGET
sensory.mango	4	4	1	1	4	4	0	0	0	0	LOW_SUPPORT_TARGET
sensory.molasses	5	4	1	1	5	4	0	0	0	0	LOW_SUPPORT_TARGET
sensory.nutmeg	2	2	1	1	1	1	0	0	1	1	LOW_SUPPORT_TARGET
sensory.orange	39	25	1	1	29	17	5	3	5	5	SUPPORTED_TARGET
sensory.peach	17	15	1	1	10	10	5	3	2	2	SUPPORTED_TARGET
sensory.peanut	3	3	2	1	1	1	1	1	1	1	LOW_SUPPORT_TARGET
sensory.pear	12	10	1	1	8	7	1	1	3	2	SUPPORTED_TARGET
sensory.pineapple	8	7	1	1	7	6	1	1	0	0	SUPPORTED_TARGET
sensory.plum	2	2	1	1	1	1	1	1	0	0	LOW_SUPPORT_TARGET
sensory.pomegranate	1	1	1	1	0	0	1	1	0	0	LOW_SUPPORT_TARGET
sensory.prune	10	9	1	1	6	6	2	1	2	2	SUPPORTED_TARGET
sensory.raisin	17	15	1	1	13	11	4	4	0	0	SUPPORTED_TARGET
sensory.raspberry	14	13	1	1	11	11	3	2	0	0	SUPPORTED_TARGET
sensory.rose	1	1	1	1	1	1	0	0	0	0	LOW_SUPPORT_TARGET
sensory.smoky	1	1	1	1	1	1	0	0	0	0	LOW_SUPPORT_TARGET
sensory.strawberry	19	13	1	1	18	12	1	1	0	0	SUPPORTED_TARGET
sensory.tobacco	39	25	1	1	27	18	11	6	1	1	SUPPORTED_TARGET
sensory.vanilla	10	4	1	1	2	1	0	0	8	3	LOW_SUPPORT_TARGET
sensory.walnut	12	11	1	1	9	8	2	2	1	1	SUPPORTED_TARGET
sensory.wine_like_character	2	2	1	1	2	2	0	0	0	0	LOW_SUPPORT_TARGET
sensory.woody	5	5	2	1	4	4	0	0	1	1	SUPPORTED_TARGET
