group_id	split	output_atom_count	source_family_ids	year_ids	effective_record_ids	coffee_identity_ids	duplicate_group_ids	publication_layers	target_concept_ids	grouping_contract
smoke-group:00071bbad008285ae79d55e5	DEV	4	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:a92ea3b53ddae2f2705e0bab	coffee-b2:2bf91ea9dc982e0a76dab72c		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.caramel|sensory.lemon|sensory.orange	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:0036982f8dac46792eead8f9	TRAIN	8	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:e7105ff063a2e45ce5c9feb7	coffee-b2:29357427895568fb12a1b95d		JUDGE_LEVEL_OBSERVATION	sensory.alcoholic|sensory.apple|sensory.cherry|sensory.cocoa|sensory.lime|sensory.pineapple|sensory.raspberry	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:02214734a1a69c8545df0fa9	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:f30db4415598d91b0b8ad135	coffee-post20k:113a63d2a5e716d92ef7810a		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:046e36b193d8db6fcec0f912	TRAIN	8	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:48db3d3b6dd66ab9e20f4236	coffee-b2:af64b00185fe646ca4950217		JUDGE_LEVEL_OBSERVATION	sensory.black_tea|sensory.caramel|sensory.cocoa|sensory.dark_chocolate|sensory.jasmine|sensory.orange	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:05589b42b129ebec533085f4	DEV	6	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:79476fcb664e34248fb08fe6	coffee-b2:49680049bb9d378f81521106		JUDGE_LEVEL_OBSERVATION	sensory.apple|sensory.caramel|sensory.orange|sensory.raisin|sensory.raspberry	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:0643b4a548c2e00e46cf84ea	TRAIN	3	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:a2a511ad5fb05627ba7de7f9	coffee-b2:483289d29910b88899d644ae		JUDGE_LEVEL_OBSERVATION	sensory.caramel|sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:072871be347cdad0a71e8c50	TRAIN	2	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:bfbb3d3eac0a951aa3c169fa	coffee-b2:f41507e0f529266415caef1a		JUDGE_LEVEL_OBSERVATION	sensory.caramel|sensory.woody	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:07867e1167de99f1060192fb	TRAIN	1	family.frontiers_inera_robusta_q_grader_panel	year.2021	effective-post20k:0c0535874738d2730dff1af5	coffee-post20k:1dbaad27006226aaae9223a5		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.cocoa	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:0831aa190562efca44407305	DEV	14	family.zenodo_golovinsky_q_grader_dataset	year.2026	effective-b2:744b667ff8500da9c1593ad4	coffee-b2:ff841fdbd856978102ce46e6		JUDGE_LEVEL_OBSERVATION	sensory.bergamot|sensory.bitter|sensory.caramel|sensory.cocoa|sensory.dark_chocolate|sensory.hazelnut|sensory.tobacco	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
smoke-group:0943cbee1e041b50b24b250b	TEST	1	family.frontiers_cenicafe_lengupa_trained_cuppers	year.2026	effective-post20k:f73701fa4ec710e0b0db5efb	coffee-post20k:a54c18c0f18be598ea53c919		TRAINED_PANEL_SAMPLE_CONSENSUS	sensory.almond	COFFEE_SAMPLE_EFFECTIVE_RECORD_DUPLICATE_MIRROR_CONNECTED_COMPONENT
