cleaned_output_atom_id	descriptor_assertion_id	cleaned_form_hash	source_family_id	semantic_class	mapping_state	normalization_authority	target_concept_id	noncommercial_model_research_right	restricted_text_available	engineering_smoke_eligible	exclusion_reasons	model_eligible
cleaned-output-atom:f629662557e2fea8ab92eff7	assertion-b2:00027c1605fb6305bf2c86b0	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.plum	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:d118d0a1e43779822dcc272a	assertion-b2:00034a1df3120a9fcc6a2bf6	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	NO_GOVERNED_AUTHORITY	sensory.butter	UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:eb531e58209e8f47b29d0ac3	assertion-b2:0003d39d95eb41d207f4e8a9	10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:c69c159bc2a46479c66572b5	assertion-b2:000417b681f08d9c0a925254	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.plum	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:b3ceae88b1a10984adf3bc13	assertion-b2:000467bc304734688ddb4946	206b5ec743f4c4871bc45ea8f93272fe162d8a1aaad6c684299ccdf813183c14	family.ace_cup_of_excellence	STRICT_FLAVOR	GENUINE_ONTOLOGY_CANDIDATE	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:a23e5516ccbb89f5ebe2255e	assertion-b2:0006dfde570ee97fad329164	5a0e41ccb2772cccff26fa42e821bb81f43f5cecddbb7ffc9106df783563dc9a	family.ace_cup_of_excellence	SEMANTICALLY_UNRESOLVED	UNRESOLVED	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:1f4d29872dca2845c9c06410	assertion-b2:0006dfde570ee97fad329164	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	family.ace_cup_of_excellence	INTENSITY_OR_QUALITY_MODIFIER	MODIFIER_OF_EXISTING_CONCEPT	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:3dc85bbb50ae4a8fa4ba8384	assertion-b2:00071e1faee1d91f1f6045af	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.dark_chocolate	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:7223e7a4a2c1ef07bae98df0	assertion-b2:0008b23298aad41e184dea36	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.salty	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:db76a48f5eb373bb5a82deca	assertion-b2:000953e5e639232de557ebf6	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_EXACT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.almond	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:2e842f57f3a90e3cb58f4493	assertion-b2:000a4351bca711cdefc4e745	c6de72fbfb89efcf82e78393d9b7736ebc531f493a9902bd120202101d35925c	family.ace_cup_of_excellence	STRICT_FLAVOR	EXISTING_CANONICAL_MORPHOLOGICAL_VARIANT	MACHINE_GOVERNED_HIGH_CONFIDENCE	sensory.cherry	UNKNOWN	true	false	NCMR_RIGHTS_UNKNOWN	false
cleaned-output-atom:dbd685d3245fdda576129c10	assertion-b2:000a4351bca711cdefc4e745	e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8	family.ace_cup_of_excellence	INTENSITY_OR_QUALITY_MODIFIER	MODIFIER_OF_EXISTING_CONCEPT	NO_GOVERNED_AUTHORITY		UNKNOWN	true	false	NOT_VALID_STRICT_FLAVOR|NOT_MACHINE_GOVERNED_HIGH_CONFIDENCE|NO_GOVERNED_CANONICAL_TARGET|NCMR_RIGHTS_UNKNOWN	false
