metric_namespace	protocol	evaluation_id	configuration_id	eligible_output_count	supported_target_coverage	prediction_coverage	abstention_rate	top1_accuracy	top3_accuracy	accuracy_when_covered	macro_f1	weighted_f1	micro_f1	mean_reciprocal_rank	seen_form_output_count	unseen_form_output_count	seen_form_top1	unseen_form_top1	unseen_form_top3	unsupported_target_rate	worst_family_macro_f1	per_family_macro_f1
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	DEV	B0_EXACT_LOOKUP	148	0.959459	0.986486	0.013514	0.986486	0.986486	1.000000	1.000000	1.000000	1.000000	0.986486	146	2	1.000000	0.000000	0.000000	0.040541	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	TEST	B0_EXACT_LOOKUP	127	0.905512	0.984252	0.015748	0.984252	0.984252	1.000000	1.000000	1.000000	1.000000	0.984252	125	2	1.000000	0.000000	0.000000	0.094488	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	DEV	B1_MAJORITY	148	0.959459	1.000000	0.000000	0.222973	0.432432	0.222973	0.015086	0.087646	0.232394	0.319820	146	2	0.226027	0.000000	0.000000	0.040541	0.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:0.000000|family.zenodo_golovinsky_q_grader_dataset:0.015696
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	TEST	B1_MAJORITY	127	0.905512	1.000000	0.000000	0.173228	0.448819	0.173228	0.013382	0.061441	0.191304	0.299213	125	2	0.176000	0.000000	0.000000	0.094488	0.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:0.250000|family.frontiers_inera_robusta_q_grader_panel:0.000000|family.zenodo_golovinsky_q_grader_dataset:0.014706
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	DEV	B2_CHAR_LINEAR	148	0.959459	1.000000	0.000000	0.993243	0.993243	0.993243	1.000000	1.000000	1.000000	0.993243	146	2	1.000000	0.500000	0.500000	0.040541	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	TEST	B2_CHAR_LINEAR	127	0.905512	1.000000	0.000000	0.984252	0.984252	0.984252	1.000000	1.000000	1.000000	0.984252	125	2	1.000000	0.000000	0.000000	0.094488	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	DEV	B3_CHAR_NEAREST	148	0.959459	1.000000	0.000000	0.993243	0.993243	0.993243	1.000000	1.000000	1.000000	0.993243	146	2	1.000000	0.500000	0.500000	0.040541	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	TEST	B3_CHAR_NEAREST	127	0.905512	1.000000	0.000000	0.984252	0.984252	0.984252	1.000000	1.000000	1.000000	0.984252	125	2	1.000000	0.000000	0.000000	0.094488	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	DEV	B4_WORD_CHAR_LINEAR	148	0.959459	1.000000	0.000000	0.993243	0.993243	0.993243	1.000000	1.000000	1.000000	0.993243	146	2	1.000000	0.500000	0.500000	0.040541	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	TEST	B4_WORD_CHAR_LINEAR	127	0.905512	1.000000	0.000000	0.984252	0.984252	0.984252	1.000000	1.000000	1.000000	0.984252	125	2	1.000000	0.000000	0.000000	0.094488	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	DEV	E1_WORD_CHAR_CONTEXT	148	0.959459	1.000000	0.000000	0.993243	0.993243	0.993243	1.000000	1.000000	1.000000	0.993243	146	2	1.000000	0.500000	0.500000	0.040541	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
MACHINE_GOVERNED_TARGET_SELF_CONSISTENCY_METRICS	GROUPED_SAMPLE_COFFEE_SPLIT	TEST	E1_WORD_CHAR_CONTEXT	127	0.905512	1.000000	0.000000	0.984252	0.984252	0.984252	1.000000	1.000000	1.000000	0.984252	125	2	1.000000	0.000000	0.000000	0.094488	1.000000	family.frontiers_cenicafe_lengupa_trained_cuppers:1.000000|family.frontiers_inera_robusta_q_grader_panel:1.000000|family.zenodo_golovinsky_q_grader_dataset:1.000000
