concept_cluster_id	cleaned_form_count	cleaned_form_ids	cleaned_form_sha256s	source_native_form_count	source_native_form_ids	source_languages	semantic_classes	base_form_sha256s	modifier_form_sha256s	component_concept_ids	neighbor_cluster_ids	canonical_concept_ids	mapping_state	normalization_authorities	assertion_support	effective_record_support	source_family_count	source_family_ids	year_count	year_ids	gold_assertion_count	silver_assertion_count	bronze_assertion_count	support_band	review_priority_score	reversible_to_source_assertions	human_reviewed	expert_adjudicated
concept-cluster:0009e04da990e3891cf0690a	1	cleaned-form:9093f2bb8d45a4d70a44fdf5	9093f2bb8d45a4d70a44fdf56e0b62f7d6c9d7cb0748093b0cf3ff9d35b3ebbe	4	source-form:5370ee86ff409a7f69c9af68|source-form:9093f2bb8d45a4d70a44fdf5|source-form:e2b26a09da95d2ea0505847c|source-form:e43deaeba6549b70b2a0a524	en	STRICT_FLAVOR	9093f2bb8d45a4d70a44fdf56e0b62f7d6c9d7cb0748093b0cf3ff9d35b3ebbe					AMBIGUOUS_CONCEPT_BOUNDARY		123	72	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	6	year.2008|year.2009|year.2018|year.2024|year.2025|year.2026	110	13	0	SUPPORT_100_PLUS	623	true	false	false
concept-cluster:004d28a6a9be49e56120a1d8	1	cleaned-form:e91c254ad58860a02c788dfb	e91c254ad58860a02c788dfb5c1a65d6a8846ab1dc649631c7db16fef4af2dec	4	source-form:11a3360656adc278501a3547|source-form:54185daeef2f12f22d74b91b|source-form:ccbc72775f155f726acf7a31|source-form:e91c254ad58860a02c788dfb	en	DEFECT_OR_NEGATIVE_SENSORY	e91c254ad58860a02c788dfb5c1a65d6a8846ab1dc649631c7db16fef4af2dec					DEFECT_CONCEPT_CANDIDATE		10	10	2	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers	4	year.2013|year.2017|year.2024|year.2026	1	9	0	SUPPORT_5_19	330	true	false	false
concept-cluster:0081ee2a98a4549ffb6a6d59	1	cleaned-form:d364aba6dd82279412f93d26	d364aba6dd82279412f93d26ac4fe05074472583922543e367c08c2b22573bcc	1	source-form:f66793edcdfcf6567c0f4430	en	NON_DESCRIPTOR	d364aba6dd82279412f93d26ac4fe05074472583922543e367c08c2b22573bcc		sensory.caramel|sensory.lemon|sensory.orange|sensory.plum	concept-cluster:d8886ae3d768f0a5061b29f3|concept-cluster:7424e06fa788dd22fbaf4816|concept-cluster:c87d3f24065a3faa6c5c759d|concept-cluster:44d1d959c9c8d6875f2261a7|concept-cluster:d4de31bbc7198b47172036af		NON_DESCRIPTOR		1	1	1	family.ace_cup_of_excellence	1	year.2024	0	1	0	SUPPORT_1_4	121	true	false	false
concept-cluster:009e8497e7647074bf98857b	1	cleaned-form:f21b05f2214b81093bfdbb6c	f21b05f2214b81093bfdbb6c757fea2d373b636fac8a9c2d39bc1848e513128f	1	source-form:f21b05f2214b81093bfdbb6c	en	STRICT_FLAVOR	f21b05f2214b81093bfdbb6c757fea2d373b636fac8a9c2d39bc1848e513128f					GENUINE_ONTOLOGY_CANDIDATE		6	6	1	family.zenodo_golovinsky_q_grader_dataset	1	year.2026	6	0	0	SUPPORT_5_19	126	true	false	false
concept-cluster:00c5baa2554928a6639d5c22	1	cleaned-form:8bb6df0051b62928d600619a	8bb6df0051b62928d600619a5d83546178e439a86847572c956dee4e76f6a87e	1	source-form:75223f7d73dd3ec471655221	en	STRICT_FLAVOR	8bb6df0051b62928d600619a5d83546178e439a86847572c956dee4e76f6a87e					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	family.ace_cup_of_excellence	1	year.2023	0	1	0	SUPPORT_1_4	121	true	false	false
concept-cluster:00f75f563873b27da7d56714	1	cleaned-form:5a9fee2cb0e686d7d9022dfc	5a9fee2cb0e686d7d9022dfc72ccb160d533c668059d1acfcf5da53d517f2d46	3	source-form:472c8c9800f7947103a0c937|source-form:5a9fee2cb0e686d7d9022dfc|source-form:8551b08bf690a4101aa11cc8	en	STRICT_FLAVOR	5a9fee2cb0e686d7d9022dfc72ccb160d533c668059d1acfcf5da53d517f2d46					GENUINE_ONTOLOGY_CANDIDATE		7	7	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	6	year.2014|year.2015|year.2020|year.2021|year.2024|year.2026	1	6	0	SUPPORT_5_19	407	true	false	false
concept-cluster:01299d70361219a8b31dda3a	1	cleaned-form:606c17d06c74b636052f5725	606c17d06c74b636052f57250001df49846fac34430f8ff629e3d320e87e4532	1	source-form:eb77c0abce8ba9ef51842617	en	STRICT_FLAVOR	606c17d06c74b636052f57250001df49846fac34430f8ff629e3d320e87e4532					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	family.ace_cup_of_excellence	1	year.2023	0	1	0	SUPPORT_1_4	121	true	false	false
concept-cluster:0134c4847bb76a47ae585f47	3	cleaned-form:a56fc8aaf1dbedc22b3ea2e2|cleaned-form:aab8b8d556820d47e2e4ea2f|cleaned-form:e29db8942cee36865ef247d0	a56fc8aaf1dbedc22b3ea2e2866cbdde202c77f48b3b6696ac8221b825bfcf9f|aab8b8d556820d47e2e4ea2faa3aab2a730ad8386ba9f30b457969314b2ec591|e29db8942cee36865ef247d0c65760d433f4495520f55c91e37a5ad45df1f81a	6	source-form:33ae8cf6171cd5017f3df6a4|source-form:a23c7c91a916cec1e4b92c72|source-form:a56fc8aaf1dbedc22b3ea2e2|source-form:aab8b8d556820d47e2e4ea2f|source-form:c254c021c05876cea52aca71|source-form:e0548d3b6e9943e212bd9edf	en	STRICT_FLAVOR	a56fc8aaf1dbedc22b3ea2e2866cbdde202c77f48b3b6696ac8221b825bfcf9f|aab8b8d556820d47e2e4ea2faa3aab2a730ad8386ba9f30b457969314b2ec591|e29db8942cee36865ef247d0c65760d433f4495520f55c91e37a5ad45df1f81a		sensory.anise		sensory.anise	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	MACHINE_GOVERNED_HIGH_CONFIDENCE	31	30	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	8	year.2017|year.2018|year.2019|year.2020|year.2021|year.2024|year.2025|year.2026	8	23	0	SUPPORT_20_99	511	true	false	false
concept-cluster:016877c1639049fad5c08e28	1	cleaned-form:2906010acb3279f7a91a4d48	2906010acb3279f7a91a4d48573952d449908d163bbcb2f56d7e5441e3ed4ef8	3	source-form:15e322ee08c257ecb636082f|source-form:2906010acb3279f7a91a4d48|source-form:b9f7cca3c8d86207f92019f2	en	STRICT_FLAVOR	2906010acb3279f7a91a4d48573952d449908d163bbcb2f56d7e5441e3ed4ef8					GENUINE_ONTOLOGY_CANDIDATE		11	11	1	family.ace_cup_of_excellence	6	year.2019|year.2021|year.2022|year.2023|year.2025|year.2026	0	11	0	SUPPORT_5_19	331	true	false	false
concept-cluster:018c3c4469bbcf9017a96420	1	cleaned-form:50f647b620f9909618938211	50f647b620f99096189382117abb34db0a047b6cd55032c1620e1ae622b9ebd3	1	source-form:50f647b620f9909618938211	en	STRICT_FLAVOR	50f647b620f99096189382117abb34db0a047b6cd55032c1620e1ae622b9ebd3					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	family.ace_cup_of_excellence	1	year.2022	0	1	0	SUPPORT_1_4	121	true	false	false
