descriptor_assertion_id	effective_record_id	source_artifact_id	source_route_id	schema_signature_id	publication_layer	source_field_label	source_selector_or_locator	source_page_or_record_locator	raw_field_text_sha256	atomic_source_text_sha256	source_language	descriptor_class	evidence_tier	evidence_origin_type	origin_decision_basis	review_state	review_actor_type	rights_state	within_record_repeat_group	cross_observation_repeat_group	count_disposition	frequency_value	source_retrieved_at	route_index_sha256	source_file_sha256_scope	source_file_nonstorage_reason	parser_version	adapter_version	model_eligible
assertion:0eace76bead74cbcf08aa842	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	en	STRICT_FLAVOR	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	5	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:378e5a05f9788324f404197a	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	5296c024e03e439ba3d72c8e432d4f890b3cd0d2c36d67d428aa1e401e675b69	en	STRICT_FLAVOR	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	8	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:58eaef75e49c9124420bbec2	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	dca63bd6e65a45927827e3a90d27109f0c5054e151a04c0bff1fbe0aa22d4c0a	en	BROAD_SENSORY	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	13	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:64e1b55464ca667e03d8c836	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7	en	STRICT_FLAVOR	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN	repeat:bcb99d0873b28f8de806	repeat:4e4c0160f3d628a3183c	ADMITTED	4	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:73e4f8d851b1bc58b41bf256	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	48fb71763d97b54b752aa17694977d1f87c7707415f25ab63ac2ea2495347ae6	en	BROAD_SENSORY	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	4	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:79c5f9e86ee202753d5912c7	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Acidity	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	f0d41dc25f73c4851fef343f3268a10fc1ced8314198c5db8929248df735f7d4	a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8	en	BROAD_SENSORY	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	11	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:7b31e1c9febf67fe268a9cdb	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b	en	STRICT_FLAVOR	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	3	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:7d361fa84fa9aeef205273e2	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	d0d092b83d4aefab43b6c1ba0d766d7e1a0d2677ab9abe374d6d5fe83a1ee641	en	BROAD_SENSORY	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	7	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:838cb6a1573068c5b71f93c5	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Acidity	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	f0d41dc25f73c4851fef343f3268a10fc1ced8314198c5db8929248df735f7d4	36b481152ba40f4eec67cb63e9f1ad785c164e0fcabda0d296ba956c64e0380f	en	BROAD_SENSORY	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	8	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
assertion:a95d19ce0f9c78d81bb959df	effective:6e0f618d2337d1668cd026ec	capture:717b9e1a3ef6400f:coe-colombia-south-2008-la-esperanza-87-18	route.coe.colombia-south-2008.frequency-coded	schema.coe.colombia-south-2008.frequency-coded.v1	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma/Flavor	restricted:coe_colombia_south_2008_frequency.json#/records/0/fields/Aroma/Flavor	https://allianceforcoffeeexcellence.org/farm-directory/87-18-2/	3a8d6e2f7d4a94aa3ed3b59bb42eba92f2d90d3f0e4f5c7b29f6446955830657	ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c	en	STRICT_FLAVOR	UNRESOLVED	FREQUENCY_CODED_P1_CANDIDATE_ORIGIN_UNRESOLVED	FREQUENCY_SEMANTICS_DO_NOT_IDENTIFY_JUDGE_JURY_OR_PANEL_RESPONSES	PROVISIONAL_MACHINE_CLASSIFIED	AUTOMATED_PARSER	UNKNOWN			ADMITTED	2	2026-08-28T04:30:00Z	f508ebc481c39b4755250f1422148accae73dc57099ecb164e666e07a12b9bc1	WEB_INDEX_FIELD_CAPTURE_SHA256:717b9e1a3ef6400fa334ddbaf80cb592125ddbdecaf67b0d6271f94bf7878033;NOT_FULL_PAGE_BODY	OFFICIAL_FULL_PAGE_BODY_NOT_STORED_ENVIRONMENT_POLICY	round3m.field-parser.v1	round3m.live-adapters.v1	false
