decision_scope	regional_frame_key	decision_key	recorded_value	value_type	scope_effect	evidence_path	recorded_on	limitation
ORIGINAL_FRAME	GLOBAL	ORIGINAL_CANDIDATE_FRAME_COUNT	17	INTEGER	PRESERVED	db/data/round3j/source_candidate_register.tsv	2026-08-26	Original candidate frame is unchanged.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_SOURCE_CANDIDATE_REGISTER_SHA256	3cbc8890a4e3c1fd65b1c664794ce5fe5f986d4f889b835e07e3d6a71d3c2471	SHA256	PRESERVED	db/data/round3j/source_candidate_register.tsv	2026-08-26	Hash must remain unchanged.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_ACQUISITION_OUTCOME_LEDGER_SHA256	a57aee1a59a33efe5a1110ece439e89a30be90e60f1c6583d646b6c80ef8f918	SHA256	PRESERVED	db/data/round3j/acquisition_outcome_ledger.tsv	2026-08-26	Hash must remain unchanged.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_ACQUISITION_BATCH_LEDGER_SHA256	10d60dc5727e48e3ff9291c065428dd19d3dc72734b06c5fa28a13f3ac7c2692	SHA256	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	2026-08-26	Hash must remain unchanged.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_ACQUISITION_OUTCOME_ROW_COUNT	17	INTEGER	PRESERVED	db/data/round3j/acquisition_outcome_ledger.tsv	2026-08-26	One outcome row per original candidate.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_ACQUISITION_BATCH_ROW_COUNT	4	INTEGER	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	2026-08-26	Exactly four original acquisition batches.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_CONDITION_B_RESULT	CONDITION_B_MET_STOP_ACQUISITION	TEXT	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	2026-08-26	Result remains valid within the original frame.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_STOP_RULE_PRESERVED	true	BOOLEAN	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	2026-08-26	No deletion amendment reclassification or reinterpretation.
ORIGINAL_FRAME	GLOBAL	ORIGINAL_STOP_RULE_VALID_WITHIN_ORIGINAL_FRAME	true	BOOLEAN	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	2026-08-26	Original frame exhaustion remains established.
GLOBAL_SCOPE	GLOBAL	ORIGINAL_STOP_RULE_GLOBAL_EFFECT_SUPERSEDED	true	BOOLEAN	SUPERSEDED_GLOBAL_EFFECT_ONLY	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Original result no longer establishes global exhaustion.
GLOBAL_SCOPE	GLOBAL	ORIGINAL_STOP_RULE_SUPERSEDED_BY_REGIONAL_SCOPE_EXTENSION	true	BOOLEAN	SUPERSEDED_GLOBAL_EFFECT_ONLY	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_USER_EVIDENCE_EXPECTED_STATE.md	2026-08-26	Regional user-evidence space is a new frame.
GLOBAL_SCOPE	GLOBAL	GLOBAL_ACQUISITION_COMPLETE	false	BOOLEAN	BLOCKS_ROUND3J_CLOSE	db/data/round3j/regional_user_evidence_expected_state.tsv	2026-08-26	Global acquisition remains open.
GLOBAL_SCOPE	GLOBAL	REGIONAL_SOURCE_FRAME_COMPLETE	false	BOOLEAN	BLOCKS_ROUND3J_CLOSE	db/data/round3j/regional_user_evidence_expected_state.tsv	2026-08-26	Regional audit has not started.
