section	region_key	region_class	readiness_key	requirement_operator	required_value	observed_value	hard_gate	passed	evidence_path	limitation
SCOPE	GLOBAL	GLOBAL	original_candidate_frame_count	=	17	17	true	true	db/data/round3j/source_candidate_register.tsv	Original register is immutable and remains exactly 17 candidates.
SCOPE	GLOBAL	GLOBAL	original_stop_rule_valid_within_original_frame	=	true	true	true	true	db/data/round3j/acquisition_batch_ledger.tsv	Condition B remains valid only for the original candidate frame.
SCOPE	GLOBAL	GLOBAL	original_stop_rule_preserved	=	true	true	true	true	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_STOP_RULE_DECISION.md	No original outcome is deleted amended reclassified or reinterpreted.
SCOPE	GLOBAL	GLOBAL	original_stop_rule_global_effect_superseded	=	true	true	true	true	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_STOP_RULE_DECISION.md	Only the global stop implication is superseded.
SCOPE	GLOBAL	GLOBAL	original_stop_rule_superseded_by_regional_scope_extension	=	true	true	true	true	docs/research/coffee-sensory-kb-v0-round3j/REGIONAL_STOP_RULE_DECISION.md	Global stop implication is superseded; original evidence is not reinterpreted.
SCOPE	GLOBAL	GLOBAL	global_acquisition_complete	=	false	false	true	true	this expected-state contract	Cannot become true before core completion and secondary audit prerequisites.
SCOPE	GLOBAL	GLOBAL	regional_source_frame_complete	=	false	false	true	true	this expected-state contract	All six regional frames are not yet audited.
SCOPE	GLOBAL	GLOBAL	all_core_regional_source_frames_complete	=	true	false	true	false	regional audit result pending	Four core regional threshold conjunctions are pending.
SCOPE	GLOBAL	GLOBAL	all_secondary_regional_source_frames_audited	=	true	false	true	false	regional audit result pending	Japan and South Korea audits are pending.
SCOPE	GLOBAL	GLOBAL	regional_representativeness_claim	=	false	false	true	true	this expected-state contract	No regional representativeness claim is authorized.
SCOPE	GLOBAL	GLOBAL	core_region_count	=	4	4	true	true	this expected-state contract	Mainland China; Taiwan; Australia / New Zealand; United States / Canada.
SCOPE	GLOBAL	GLOBAL	secondary_region_count	=	2	2	true	true	this expected-state contract	Japan; South Korea.
IMMUTABILITY	GLOBAL	GLOBAL	original_source_candidate_register_sha256	=	3cbc8890a4e3c1fd65b1c664794ce5fe5f986d4f889b835e07e3d6a71d3c2471	3cbc8890a4e3c1fd65b1c664794ce5fe5f986d4f889b835e07e3d6a71d3c2471	true	true	db/data/round3j/source_candidate_register.tsv	Must remain unchanged during the regional extension.
IMMUTABILITY	GLOBAL	GLOBAL	original_acquisition_outcome_ledger_sha256	=	a57aee1a59a33efe5a1110ece439e89a30be90e60f1c6583d646b6c80ef8f918	a57aee1a59a33efe5a1110ece439e89a30be90e60f1c6583d646b6c80ef8f918	true	true	db/data/round3j/acquisition_outcome_ledger.tsv	Must remain unchanged during the regional extension.
IMMUTABILITY	GLOBAL	GLOBAL	original_acquisition_batch_ledger_sha256	=	10d60dc5727e48e3ff9291c065428dd19d3dc72734b06c5fa28a13f3ac7c2692	10d60dc5727e48e3ff9291c065428dd19d3dc72734b06c5fa28a13f3ac7c2692	true	true	db/data/round3j/acquisition_batch_ledger.tsv	Four original batches and Condition-B result must remain unchanged.
IMMUTABILITY	GLOBAL	GLOBAL	original_acquisition_outcome_row_count	=	17	17	true	true	db/data/round3j/acquisition_outcome_ledger.tsv	One original outcome row per original candidate.
IMMUTABILITY	GLOBAL	GLOBAL	original_acquisition_batch_row_count	=	4	4	true	true	db/data/round3j/acquisition_batch_ledger.tsv	Exactly four original acquisition batches.
LANGUAGE	MAINLAND_CHINA	CORE	minimum_supported_language_tag	INCLUDES	zh-Hans-CN	zh-Hans-CN	true	true	this expected-state contract	Language tag does not infer nationality residence market or population; evidence coverage remains unaudited.
LANGUAGE	TAIWAN	CORE	minimum_supported_language_tag	INCLUDES	zh-Hant-TW	zh-Hant-TW	true	true	this expected-state contract	Do not collapse zh-Hant with zh-Hans; evidence coverage remains unaudited.
LANGUAGE	AU_NZ	CORE	minimum_supported_language_tag	INCLUDES	en-AU;en-NZ	en-AU;en-NZ	true	true	this expected-state contract	Both tags are explicit and neither may substitute for the other; evidence coverage remains unaudited.
LANGUAGE	US_CANADA	CORE	minimum_supported_language_tag	INCLUDES	en-US;en-CA	en-US;en-CA	true	true	this expected-state contract	Both tags are explicit and neither may substitute for the other; evidence coverage remains unaudited.
LANGUAGE	JAPAN	SECONDARY	minimum_supported_language_tag	INCLUDES	ja-JP	ja-JP	true	true	this expected-state contract	Source-local Japanese wording and script remain explicit; evidence coverage remains unaudited.
LANGUAGE	SOUTH_KOREA	SECONDARY	minimum_supported_language_tag	INCLUDES	ko-KR	ko-KR	true	true	this expected-state contract	Source-local Korean wording and script remain explicit; evidence coverage remains unaudited.
LANGUAGE_AUDIT	MAINLAND_CHINA	CORE	zh-Hans-CN_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	Audit completion does not infer nationality or representativeness.
LANGUAGE_AUDIT	TAIWAN	CORE	zh-Hant-TW_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	Traditional Chinese evidence remains distinct from Simplified Chinese evidence.
LANGUAGE_AUDIT	AU_NZ	CORE	en-AU_market_language_audit_state	REPORT_REQUIRED	AUDITED_PRESENT_OR_MISSING_REPORTED	NOT_YET_AUDITED	true	false	future regional audit result	Australia must be audited independently within the combined frame.
