decision_scope	decision_key	recorded_value	value_type	scope_effect	evidence_path	limitation
ORIGINAL_FRAME	ORIGINAL_CANDIDATE_FRAME_COUNT	17	INTEGER	PRESERVED	db/data/round3j/source_candidate_register.tsv	Original register is unchanged.
ORIGINAL_FRAME	ORIGINAL_SOURCE_CANDIDATE_REGISTER_SHA256	3cbc8890a4e3c1fd65b1c664794ce5fe5f986d4f889b835e07e3d6a71d3c2471	SHA256	PRESERVED	db/data/round3j/source_candidate_register.tsv	Hash must remain unchanged.
ORIGINAL_FRAME	ORIGINAL_ACQUISITION_OUTCOME_LEDGER_SHA256	a57aee1a59a33efe5a1110ece439e89a30be90e60f1c6583d646b6c80ef8f918	SHA256	PRESERVED	db/data/round3j/acquisition_outcome_ledger.tsv	Hash must remain unchanged.
ORIGINAL_FRAME	ORIGINAL_ACQUISITION_BATCH_LEDGER_SHA256	10d60dc5727e48e3ff9291c065428dd19d3dc72734b06c5fa28a13f3ac7c2692	SHA256	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	Hash must remain unchanged.
ORIGINAL_FRAME	ORIGINAL_ACQUISITION_BATCH_ROW_COUNT	4	INTEGER	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	Exactly four original batches.
ORIGINAL_FRAME	ORIGINAL_CONDITION_B_RESULT	CONDITION_B_MET_STOP_ACQUISITION	TEXT	PRESERVED_WITHIN_ORIGINAL_FRAME	db/data/round3j/acquisition_batch_ledger.tsv	Does not govern the new global frame.
GLOBAL_SCOPE	ORIGINAL_STOP_RULE_PRESERVED	true	BOOLEAN	PRESERVED	db/data/round3j/acquisition_batch_ledger.tsv	No deletion rewrite reclassification or reinterpretation.
GLOBAL_SCOPE	ORIGINAL_STOP_RULE_GLOBAL_EFFECT_SUPERSEDED	true	BOOLEAN	SUPERSEDED_GLOBAL_EFFECT_ONLY	this decision	Source-class saturation governs the continuation.
REGIONAL_SCOPE	ROUND3J_REGIONAL_AUDIT_COMPLETE	true	BOOLEAN	PRESERVED	db/data/round3j/regional_user_evidence_audit_result.tsv	Coverage audit remains valid.
REGIONAL_SCOPE	ROUND3J_REGIONAL_DATA_ACQUISITION_COMPLETE	false	BOOLEAN	DESCRIPTIVE	db/data/round3j/regional_coverage_measures.tsv	No regional data-completeness claim.
REGIONAL_SCOPE	REGIONAL_SOURCE_FRAME_BLOCKS_GLOBAL_ACQUISITION	false	BOOLEAN	NONBLOCKING	this decision	Regional metadata informs later evaluation and bias analysis.
REGIONAL_SCOPE	REGIONAL_REPRESENTATIVENESS_CLAIM	false	BOOLEAN	PERMANENT_ROUND3J_LIMIT	db/data/round3j/regional_source_family_concentration.tsv	Candidate coverage is not population representativeness.
REGIONAL_SCOPE	REGIONAL_MINIMUM_QUOTA_ENFORCED	false	BOOLEAN	NONBLOCKING	this decision	Broad lawful acquisition has no artificial regional quota.
REGIONAL_SCOPE	REGIONAL_ACQUISITION_BLOCKING_GATE	false	BOOLEAN	NONBLOCKING	this decision	Low coverage yields a warning.
GLOBAL_SCOPE	GLOBAL_FLAVOR_ACQUISITION_COMPLETE	false	BOOLEAN	BLOCKS_ROUND3J_CLOSE	db/data/round3j/global_flavor_acquisition_expected_state.tsv	Minimum corpus and readiness gates are not met.
GLOBAL_SCOPE	GLOBAL_COMPLETENESS_FRAME	SOURCE_CLASSES_A_THROUGH_I	TEXT	NEW_GLOBAL_RULE	db/data/round3j/global_source_class_frame.tsv	All classes must be closed blocked or saturated before stop.
SOURCE_CLASS	SOURCE_CLASS_COVERAGE_GATE	AT_LEAST_10_NAMED_CANDIDATES_OR_EVIDENCE_BACKED_FEWER_EXPLANATION	TEXT	NEW_GLOBAL_RULE	db/data/round3j/global_source_class_frame.tsv	Candidate count is an audit metric not material gain.
SOURCE_CLASS	SOURCE_CLASS_STOP_RULE	COVERAGE_GATE_AND_TWO_CONSECUTIVE_TARGETED_NO_MATERIAL_GAIN_BATCHES	TEXT	NEW_GLOBAL_RULE	db/data/round3j/global_source_class_frame.tsv	Counters are class-specific.
GLOBAL_SCOPE	GLOBAL_STOP_RULE	ALL_CLASSES_CLOSED_BLOCKED_OR_SATURATED_AND_NO_RIGHTS_CLEARED_UNPROCESSED_HIGH_YIELD_SOURCE_AND_HIGH_YIELD_OPTIONS_DOCUMENTED	TEXT	NEW_GLOBAL_RULE	docs/research/coffee-sensory-kb-v0-round3j/GLOBAL_STOP_RULE_DECISION.md	Chronological no-gain batches across unrelated classes do not close acquisition.
