mode_audit_key	scope_type	regional_frame_key	source_market_region	language_tag	data_mode	candidate_count	candidate_level_state	admitted_source_count	admitted_level_state	evidence_path	limitation
mode-audit.MAINLAND_CHINA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	MAINLAND_CHINA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	MAINLAND_CHINA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.C	REGIONAL_FRAME	MAINLAND_CHINA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.D	REGIONAL_FRAME	MAINLAND_CHINA	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.MAINLAND_CHINA.zh-Hans-CN.A	ATOMIC_MARKET_LANGUAGE	MAINLAND_CHINA	MAINLAND_CHINA	zh-Hans-CN	A_USER_GENERATED_SENSORY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.MAINLAND_CHINA.zh-Hans-CN.B	ATOMIC_MARKET_LANGUAGE	MAINLAND_CHINA	MAINLAND_CHINA	zh-Hans-CN	B_STRUCTURED_PREFERENCE_OR_LIKING	1	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.MAINLAND_CHINA.zh-Hans-CN.C	ATOMIC_MARKET_LANGUAGE	MAINLAND_CHINA	MAINLAND_CHINA	zh-Hans-CN	C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.MAINLAND_CHINA.MAINLAND_CHINA.zh-Hans-CN.D	ATOMIC_MARKET_LANGUAGE	MAINLAND_CHINA	MAINLAND_CHINA	zh-Hans-CN	D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.A	REGIONAL_FRAME	TAIWAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	A_USER_GENERATED_SENSORY_LANGUAGE	2	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
mode-audit.TAIWAN.ALL_ATOMIC_MARKETS_IN_FRAME.ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME.B	REGIONAL_FRAME	TAIWAN	ALL_ATOMIC_MARKETS_IN_FRAME	ALL_DECLARED_LANGUAGE_TAGS_IN_FRAME	B_STRUCTURED_PREFERENCE_OR_LIKING	3	PRESENT_AT_CANDIDATE_LEVEL	0	MISSING_AT_ADMITTED_LEVEL	db/data/round3j/regional_source_candidate_register.tsv	Candidate presence is not admission, effective sample coverage, or representativeness.
