concentration_key	regional_frame_key	reported_measure_key	denominator_unit	denominator_count	contributing_source_family_count	largest_source_family_share	top_3_source_family_share	effective_source_family_count	calculation_state	regional_coverage_status	regional_representativeness_claim	evidence_path	limitation
concentration.MAINLAND_CHINA.candidate-audit	MAINLAND_CHINA	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	8	8	0.1250	0.3750	8.0000	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.MAINLAND_CHINA.regional_language_document_count	MAINLAND_CHINA	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.MAINLAND_CHINA.regional_unique_expression_count	MAINLAND_CHINA	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.MAINLAND_CHINA.regional_preference_response_count	MAINLAND_CHINA	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.MAINLAND_CHINA.regional_sensory_sample_count	MAINLAND_CHINA	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.MAINLAND_CHINA.regional_source_family_count	MAINLAND_CHINA	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.MAINLAND_CHINA.regional_training_eligible_unit_count	MAINLAND_CHINA	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.TAIWAN.candidate-audit	TAIWAN	CANDIDATE_AUDIT_RECORD_COUNT	DISTINCT_NAMED_CANDIDATE	7	6	0.2857	0.5714	5.4444	CALCULATED_CANDIDATE_AUDIT_ONLY	CANDIDATE_FRAME_AUDITED_NO_REPRESENTATIVENESS_CLAIM	false	db/data/round3j/regional_source_candidate_register.tsv	Candidate-family concentration is separate from admitted evidence coverage.
concentration.TAIWAN.regional_language_document_count	TAIWAN	REGIONAL_LANGUAGE_DOCUMENT_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.TAIWAN.regional_unique_expression_count	TAIWAN	REGIONAL_UNIQUE_EXPRESSION_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.TAIWAN.regional_preference_response_count	TAIWAN	REGIONAL_PREFERENCE_RESPONSE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.TAIWAN.regional_sensory_sample_count	TAIWAN	REGIONAL_SENSORY_SAMPLE_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
concentration.TAIWAN.regional_source_family_count	TAIWAN	REGIONAL_SOURCE_FAMILY_COUNT	ADMITTED_COUNTABLE_EVIDENCE_UNIT	0	0	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NOT_COMPUTABLE_ZERO_UNITS	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	No admitted countable evidence unit exists; candidate metadata cannot substitute for coverage.
