field_kind	field_name	required	allowed_values_or_definition	aggregation_rule	anti_inference_rule
IDENTIFIER	coverage_cell_key	true	Stable unique key for one complete aggregate cube grain	Hash or deterministic key over all grouping and dimension fields plus reported_measure_key.	No dimension may be omitted merely because its value is NOT_REPORTED.
GROUPING	regional_frame_key	true	MAINLAND_CHINA;TAIWAN;AU_NZ;US_CANADA;JAPAN;SOUTH_KOREA;LATIN_AMERICA_NONBLOCKING	Use the declared Round 3J frame.	Combined frames do not collapse their atomic markets or language tags.
DIMENSION	source_market_region	true	MAINLAND_CHINA;TAIWAN;AUSTRALIA;NEW_ZEALAND;UNITED_STATES;CANADA;JAPAN;SOUTH_KOREA;LATIN_AMERICA_NONBLOCKING	Use the source's explicitly supported market or study frame.	Do not infer region from language author identity platform availability or domain name alone.
DIMENSION	language_tag	true	BCP 47 source-language tag including zh-Hans-CN;zh-Hant-TW;en-AU;en-NZ;en-US;en-CA;ja-JP;ko-KR	Retain source-local language variant and script.	Do not collapse zh-Hans with zh-Hant or en-AU with en-US.
DIMENSION	data_mode	true	A_USER_GENERATED_SENSORY_LANGUAGE;B_STRUCTURED_PREFERENCE_OR_LIKING;C_CONTROLLED_OR_SEMI_CONTROLLED_SENSORY_OUTCOME;D_PROFESSIONAL_OR_INDUSTRY_LANGUAGE	A unit may have multiple explicit modes but each mode occupies a separate cube row.	Do not pool modes into one measurement scale.
DIMENSION	source_family_key	true	Stable audited independent-origin key	Deduplicate mirrors versions and repository copies to one origin family.	Do not count platforms files sheets or repeated authors as independent families without evidence.
DIMENSION	preparation_scope	true	Source-local preparation value or NOT_REPORTED	Preserve exact source-local wording plus a governed mapping when reviewed.	Do not infer preparation from product style geography or vocabulary.
DIMENSION	roast_scope	true	Source-local roast value or NOT_REPORTED	Preserve the source scale and mapping provenance.	Do not convert unspecified or incompatible roast scales into a common value.
DIMENSION	black_or_milk_scope	true	BLACK;MILK;MIXED;NOT_REPORTED	Count only an explicitly observed or declared serving condition.	Do not infer milk status from beverage name unless the source defines it.
DIMENSION	consumer_or_professional_scope	true	CONSUMER;PROFESSIONAL;MIXED;NOT_REPORTED	Use the disclosed participant author or audience role.	Do not infer expertise from vocabulary alone.
DIMENSION	training_eligibility_role	true	NOT_ADMITTED;REGIONAL_LANGUAGE_CORPUS;PREFERENCE_LANGUAGE_CORPUS;AMBIGUITY_TEST_SET;REGION_HELD_OUT_TEST;RESEARCH_EVIDENCE_ONLY;INELIGIBLE	Record each role separately with rights privacy and provenance evidence.	Forum review and blog evidence is not automatically eligible for gold labels concept promotion or population estimates.
DIMENSION	reported_measure_key	true	CANDIDATE_AUDIT_RECORD_COUNT;REGIONAL_LANGUAGE_DOCUMENT_COUNT;REGIONAL_UNIQUE_EXPRESSION_COUNT;REGIONAL_PREFERENCE_RESPONSE_COUNT;REGIONAL_SENSORY_SAMPLE_COUNT;REGIONAL_SOURCE_FAMILY_COUNT;REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	One measure and denominator per aggregate cube row.	Candidate-audit concentration is not admitted regional evidence coverage.
MEMBERSHIP_BRIDGE	evidence_unit_key	false	Stable unique key from regional_evidence_unit_register.tsv	One aggregate cell may resolve to many evidence units through regional_evidence_cube_membership.tsv.	Never store one arbitrary scalar evidence-unit key on an aggregate cell.
MEMBERSHIP_BRIDGE	candidate_key	false	Stable named candidate key from regional_source_candidate_register.tsv	CANDIDATE_AUDIT_RECORD_COUNT resolves through candidate membership rows; evidence measures resolve through evidence-unit rows.	Candidate membership is audit coverage and never admitted evidence coverage.
SUPPORTING_KEY	pseudonymous_document_key	false	Stable non-personal key on a supporting evidence-unit row	Required for document or expression units derived from user-generated material.	Username profile URL or direct personal identifier is not a document key.
MEASURE	REGIONAL_LANGUAGE_DOCUMENT_COUNT	true	Count of admitted rights-cleared countable LANGUAGE_DOCUMENT units	Count distinct evidence_unit_key values after mirror and duplicate control.	Raw rows quotations comments platform pages and rights-blocked candidates are not documents by default.
MEASURE	REGIONAL_UNIQUE_EXPRESSION_COUNT	true	Count of admitted governed source-authored UNIQUE_EXPRESSION units	Count distinct evidence_unit_key values under a versioned regional-language normalization rule.	Project translations synthetic variants and rights-blocked candidate metadata do not count.
MEASURE	REGIONAL_PREFERENCE_RESPONSE_COUNT	true	Count of admitted rights-cleared countable PREFERENCE_RESPONSE units	Count distinct evidence_unit_key values under the source's response-unit definition.	Published aggregate sample-size metadata and ratings without acquired eligible response units do not count.
MEASURE	REGIONAL_SENSORY_SAMPLE_COUNT	true	Count of admitted rights-cleared countable SENSORY_SAMPLE units	Count distinct source-local independent samples or configurations by evidence_unit_key.	Repeated measurements raw rows disclosed aggregate sample sizes and rights-blocked candidates do not count.
MEASURE	REGIONAL_SOURCE_FAMILY_COUNT	true	Count of audited independent families contributing countable units to the stated reported_measure_key	Count distinct source_family_key values after admission and role gates.	A candidate family does not contribute to an admitted-unit measure unless an admitted countable unit resolves to it.
MEASURE	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	true	Count of admitted units eligible for the stated training role	Report per role and as a deduplicated union of evidence_unit_key values across roles.	Multi-role eligibility admission or public visibility alone does not create extra training units.
AUDIT_ONLY	SOURCE_REPORTED_NOT_ACQUIRED_PREFERENCE_RESPONSE_COUNT	false	Disclosed study response count recorded as metadata only	Report outside the six regional coverage measures with source and method.	Never add to REGIONAL_PREFERENCE_RESPONSE_COUNT or training units.
AUDIT_ONLY	SOURCE_REPORTED_NOT_ACQUIRED_SENSORY_SAMPLE_COUNT	false	Disclosed study sample or configuration count recorded as metadata only	Report outside the six regional coverage measures with source and method.	Never add to REGIONAL_SENSORY_SAMPLE_COUNT or training units.
CONCENTRATION	largest_source_family_share	true	Maximum family unit count divided by total units for one region and reported_measure_key	Calculate separately for each reported_measure_key using its declared evidence-unit type.	Zero denominator is NOT_COMPUTABLE_ZERO_UNITS; do not mix measures.
CONCENTRATION	top_3_source_family_share	true	Sum of the three largest family unit counts divided by total units for one region and reported_measure_key	Use all available families when fewer than three contribute.	Zero denominator is NOT_COMPUTABLE_ZERO_UNITS and top-three share is not representativeness proof.
