candidate_key	source_class	title	owner	official_source	upstream_origin	year_or_date_range	estimated_document_yield	estimated_expression_yield	estimated_effective_training_units	access_mode	license_or_terms	upstream_rights_state	privacy_state	model_research_state	public_export_state	pilot_required	permission_required	purchase_required	user_authorization_required	decision	controlling_limitation
openfoodfacts.global-product-database	G	Open Food Facts global product database	Open Food Facts contributors	https://world.openfoodfacts.org/data	Open Food Facts	CURRENT	UNKNOWN_UNTIL_COFFEE_FILTER	UNKNOWN_UNTIL_PILOT	UNKNOWN_UNTIL_PILOT	OFFICIAL_API_DUMP_OR_OFFICIAL_HUGGING_FACE_MIRROR	ODbL_1_0_DATABASE_DBCL_1_0_CONTENTS_IMAGES_CC_BY_SA	OPEN_DATABASE_LICENSE_WITH_SHARE_ALIKE_OBLIGATIONS	LOW_RISK_PRODUCT_RECORDS_IMAGE_RISK_SEPARATE	ALLOWED_SUBJECT_TO_ODBL_AND_PROVENANCE_REVIEW	SHARE_ALIKE_PARTITION_AND_ATTRIBUTION_REQUIRED	true	false	false	false	METADATA_ONLY	BOUNDED_COFFEE_CATEGORY_YIELD_PILOT_REQUIRED_BEFORE_IMPORT
foodrepo.v3-api	G	FoodRepo v3 API	FoodRepo	https://www.foodrepo.org/api-docs/swaggers/v3	FoodRepo	CURRENT	UNKNOWN_UNTIL_COFFEE_FILTER	UNKNOWN_UNTIL_PILOT	UNKNOWN_UNTIL_PILOT	OFFICIAL_API	CC_BY_4_0	OPEN_LICENSE_SUBJECT_TO_API_FIELD_AUDIT	LOW_RISK_PRODUCT_RECORDS_IMAGE_RISK_SEPARATE	PENDING_API_AND_ATTRIBUTION_REVIEW	ATTRIBUTION_REQUIRED_IMAGES_EXCLUDED_BY_DEFAULT	true	false	false	false	METADATA_ONLY	BOUNDED_COFFEE_PRODUCT_YIELD_PILOT_REQUIRED_BEFORE_IMPORT
great-american-coffee-taste-test.original-anonymized-csv	C	Great American Coffee Taste Test original anonymized CSV	Original study organizers	OFFICIAL_SOURCE_TO_VERIFY	Original study	ORIGINAL_RELEASE_DATE_TO_VERIFY	POTENTIALLY_HIGH	UNKNOWN_UNTIL_FREE_TEXT_AUDIT	UNKNOWN_UNTIL_GROUPED_UNIT_AUDIT	ORIGINAL_ANONYMIZED_CSV	ORIGINAL_REUSE_REVIEW_REQUIRED	ORIGINAL_RIGHTS_NOT_YET_VERIFIED	MINIMIZATION_AND_DEIDENTIFICATION_REVIEW_REQUIRED	PENDING_ORIGINAL_RIGHTS_REVIEW	SENSITIVE_AND_UNNECESSARY_DEMOGRAPHICS_EXCLUDED	true	false	false	false	METADATA_ONLY	ORIGINAL_UPSTREAM_RIGHTS_PRIVACY_AND_PARTICIPANT_LINKAGE_REVIEW_REQUIRED
flavorreasonbench-coffee.zenodo	A	FlavorReasonBench Coffee	FlavorReasonBench authors	OFFICIAL_ZENODO_RECORD_TO_VERIFY	FlavorReasonBench	VERSION_TO_VERIFY	0_OBSERVED_DOCUMENTS	0_OBSERVED_EXPRESSIONS	0_OBSERVED_UNITS	OFFICIAL_VERSIONED_RELEASE	CC_BY_4_0	LICENSE_TO_VERIFY_AT_UPSTREAM	NO_OBSERVED_PERSON_DATA_EXPECTED	EVALUATION_ONLY	EVALUATION_ARTIFACT_ONLY	false	false	false	false	ADMIT_EVALUATION_ONLY	BENCHMARK_MUST_NOT_COUNT_AS_OBSERVED_FLAVOR_OR_TRAINING_DATA
roasterdb.specialty-coffee-sample	A	RoasterDB specialty coffee sample	RoasterDB	OFFICIAL_SAMPLE_SOURCE_TO_VERIFY	RoasterDB	SAMPLE_VERSION_TO_VERIFY	SAMPLE_ONLY	UNKNOWN_UNTIL_SCHEMA_AUDIT	UNKNOWN_UNTIL_SCHEMA_AUDIT	PUBLIC_SAMPLE	CC_BY_NC_4_0	NONCOMMERCIAL_ONLY_PENDING_BOUNDARY_REVIEW	LOW_RISK_PRODUCT_RECORDS	NONCOMMERCIAL_RESEARCH_ONLY_PENDING_PRODUCT_POLICY	UNRESTRICTED_PUBLIC_CORPUS_NOT_ALLOWED	true	false	false	false	ADMIT_RESEARCH_REFERENCE_ONLY	SCHEMA_AND_YIELD_ANALYSIS_ONLY_UNTIL_COMPATIBLE_PRODUCT_POLICY
roasterdb.full-commercial-license	H	RoasterDB full commercial dataset	RoasterDB	OFFICIAL_COMMERCIAL_SOURCE_TO_VERIFY	RoasterDB	CURRENT	LARGE_TO_VERIFY	LARGE_TO_VERIFY	UNKNOWN_UNTIL_IDENTITY_AUDIT	COMMERCIAL_LICENSE	COMMERCIAL_TERMS_TO_REQUEST	UPSTREAM_AND_DERIVED_USE_RIGHTS_REQUIRE_CONTRACT_REVIEW	LOW_RISK_PRODUCT_RECORDS	MODEL_TRAINING_RIGHTS_TO_REQUEST	PUBLIC_DERIVED_RELEASE_RIGHTS_TO_REQUEST	false	true	true	true	COMMERCIAL_LICENSE_OPTION	COST_YIELD_RIGHTS_MEMO_AND_EXPLICIT_USER_AUTHORIZATION_REQUIRED
lightyear-coffee-index	H	Lightyear Coffee Index	Lightyear Coffee	OFFICIAL_SERVICE_URL_TO_VERIFY	Lightyear Coffee and upstream roasters	CURRENT	LARGE_TO_VERIFY	LARGE_TO_VERIFY	UNKNOWN_UNTIL_IDENTITY_AUDIT	PUBLIC_VISUALIZATION	NO_OPEN_BULK_LICENSE_CONFIRMED	UPSTREAM_ROASTER_COPY_CHAIN_UNRESOLVED	LOW_RISK_PRODUCT_RECORDS	WRITTEN_PERMISSION_REQUIRED	PUBLIC_DERIVED_VOCABULARY_RIGHTS_TO_REQUEST	false	true	false	true	PERMISSION_REQUEST_READY	NO_SCRAPING_BULK_EXPORT_AND_DERIVED_MODEL_USE_PERMISSION_REQUIRED
cup-of-excellence-auction-lots	E	Cup of Excellence auction lots	Alliance for Coffee Excellence	OFFICIAL_AUCTION_SITE_TO_VERIFY	Alliance for Coffee Excellence	MULTIYEAR	HIGH_TO_VERIFY	HIGH_TO_VERIFY	HIGH_VALUE_LOT_IDENTITIES	PUBLIC_OFFICIAL_PAGES	NO_OPEN_BULK_LICENSE_CONFIRMED	OFFICIAL_CONTENT_BULK_RIGHTS_UNCONFIRMED	LOW_RISK_PROFESSIONAL_RECORDS	WRITTEN_PERMISSION_OR_OFFICIAL_EXPORT_REQUIRED	PUBLIC_DERIVED_RELEASE_RIGHTS_TO_REQUEST	false	true	false	true	PERMISSION_REQUEST_READY	DO_NOT_CRAWL_PUBLIC_PAGES_WITHOUT_EXPORT_OR_WRITTEN_PERMISSION
best-of-panama-auction-lots	E	Best of Panama auction lots	Specialty Coffee Association of Panama	OFFICIAL_AUCTION_SITE_TO_VERIFY	Specialty Coffee Association of Panama	MULTIYEAR	HIGH_TO_VERIFY	HIGH_TO_VERIFY	HIGH_VALUE_LOT_IDENTITIES	PUBLIC_OFFICIAL_PAGES	NO_OPEN_BULK_LICENSE_CONFIRMED	OFFICIAL_CONTENT_BULK_RIGHTS_UNCONFIRMED	LOW_RISK_PROFESSIONAL_RECORDS	WRITTEN_PERMISSION_OR_OFFICIAL_EXPORT_REQUIRED	PUBLIC_DERIVED_RELEASE_RIGHTS_TO_REQUEST	false	true	false	true	PERMISSION_REQUEST_READY	DO_NOT_CRAWL_PUBLIC_PAGES_WITHOUT_EXPORT_OR_WRITTEN_PERMISSION
roastguide-catalog	H	Roastguide coffee catalog	Roastguide	OFFICIAL_SERVICE_URL_TO_VERIFY	Roastguide and upstream roasters	CURRENT	LARGE_TO_VERIFY	LARGE_TO_VERIFY	UNKNOWN_UNTIL_IDENTITY_AUDIT	PUBLIC_SERVICE	BULK_DATA_RIGHTS_NOT_GRANTED	UPSTREAM_ROASTER_COPY_CHAIN_UNRESOLVED	LOW_RISK_PRODUCT_RECORDS	PARTNERSHIP_OR_LICENSE_REQUIRED	PUBLIC_DERIVED_RELEASE_RIGHTS_TO_REQUEST	false	true	false	true	PERMISSION_REQUEST_READY	DO_NOT_REVERSE_ENGINEER_APPLICATION_APIS
