candidate_key	acquisition_batch	targeted_training_gap	title	authors_or_owner	year	doi_or_stable_url	repository	expected_contribution	license_or_terms	rights_state	access_state	decision	independence_basis	estimated_effective_units	raw_acquisition_authorized	registered_on	limitation
candidate.r3j.liang-full-immersion-2024	D;E	crossed_context;relationship_density	Sensory analysis of the flavor profile of full immersion hot room temperature and cold brewed coffee over time	Jiexin Liang; Mackenzie E. Batali; Catherine Routt; William D. Ristenpart; Jean-Xavier Guinard	2024	https://doi.org/10.5061/dryad.v15dv423h	Dryad	30 roast-temperature-time configurations; 28 attributes; trained panel	CC0 1.0	CLEARED_FOR_FILE_AUDIT	PUBLIC_VERSIONED_DATASET	TARGET_HIGH_PRIORITY_ACQUISITION	Distinct experiment; shared UC Davis ecosystem does not make it a Cotter mirror	30	true	2026-08-26	Triplicates remain one configuration; inspect identifiers and record-level terms before admission.
candidate.r3j.golovinsky-electrochemical-v1_1	C;D;E	sensory_sample_scale;context;relationship_density	Electrochemical profiles of coffee drink samples	Rodion Golovinsky; Ilya Ivanov; Aleksandr Aglikov; Timur Aliev; Ivan Timofeenko; Alexander Novikov; Mikhail Zayats; Mariia Ashikhmina; Olga Orlova; Maria Masalovich; Ekaterina Skorb	2026	https://doi.org/10.5281/zenodo.20840464	Zenodo	196 coffee samples with sensory scores and roast-grind context	CC BY-NC 4.0	RESEARCH_ONLY_NONCOMMERCIAL	PUBLIC_VERSIONED_DATASET	QUARANTINE_RESEARCH_ONLY	One ITMO-SFU-BSU origin; four electrode views are not independent datasets	196	true	2026-08-26	Do not count toward an unrestricted public or commercial training-corpus exit gate; inspect grader sheets and free text.
candidate.r3j.carvalho-canephora-rata-2025	C;E;F	sensory_sample_scale;relationship_density;long_tail	Development of a flavour wheel for Coffea canephora using rate-all-that-apply	Fabiana M. Carvalho; Enrique A. Alves; Mateus M. Artencio; Alvaro L. L. Cassago; Lucas L. Pereira	2025	https://doi.org/10.1038/s41598-025-99921-w	Scientific Reports; unresolved Dryad deposit	67 samples from 13 countries; 49 graders; 103 final descriptors	CC BY-NC-ND 4.0 article; standalone dataset license unresolved	BLOCKED_RIGHTS_AND_VERSION	PRIVATE_SHARE_LINK_ONLY	HOLD_STABLE_DRYAD_LICENSE_RESOLUTION	Distinct Carvalho-Pereira experiment; cited historical database is not available sample data	67	false	2026-08-26	No public versioned Dryad DOI; participant demographics require privacy review.
candidate.r3j.munchow-roasting-multistudy-2020	D;E	crossed_context;relationship_density	Roasting Conditions and Coffee Flavor: A Multi-Study Empirical Investigation	Morten Munchow; Jesper Alstrup; Ida Steen; Davide Giacalone	2020	https://doi.org/10.3390/beverages6020029	MDPI Beverages	Eight studies; roast colour and time configurations; aggregate relationship evidence	CC BY 4.0	CLEARED_ARTICLE_AGGREGATES	PUBLIC_ARTICLE_NO_RAW_REPOSITORY	TARGET_AGGREGATE_EVIDENCE_ONLY	One CoffeeMind-SDU family; Study 1 overlaps an earlier publication and must be deduplicated	NOT_YET_AUDITED	false	2026-08-26	The 1918 panel observations are not independent samples; raw panel data are unavailable.
candidate.r3j.bichlmaier-mozambioside-v1	E;F	relationship_density;long_tail	Contribution of mozambioside roasting products to coffee's bitter taste	Coline Bichlmaier; Sonja Maria Frohlich; Valeria Brychcy; Angelika Grassl; Maik Behrens; Roman Lang	2025	https://doi.org/10.17632/xzjppbmn58.1	Mendeley Data	Roast and brew configurations; bitter-threshold and explicit mechanism evidence	CC BY 4.0	CLEARED_WITH_PRIVACY_SEGREGATION	PUBLIC_VERSIONED_DATASET	TARGET_SPLIT_FILE_AUDIT	One TUM-Leibniz origin; paper and dataset are companion representations	NOT_YET_AUDITED	true	2026-08-26	Quarantine TAS2R43 genotype and participant rows; admit only safe configuration and aggregate evidence after audit.
candidate.r3j.juravle-citizen-science-2026	E	relationship_density	A multi-country citizen-science study on what makes us enjoy a cup of coffee	Georgiana Juravle; Delia Elena Diaconasu; Ana-Maria Andrei; Felipe Reinoso-Carvalho; Simon D'Alfonso; Valentina Goglio; Kosuke Motoki; Simone Schmidt; Ceyhun Ucuk; George Van Doorn; Fabiana Mesquita Carvalho; Charles Spence	2026	https://doi.org/10.1038/s41538-026-00832-5	npj Science of Food	Aggregate context-liking relationships across 2987 valid participants	CC BY 4.0 article; underlying data rights not public	METADATA_AND_ARTICLE_AGGREGATES_ONLY	AUTHOR_REQUEST_DATA	MONITOR_HOLD_RAW_DATA	Distinct multinational study; author overlap with Carvalho does not create a mirror	0	false	2026-08-26	Includes minors and potentially identifying demographic-context combinations; not controlled sensory-sample scale.
candidate.r3j.birke-rune-acid-thresholds-2023	D;E;F	crossed_context;relationship_density;long_tail	Acids in brewed coffees: Chemical composition and sensory threshold	Christina J. Birke Rune; Davide Giacalone; Ida Steen; Lars Duelund; Morten Munchow; Mathias Porsmose Clausen	2023	https://doi.org/10.1016/j.crfs.2023.100485	Current Research in Food Science; PMC10074501	15 origin-roast configurations and acid-threshold relationship evidence	Open access article; raw data license unverified	ARTICLE_AGGREGATES_ONLY	RAW_DATA_ON_REQUEST	TARGET_AGGREGATE_EVIDENCE_ONLY	Distinct experiment in the CoffeeMind-SDU ecosystem; not a fully independent concentration family from Munchow	15	false	2026-08-26	Requested participant data would require consent privacy and standalone rights review.
candidate.r3j.guchengf-coffee-reviews-2025	A;B	contemporary_language;zh_hans_scale	Four source-authored 2025 packaged-coffee reviews	gucheen	2025	https://guchengf.me/blog/	Official author archive	4 zh-Hans documents with consumer sensory prose	CC BY 4.0	CLEARED_WITH_TEXT_BOUNDARY_AUDIT	PUBLIC_HTML	TARGET_MANUAL_TEXT_BOUNDARY_AUDIT	New author and domain independent of both frozen zh-Hans families	4 documents; expressions not yet audited	true	2026-08-26	Exclude packaging copy images and any separately marked material.
candidate.r3j.xian-zhang-zero-price-reviews-v2	A;B	contemporary_language;zh_hans_scale	Effects of zero price and reciprocity on online consumer reviews	Xian Zhang	2025	https://doi.org/10.17632/8mmw6wb26r.2	Mendeley Data	Open-ended coffee comments; language and sensory yield require inspection	CC BY 4.0	CLEARED_WITH_PRIVACY_AND_LANGUAGE_AUDIT	PUBLIC_VERSIONED_DATASET	TARGET_LANGUAGE_PRIVACY_SCHEMA_AUDIT	New UNNC-CeDEx study family; not the frozen Junru Zhang author	NOT_YET_AUDITED	true	2026-08-26	Human-subject free text must be deidentified; metadata does not establish language or sensory counts.
candidate.r3j.open-food-facts-fixed-snapshot	A;B	contemporary_language;zh_hans_scale	Open Food Facts database	Open Food Facts contributors	2026	https://openfoodfacts.github.io/openfoodfacts-server/api/tutorials/license-be-on-the-legal-side/	Open Food Facts	Potential multilingual coffee product partition; qualifying yield unknown	ODbL 1.0 database; DbCL 1.0 contents; images CC BY-SA	SHARE_ALIKE_PARTITION_REQUIRED	LIVE_DATABASE_NO_FIXED_SNAPSHOT	PENDING_FIXED_SNAPSHOT_PROFILE_AND_ODBL_PARTITION	One canonical OFF family across languages and brands	NOT_YET_AUDITED	false	2026-08-26	Select immutable snapshot and verify coffee sensory fields before acquisition; do not mix casually with external product data.
