audit_outcome_id	execution_batch_id	candidate_key	source_version	repository_state	targeted_gap	access_result	audited_payload_file_count	audited_source_payload_bytes	raw_observation_count	raw_observation_unit	admitted_row_count	effective_training_unit_count	effective_unit_type	observed_candidate_document_count	observed_zh_hans_document_count	observed_zh_hans_expression_count	new_independent_source_family_feasibility_count	license_observed	rights_status	privacy_status	public_corpus_release_status	raw_public_release_status	model_research_use_status	hash_status	material_gain	material_gain_basis	outcome_state	limitation	audited_on
outcome.r3j.001.01	R3J-AQ-001	candidate.r3j.liang-full-immersion-2024	doi:10.5061/dryad.v15dv423h	DRYAD_IDENTIFIER_124603	crossed_context;relationship_density	INACCESSIBLE_IDENTIFIER_CANNOT_BE_VIEWED	0	0	0	NONE	0	0	NONE	0	0	0	0	CC0_1_0_FROM_PREREGISTERED_METADATA	BLOCKED_SOURCE_VERSION_NOT_RETRIEVABLE	NO_PAYLOAD_TO_REVIEW	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NO_SOURCE_PAYLOAD;TRANSIENT_API_RESPONSE_SHA256_2371b6f0477574b1a804042e1ce2584763a434d7eafe5253ca37ae97c74851ef	false	NONE	NO_MATERIAL_GAIN_INACCESSIBLE	Dryad API returned identifier cannot be viewed or missing required elements; no file or row count was inferred.	2026-08-26
outcome.r3j.001.02	R3J-AQ-001	candidate.r3j.golovinsky-electrochemical-v1_1	1.1;doi:10.5281/zenodo.20840464	ZENODO_PUBLIC_VERSIONED_RECORD	sensory_sample_scale;context;relationship_density	TWO_OF_FOUR_DATASET_FILES_AUDITED	2	151421	526	SENSORY_SPREADSHEET_DATA_ROWS	0	0	NONE	0	0	0	0	STRUCTURED_CC_BY_4_0;DESCRIPTION_CC_BY_NC_4_0	BLOCKED_LICENSE_CONFLICT_NONCOMMERCIAL_STATEMENT	DIRECT_PUBLIC_PANELIST_NAMES_PRESENT	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	SHA256_COMPLETE_FOR_TWO_AUDITED_FILES;README_cabe9369a6aa9d5fae4bd9c79a1ce71fc86d209ce107c5771b794e834827990a;XLSX_85df699ea18f5849ef3104100a20570d5df13e7d6cc7ce53e20c3df8a5219150	false	NONE	QUARANTINED_RIGHTS_AND_PRIVACY	526 rows include 196 unique sample IDs and 330 repeated sample rows; neither raw occurrences nor four panelists are admitted effective units.	2026-08-26
outcome.r3j.001.03	R3J-AQ-001	candidate.r3j.bichlmaier-mozambioside-v1	1;doi:10.17632/xzjppbmn58.1	MENDELEY_PUBLIC_VERSIONED_DATASET	relationship_density;long_tail	ARCHIVE_AND_FILE_INVENTORY_AUDITED	571	97595750	UNKNOWN_NOT_ENUMERATED	MIXED_WORKBOOK_DOCX_AND_NMR_RECORDS	0	0	NONE	0	0	0	0	CC_BY_4_0	CLEARED_SOURCE_LICENSE;FILE_LEVEL_SEGREGATION_REQUIRED	BLOCKED_HUMAN_GENOTYPE_AND_PARTICIPANT_ROWS	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	ARCHIVE_SHA256_28df7f0d72ee9e979a42b14349d1d62bf8221d0875e00f3f2dfbafd32ee365be;OFFICIAL_TOP_LEVEL_FILE_HASHES_VERIFIED_14_OF_14	false	NONE	NO_MATERIAL_GAIN_QUARANTINED_OR_NON_SENSORY	Human sensory and DoT workbooks contain participant and TAS2R43-style genotype fields; safe chemistry and configuration files do not supply source-local sensory outcomes.	2026-08-26
outcome.r3j.001.04	R3J-AQ-001	candidate.r3j.guchengf-coffee-reviews-2025	2025-posts-snapshot-20260826	REPOSITORY_VERSION_ADDRESSED_RAW_SNAPSHOT	contemporary_language;zh_hans_scale	FIVE_HTML_FILES_ACQUIRED_HASHED_AND_TEXT_BOUNDARY_AUDITED	5	20135	4	SOURCE_AUTHORED_REVIEW_DOCUMENTS;LICENSE_HOME_PAGE_EXCLUDED	0	0	NONE_CANDIDATES_NOT_SAMPLING_ELIGIBLE	4	4	22	1	CC_BY_4_0	CLEARED_AUTHOR_MAIN_PROSE_BOUNDARY	PUBLIC_AUTHORSHIP_ONLY_NO_PARTICIPANT_DATA	ALLOWED_WITH_CC_BY_ATTRIBUTION	ALLOWED_WITH_CC_BY_ATTRIBUTION	ALLOWED_WITH_CC_BY_ATTRIBUTION	SHA256_COMPLETE_5_OF_5;MANIFEST_3de9a815409774f815bc0d6dee6255d4e21eebc0b10062634a4b531d3a85302e;SUMS_1ebfb823c330fe9e8a6a260739a72f588bb40be39435fbf8ab9ffc0188d944f7;DERIVED_TSV_35ae3ad4c93db44cd248387edb5d5b28afe1755b27bf5462de91d9961fb4899b	true	NEW_INDEPENDENT_SOURCE_FAMILY_FEASIBILITY;FOUR_SOURCE_AUTHORED_ZH_HANS_DOCUMENTS;TWENTY_TWO_UNIQUE_SOURCE_REVIEWED_ZH_HANS_EXPRESSIONS	MATERIAL_ACQUISITION_GAIN_DERIVED_CANDIDATES_NOT_IMPORTED	The home page is a license locator rather than a language document; images figcaptions ratings metadata footers and site shell were excluded; all 22 expressions remain unresolved non-gold non-sampling-eligible candidates.	2026-08-26
outcome.r3j.001.05	R3J-AQ-001	candidate.r3j.xian-zhang-zero-price-reviews-v2	2;doi:10.17632/8mmw6wb26r.2	MENDELEY_PUBLIC_VERSIONED_DATASET	contemporary_language;zh_hans_scale	SIX_FILES_AND_TWO_WORKBOOK_REPRESENTATIONS_AUDITED	6	171645	404	SUBJECT_ROWS_ACROSS_TWO_OVERLAPPING_WORKBOOKS;202_UNIQUE_PARTICIPANT_GROUPS	0	0	NONE	0	0	0	0	CC_BY_4_0	CLEARED_SOURCE_LICENSE;DEIDENTIFICATION_REVIEW_REQUIRED	PARTICIPANT_IDS_DEMOGRAPHICS_EXPERIMENTAL_VARIABLES_AND_FREE_TEXT_PRESENT	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	ARCHIVE_SHA256_12b5e06d9c8356242cad138c0e22abe484be8596455d1c0925422ab27fb5c359;OFFICIAL_FILE_HASHES_VERIFIED_6_OF_6	false	NONE	NO_MATERIAL_GAIN_PRIVACY_AND_LANGUAGE	Both audited workbooks contain 202 subject rows; 404 is a raw representation count not 404 people; 124 and 125 nonempty comments respectively yielded zero source-authored zh-Hans comments.	2026-08-26
outcome.r3j.002.01	R3J-AQ-002	candidate.r3j.carvalho-canephora-rata-2025	UNRESOLVED_DATASET_VERSION	METADATA_ONLY_PRIVATE_SHARE_LINK	sensory_sample_scale;relationship_density;long_tail	NO_AUTHORIZED_RAW_ACQUISITION	0	0	0	NONE	0	0	NONE	0	0	0	0	ARTICLE_CC_BY_NC_ND_4_0;DATASET_LICENSE_UNRESOLVED	BLOCKED_RIGHTS_AND_VERSION	PARTICIPANT_DEMOGRAPHICS_REQUIRE_REVIEW	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ACQUIRED_NO_HASH	false	NONE	NO_MATERIAL_GAIN_METADATA_ONLY	No public versioned Dryad DOI or standalone dataset license was available; the article's reported 67 samples were not counted as acquired rows or effective units.	2026-08-26
outcome.r3j.002.02	R3J-AQ-002	candidate.r3j.munchow-roasting-multistudy-2020	ARTICLE_2020	PUBLIC_ARTICLE_NO_RAW_REPOSITORY	crossed_context;relationship_density	METADATA_AND_ARTICLE_AGGREGATES_ONLY	0	0	0	NONE	0	0	NONE	0	0	0	0	CC_BY_4_0_ARTICLE	CLEARED_ARTICLE_AGGREGATES_ONLY	RAW_PARTICIPANT_STATE_NOT_REVIEWABLE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ACQUIRED_NO_HASH	false	NONE	NO_MATERIAL_GAIN_NO_RAW_SOURCE_LOCAL_OUTCOME	Reported 1918 panel observations are not independent samples and no raw panel dataset was available; overlapping Study 1 also requires deduplication.	2026-08-26
outcome.r3j.002.03	R3J-AQ-002	candidate.r3j.juravle-citizen-science-2026	ARTICLE_2026	AUTHOR_REQUEST_DATA	relationship_density	METADATA_AND_ARTICLE_AGGREGATES_ONLY	0	0	0	NONE	0	0	NONE	0	0	0	0	CC_BY_4_0_ARTICLE;UNDERLYING_DATA_RIGHTS_NOT_PUBLIC	METADATA_AND_ARTICLE_AGGREGATES_ONLY	MINORS_AND_IDENTIFYING_DEMOGRAPHIC_CONTEXT_COMBINATIONS_REQUIRE_REVIEW	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ACQUIRED_NO_HASH	false	NONE	NO_MATERIAL_GAIN_DATA_UNAVAILABLE	The article's 2987 valid participants were not treated as acquired rows effective sensory samples or controlled sensory outcomes.	2026-08-26
outcome.r3j.002.04	R3J-AQ-002	candidate.r3j.birke-rune-acid-thresholds-2023	ARTICLE_2023	RAW_DATA_ON_REQUEST	crossed_context;relationship_density;long_tail	METADATA_AND_ARTICLE_AGGREGATES_ONLY	0	0	0	NONE	0	0	NONE	0	0	0	0	OPEN_ACCESS_ARTICLE;RAW_DATA_LICENSE_UNVERIFIED	ARTICLE_AGGREGATES_ONLY	REQUESTED_PARTICIPANT_DATA_WOULD_REQUIRE_REVIEW	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ACQUIRED_NO_HASH	false	NONE	NO_MATERIAL_GAIN_RAW_UNAVAILABLE	The article's reported 15 origin-roast configurations were not counted as acquired context cells or effective units.	2026-08-26
outcome.r3j.003.01	R3J-AQ-003	candidate.r3j.open-food-facts-fixed-snapshot	NO_FIXED_SNAPSHOT	LIVE_DATABASE_NO_FIXED_SNAPSHOT	contemporary_language;zh_hans_scale	NO_AUTHORIZED_RAW_ACQUISITION	0	0	0	NONE	0	0	NONE	0	0	0	0	ODBL_1_0_DATABASE;DBCL_1_0_CONTENTS;CC_BY_SA_IMAGES	SHARE_ALIKE_PARTITION_REQUIRED	NOT_REVIEWED_WITHOUT_FIXED_PARTITION	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ALLOWED_CURRENT_STATE	NOT_ACQUIRED_NO_HASH	false	NONE	NO_MATERIAL_GAIN_NO_FIXED_SNAPSHOT	No immutable coffee partition or verified sensory-field yield was available; live row totals were not inferred.	2026-08-26
