section	metric_key	minimum_required	preferred_required	baseline_observed	hard_gate	passed	evidence_path	limitation
CHECKPOINT	checkpoint.work_branch	codex/coffee-sensory-kb-v0-round3j-training-corpus-scaleup-20260826	SAME	codex/coffee-sensory-kb-v0-round3j-training-corpus-scaleup-20260826	true	true	git branch --show-current	Round 3J continues on the existing branch.
CHECKPOINT	checkpoint.source_sha	c3ae9b880d85507a0b8b0298bb94ef013d02f928	SAME	c3ae9b880d85507a0b8b0298bb94ef013d02f928	true	true	git tag coffee-sensory-research-db-v0.1.0	Frozen main baseline remains immutable.
CHECKPOINT	checkpoint.continuation_sha	0328c5bc83a20018b1be848d7e560baaf59a77ac	SAME	0328c5bc83a20018b1be848d7e560baaf59a77ac	true	true	git rev-parse HEAD	Exact remote Round 3J continuation checkpoint before this contract.
CHECKPOINT	checkpoint.source_release	coffee-sensory-research-db-v0.1.0	SAME	coffee-sensory-research-db-v0.1.0	true	true	annotated git tag	No frozen release mutation is authorized.
BASELINE	language.governed_unique_normalized_expression_count	6000	10000	2996	true	false	db/data/round3j/training_scale_expected_state.tsv	Governed unique expressions are not occurrence rows.
BASELINE	language.contemporary_tasting_source_family_count	12	20	3	true	false	db/data/round3j/training_scale_expected_state.tsv	Global flavor-acquisition source-family target supersedes the earlier lexical-only family target.
BASELINE	corpus.admitted_flavor_document_count	10000	25000	3289	true	false	db/data/round3j/training_scale_expected_state.tsv	Baseline uses the frozen contemporary tasting-document inventory.
BASELINE	corpus.admitted_flavor_expression_occurrence_count	40000	100000	NOT_YET_MATERIALIZED	true	false	future global corpus manifest	Do not infer occurrences from unique-expression or document counts.
BASELINE	lexical.training_eligible_unique_expression_count	5000	8000	NOT_YET_AUDITED	true	false	future training eligibility audit	Rights provenance source authorship and duplicate governance are conjunctive.
BASELINE	sensory.source_local_sample_or_configuration_count	500	1000	230	true	false	db/data/round3j/training_scale_expected_state.tsv	Raw rows do not count as effective units.
