coverage_measure_key	regional_frame_key	reported_measure_key	reported_value	counting_unit	source_reported_not_acquired_value	source_reported_not_acquired_basis	training_eligibility_scope	regional_coverage_status	regional_representativeness_claim	evidence_path	limitation
coverage.MAINLAND_CHINA.regional_language_document_count	MAINLAND_CHINA	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.MAINLAND_CHINA.regional_unique_expression_count	MAINLAND_CHINA	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.MAINLAND_CHINA.regional_preference_response_count	MAINLAND_CHINA	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.MAINLAND_CHINA.regional_sensory_sample_count	MAINLAND_CHINA	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.MAINLAND_CHINA.regional_source_family_count	MAINLAND_CHINA	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.MAINLAND_CHINA.regional_training_eligible_unit_count	MAINLAND_CHINA	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.TAIWAN.regional_language_document_count	TAIWAN	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.TAIWAN.regional_unique_expression_count	TAIWAN	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.TAIWAN.regional_preference_response_count	TAIWAN	REGIONAL_PREFERENCE_RESPONSE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.TAIWAN.regional_sensory_sample_count	TAIWAN	REGIONAL_SENSORY_SAMPLE_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.TAIWAN.regional_source_family_count	TAIWAN	REGIONAL_SOURCE_FAMILY_COUNT	0	DISTINCT_ADMITTED_CONTRIBUTING_SOURCE_FAMILY	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.TAIWAN.regional_training_eligible_unit_count	TAIWAN	REGIONAL_TRAINING_ELIGIBLE_UNIT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.AU_NZ.regional_language_document_count	AU_NZ	REGIONAL_LANGUAGE_DOCUMENT_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
coverage.AU_NZ.regional_unique_expression_count	AU_NZ	REGIONAL_UNIQUE_EXPRESSION_COUNT	0	DISTINCT_ADMITTED_COUNTABLE_EVIDENCE_UNIT	NOT_REPORTED	Candidate-page sample sizes, where noted, remain audit metadata and are excluded from coverage.	NOT_ADMITTED	NO_ADMITTED_COVERAGE	false	db/data/round3j/regional_evidence_unit_register.tsv	Candidate count and public aggregate sample-size metadata do not create admitted regional sample coverage.
