section	metric_name	expected_value	observed_value	pass	evidence
BASELINE	CENSUS_ITEM_COUNT	480	480	true	SOURCE_CENSUS_UNIVERSE.tsv
BASELINE	SOURCE_ROUTE_OR_FAMILY_KEY_COUNT	131	131	true	SOURCE_ROUTE_DISPOSITION.tsv
BASELINE	INDEPENDENT_SOURCE_FAMILY_COUNT	11	11	true	SOURCE_CENSUS_UNIVERSE.tsv
REVIEW	EXISTING_CANDIDATE_COUNT	376	376	true	EXISTING_376_REVIEW_RECEIPT.json
REVIEW	NON_DESCRIPTOR_COUNT	376	376	true	DESCRIPTOR_REVIEW_QUEUE.tsv
LIVE_PILOT	SEGMENTED_ATOMIC_OBSERVATION_COUNT	140	140	true	DESCRIPTOR_ASSERTION_LEDGER.tsv
LIVE_PILOT	ASSERTION_LEVEL_DEINFLATED_COUNT	139	139	true	DUPLICATE_REPEAT_DECISION.tsv
LIVE_PILOT	RECORD_LEVEL_UNIQUE_DESCRIPTOR_COUNT	137	137	true	DUPLICATE_REPEAT_DECISION.tsv
LIVE_PILOT	STRICT_FLAVOR_ASSERTION_COUNT	86	86	true	DESCRIPTOR_ASSERTION_LEDGER.tsv
LIVE_PILOT	BROAD_SENSORY_ASSERTION_COUNT	54	54	true	DESCRIPTOR_ASSERTION_LEDGER.tsv
LIVE_PILOT	P2_DESCRIPTOR_ASSERTION_COUNT	73	73	true	DESCRIPTOR_ASSERTION_LEDGER.tsv
LIVE_PILOT	PROVENANCE_UNRESOLVED_DESCRIPTOR_ASSERTION_COUNT	67	67	true	DESCRIPTOR_ASSERTION_LEDGER.tsv
LIVE_PILOT	DESCRIPTOR_BEARING_EFFECTIVE_RECORD_COUNT	8	8	true	PUBLIC_SAFE_EFFECTIVE_RECORDS.tsv
RIGHTS	PURPOSE_SPECIFIC_RIGHTS_ROW_COUNT	3096	3096	true	DESCRIPTOR_RIGHTS_DECISION.tsv
RIGHTS	MODEL_ELIGIBLE_DESCRIPTOR_COUNT	0	0	true	DESCRIPTOR_ASSERTION_LEDGER.tsv
REVIEW	HUMAN_CONFIRMED_REVIEW_COUNT	0	0	true	DESCRIPTOR_PROVISIONAL_DECISIONS.tsv
REVIEW	EXPERT_ADJUDICATED_REVIEW_COUNT	0	0	true	DESCRIPTOR_PROVISIONAL_DECISIONS.tsv
GATE	PASSING_CRITERION_COUNT	0	0	true	DESCRIPTOR_GATE_STATUS.tsv
GATE	SATURATION_EVALUATED	false	false	true	056_round3m_descriptor_gate_contract.sql
GATE	SATURATION_PASS	false	false	true	056_round3m_descriptor_gate_contract.sql
EXTERNAL_ACTION	OUTBOUND_DATA_REQUEST_COUNT	0	0	true	ORGANIZER_REQUEST_MATRIX.tsv
EXTERNAL_ACTION	CONTRACT_ACCEPTANCE_COUNT	0	0	true	ORGANIZER_REQUEST_MATRIX.tsv
EXTERNAL_ACTION	COMMERCIAL_PURCHASE_COUNT	0	0	true	ORGANIZER_REQUEST_MATRIX.tsv
MODEL	MODEL_OR_TRAINING_ARTIFACT_COUNT	0	0	true	Round 3M phase policy
RESEARCH_INPUT	MACHINE_READABLE_RESEARCH_ARTIFACTS_AVAILABLE	false	false	true	ROUND3M_RESEARCH_ARTIFACT_BLOCKER.tsv
