gate_version	gate_name	metric_name	observed_value	required_value	requirement_type	universe	pass	not_applicable	rights_blocker	data_blocker	review_blocker	explanatory_note
round3m-descriptor-gates-v1	EVALUATION_500	reviewed_p1_p2_strict_assertions	0	500	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EVALUATION_500	normalized_forms	0	75	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EVALUATION_500	independent_families	0	3	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EVALUATION_500	source_and_label_provenance_completeness	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	reviewed_p1_p2_strict_assertions	0	2000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	descriptor_bearing_records	0	500	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	normalized_forms	0	100	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	records_per_output_label	0	20	MINIMUM	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	independent_families	0	3	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	largest_family_share	NA	70	MAX_PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	false	true	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	unresolved_challenge_cases	0	100	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
round3m-descriptor-gates-v1	EXPERIMENTAL_NORMALIZATION_2000	affirmative_model_research_rights	NA	100	PERCENT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	true	true	false	true	No denominator exists; NA is explicitly non-passing.
round3m-descriptor-gates-v1	RESEARCH_NORMALIZATION_10000	reviewed_p1_p2_strict_assertions	0	10000	COUNT	HUMAN_REVIEWED_DESCRIPTOR_UNIVERSE	false	false	false	true	true	Round 3M has no human-confirmed descriptor imports.
