census_item_key	item_kind	source_family_id	source_route_id	organizer_id	edition_id	schema_signature_id	publication_host	independent_source_family_id	independence_state	rights_lineage_id	mirror_lineage_id	route_disposition	artifact_count	publication_row_count	effective_record_candidate_count	gate_descriptor_candidate_count	reviewed_strict_count	reviewed_broad_count	p1_count	p2_count	p3_count	unresolved_count	rights_affirmative_model_count	analyst_minutes	descriptor_yield_per_artifact	descriptor_yield_per_analyst_hour	corpus_universe	official_url
series:avpa_coffees_roasted_at_origin	COMPETITION_SERIES	family.avpa	route.avpa_coffees_roasted_at_origin	organizer.avpa		schema.unresolved.v1	en.avpa.fr	family.avpa	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.avpa	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://en.avpa.fr/cafes
series:best_of_panama	COMPETITION_SERIES	family.scap_best_of_panama	route.best_of_panama	organizer.scap		schema.unresolved.v1	bestofpanama.org	family.scap_best_of_panama	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.scap_best_of_panama	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://bestofpanama.org/about2026
series:coe	COMPETITION_SERIES	family.ace_cup_of_excellence	route.coe	organizer.ace		schema.unresolved.v1	cupofexcellence.org	family.ace_cup_of_excellence	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.ace_cup_of_excellence	UNRESOLVED	UNRESOLVED_ROUTE	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://cupofexcellence.org/cup-of-excellence/
series:global_coffee_awards	COMPETITION_SERIES	family.global_coffee_awards	route.global_coffee_awards	organizer.global_coffee_awards		schema.unresolved.v1	globalcoffeeawards.com	family.global_coffee_awards	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.global_coffee_awards	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://globalcoffeeawards.com/
series:golden_bean_americas	COMPETITION_SERIES	family.golden_bean	route.golden_bean_americas	organizer.golden_bean		schema.unresolved.v1	goldenbean.com	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	38	1317	1317	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://goldenbean.com/
series:golden_bean_australasia	COMPETITION_SERIES	family.golden_bean	route.golden_bean_australasia	organizer.golden_bean		schema.unresolved.v1	goldenbean.com.au	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	84	3149	3149	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://goldenbean.com.au/pages/about
series:golden_bean_world_series	COMPETITION_SERIES	family.golden_bean	route.golden_bean_world_series	organizer.golden_bean		schema.unresolved.v1	goldenbean.com.au	family.golden_bean	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.golden_bean	UNRESOLVED	EXCLUDED_LOW_YIELD	1	0	0	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://goldenbean.com.au/pages/world-series
series:iiac_ict	COMPETITION_SERIES	family.iiac	route.iiac_ict	organizer.iiac		schema.unresolved.v1	www.iiac.coffee	family.iiac	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.iiac	UNRESOLVED	PARTNERSHIP_ONLY	4	182	182	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://www.iiac.coffee/en/concorso
series:melbourne_royal_aica	COMPETITION_SERIES	family.melbourne_royal	route.melbourne_royal_aica	organizer.melbourne_royal		schema.unresolved.v1	www.melbourneroyal.com.au	family.melbourne_royal	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.melbourne_royal	UNRESOLVED	EXCLUDED_LOW_YIELD	5	3827	3827	0	0	0	0	0	0	0	0	NA	0.000000	NA	DISCOVERED	https://www.melbourneroyal.com.au/about/news/melbourne-royal-announces-australian-international-coffee-awards-on-hold-in-2023/
series:royal_adelaide_coffee_show	COMPETITION_SERIES	family.royal_adelaide	route.royal_adelaide_coffee_show	organizer.royal_adelaide		schema.unresolved.v1	www.royaladelaidecoffeeshow.com.au	family.royal_adelaide	CONSERVATIVE_PUBLICATION_ORIGIN_GROUP	rights.royal_adelaide	UNRESOLVED	EXCLUDED_LOW_YIELD	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	DISCOVERED	https://www.royaladelaidecoffeeshow.com.au/
