source_route_id	source_family_id	artifact_count	candidate_count	reviewed_count	analyst_minutes	descriptor_yield_per_artifact	descriptor_yield_per_analyst_hour	yield_scope
route.aica_official	family.melbourne_royal	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.aica_results	family.melbourne_royal	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.aica_rules	family.melbourne_royal	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.avpa_coffees_roasted_at_origin	family.avpa	5	376	0	NA	75.200000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.avpa_official	family.avpa	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.avpa_results	family.avpa	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.avpa_rules	family.avpa	0	0	0	NA	NA	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.best_of_panama	family.scap_best_of_panama	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.bop_official	family.scap_best_of_panama	2	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.bop_results	family.scap_best_of_panama	26	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe	family.ace_cup_of_excellence	1	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_bolivia	family.ace_cup_of_excellence	10	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_brazil	family.ace_cup_of_excellence	63	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_burundi	family.ace_cup_of_excellence	14	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_colombia	family.ace_cup_of_excellence	38	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_costa_rica	family.ace_cup_of_excellence	32	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_ecuador	family.ace_cup_of_excellence	4	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_el_salvador	family.ace_cup_of_excellence	41	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_ethiopia	family.ace_cup_of_excellence	6	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_guatemala	family.ace_cup_of_excellence	41	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_honduras	family.ace_cup_of_excellence	39	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_indonesia	family.ace_cup_of_excellence	5	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
route.coe_mexico	family.ace_cup_of_excellence	21	0	0	NA	0.000000	NA	ROUND3L_STAGED_CANDIDATES_NOT_HUMAN_REVIEWED
