rights_decision_id	descriptor_assertion_id	source_artifact_id	purpose	rights_state	decision_basis	rights_evidence_locator	review_actor_type	model_eligibility_effect
rights-2899de45bf59b7d644d51d01	assert-00a6152081f52c737ceaf6549dc522a8b8dee2959b69607d	artifact-3914c9be73e7715c45a37e0c	DEPLOYMENT_OR_COMMERCIAL_MODEL	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2025_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-bcd9c234ab4cc01626a2ae15	assert-00a6152081f52c737ceaf6549dc522a8b8dee2959b69607d	artifact-3914c9be73e7715c45a37e0c	DERIVED_RESEARCH_DATA	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2025_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-a8131c3f25a97a68483cfc73	assert-00a6152081f52c737ceaf6549dc522a8b8dee2959b69607d	artifact-3914c9be73e7715c45a37e0c	INTERNAL_RESEARCH_ANALYSIS	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2025_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-a21280ebb2bc65e96065d78a	assert-00a6152081f52c737ceaf6549dc522a8b8dee2959b69607d	artifact-3914c9be73e7715c45a37e0c	MODEL_RESEARCH	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2025_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-a5e4779c8e91d892cd93a144	assert-00a6152081f52c737ceaf6549dc522a8b8dee2959b69607d	artifact-3914c9be73e7715c45a37e0c	PUBLIC_DISCOVERY	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2025_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-ef97cfaba471773e89937d49	assert-00a6152081f52c737ceaf6549dc522a8b8dee2959b69607d	artifact-3914c9be73e7715c45a37e0c	RAW_REDISTRIBUTION	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2025_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-51a11f4d001a1b1f767183f1	assert-015a0e98df5ed02086ebf2e0609e876e217109f2edd29d0e	artifact-212251328044613c58cc7c9b	DEPLOYMENT_OR_COMMERCIAL_MODEL	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2023_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-1df0a716c29ef8731a491a52	assert-015a0e98df5ed02086ebf2e0609e876e217109f2edd29d0e	artifact-212251328044613c58cc7c9b	DERIVED_RESEARCH_DATA	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2023_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-1f7996e2c6c967079ab22465	assert-015a0e98df5ed02086ebf2e0609e876e217109f2edd29d0e	artifact-212251328044613c58cc7c9b	INTERNAL_RESEARCH_ANALYSIS	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2023_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
rights-ab87259db26029fe1b34492e	assert-015a0e98df5ed02086ebf2e0609e876e217109f2edd29d0e	artifact-212251328044613c58cc7c9b	MODEL_RESEARCH	UNKNOWN	CARRIED_FORWARD_FROM_PINNED_ROUND3L_RECORD_RIGHTS_STATE	restricted://round3l/round3l-2026-08-28t040000z/commercial_regional/avpa/2023_results.pdf	CODEX_SOURCE_AUDITOR	INELIGIBLE_NON_DESCRIPTOR_AND_NO_AFFIRMATIVE_RIGHTS
