promotion_key	membership_key	disposition	prior_lifecycle	new_lifecycle	supporting_source_families	supporting_claim_keys	decision_reason	remaining_uncertainty	review_protocol
promotion.round3h.01	membership.acidity-character.citrus	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.condelli-consumer-cata-2022	claim.round3h.condelli.01	Exact citrus consumer CATA evidence supplies one source-local path.	Citrus and acidic remain distinct source constructs.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.02	membership.cocoa-nut-caramel.honey	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.vezzulli-trainedpanel-2022	claim.round3h.vezzulli.03	Honey was independently measured as a panel descriptor.	Full cocoa-nut-caramel range remains research-reviewed only.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.03	membership.cocoa-nut-caramel.dark-chocolate	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.heo-coldbrew-consumers-2019	claim.round3h.heo.01	Dark chocolate was an exact observed consumer CATA term.	Does not equate dark chocolate with cocoa or chocolate.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.04	membership.fruit.berry	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.coffee-cuality-experts-2026	claim.round3h.cuality.01	Berries was an observed source quality driver with declared singular normalization.	Expert evidence only; no ordinary-user region validation.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.05	membership.fruit.citrus	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.heo-coldbrew-consumers-2019	claim.round3h.heo.02	Citrus fruit was an observed consumer CATA term.	Does not validate fruit subregion boundaries.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.06	membership.sweet-associated.honey	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.vezzulli-trainedpanel-2022	claim.round3h.vezzulli.04	Honey was directly measured in the trained-panel source.	Honey and basic sweetness remain distinct variables.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.07	membership.cocoa-nut-caramel.caramel	PROMOTE_CROSS_SOURCE	CANDIDATE	CROSS_SOURCE_SUPPORTED	family.vezzulli-trainedpanel-2022;family.gorman-milk-consumers-2021;family.nguyen-pbma-thai-2026	claim.round3h.vezzulli.02;claim.round3h.gorman.01;claim.round3h.nguyen.01	Caramel has reviewed exact-term sensory paths from three independent origins.	Context and method effects remain source-local.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.08	membership.cocoa-nut-caramel.cocoa	PROMOTE_CROSS_SOURCE	CANDIDATE	CROSS_SOURCE_SUPPORTED	family.vezzulli-trainedpanel-2022;family.bollen-robusta-qgraders-2024	claim.round3h.vezzulli.01;claim.round3h.bollen.01	Cocoa has two independent reviewed sensory paths, including one source broad class.	Nutty/Cocoa is broader than the exact member.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.09	membership.floral-tea.floral	PROMOTE_CROSS_SOURCE	CANDIDATE	CROSS_SOURCE_SUPPORTED	family.vezzulli-trainedpanel-2022;family.bollen-robusta-qgraders-2024;family.gorman-milk-consumers-2021	claim.round3h.vezzulli.05;claim.round3h.bollen.02;claim.round3h.gorman.02	Floral has reviewed sensory paths from three independent origins.	No source validates tea, jasmine, or full-range synonymy.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
promotion.round3h.10	membership.roast-spice-smoke.smoke	PROMOTE_CROSS_SOURCE	SOURCE_LOCAL_SUPPORTED	CROSS_SOURCE_SUPPORTED	family.liberica-ratapanel-2025;family.gorman-milk-consumers-2021	claim.liberica.membership.smoke.supports;claim.round3h.gorman.03	Smoky has reviewed paths from two independent origins.	Roasted, burnt, and smoky remain separate constructs.	ROUND3H_EVIDENCE_SPECIFIC_PROMOTION_V1
