evidence_claim_key	target_entity_type	target_entity_key	source_family_key	source_key	snapshot_key	evidence_basis	evidence_direction	evidence_scope	evidence_locator	method	configuration_json	support_count	document_count	source_diversity	review_status	limitation
claim.round3h.iswaldi.01	ASSOCIATION_RANGE	acidity-character	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Iswaldi 2026 Table 3	Direct acidity ratings vary by origin, roast, and brew.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Observed consumer acidity structure supports research but not citrus membership by itself.
claim.round3h.iswaldi.02	ASSOCIATION_RANGE	texture-body-drying	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	COFFEE_SENSORY_STUDY	MIXED	SOURCE_LOCAL	Iswaldi 2026 Table 3	Direct mouthfeel ratings vary by context.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Mouthfeel is measured without drying or silky subtypes.
claim.round3h.iswaldi.03	ASSOCIATION_RANGE	roast-spice-smoke	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	COFFEE_SENSORY_STUDY	CHALLENGES	SOURCE_LOCAL	Iswaldi 2026 Table 3	Roast changes multiple measured attributes without a combined roast-smoke variable.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Roast condition is not a sensory synonym.
claim.round3h.iswaldi.04	QUESTION_TARGET	question-range.bright-acidity.acidity-character	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Iswaldi 2026 Table 3	Naive consumers used an acidity intensity response across observed coffees.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Does not validate project wording or comprehension.
claim.round3h.iswaldi.05	QUESTION_TARGET	question-range.acidity-character.acidity-character	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Iswaldi 2026 Table 3	Direct acidity ratings provide an independent research construct.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	User response reliability for Atlas prompts remains unknown.
claim.round3h.iswaldi.06	QUESTION_TARGET	question-range.texture-character.texture-body-drying	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Iswaldi 2026 Table 3	Mouthfeel was directly rated by naive consumers.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	Only a broad source construct is supported.
claim.round3h.iswaldi.07	QUESTION_TARGET	question-range.roast-direction.roast-spice-smoke	family.iswaldi-rataconsumers-2026	scielo.iswaldi-2026	snapshot.scielo-iswaldi-2026.vor	QUESTION_WORDING_EVIDENCE	SUPPORTS	SOURCE_LOCAL	Iswaldi 2026 Table 3	Three observed roast levels produced sensory differences.	{"round":"3H","source_local":true,"pooled":false}	12	1	1	REVIEWED	This supports a roast research target, not an answer scale.
claim.round3h.vezzulli.01	MEMBERSHIP	membership.cocoa-nut-caramel.cocoa	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Cocoa is a measured source descriptor across eight extraction cells.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Exact-term source-local support does not validate the full range.
claim.round3h.vezzulli.02	MEMBERSHIP	membership.cocoa-nut-caramel.caramel	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Caramel is a measured source descriptor across eight extraction cells.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Exact-term source-local support only.
claim.round3h.vezzulli.03	MEMBERSHIP	membership.cocoa-nut-caramel.honey	family.vezzulli-trainedpanel-2022	pmc.vezzulli-2022	snapshot.pmc8953325.xml	SOURCE_DEFINED_GROUPING	SUPPORTS	SOURCE_LOCAL	Vezzulli 2022 Table 2	Honey is a measured source descriptor across eight extraction cells.	{"round":"3H","source_local":true,"pooled":false}	8	1	1	REVIEWED	Exact-term source-local support only.
