construct_key	source_family_key	source_key	raw_construct	normalized_construct	construct_type	source_method	model_use_status	public_export_decision	limitation
construct.condelli.01	family.condelli-consumer-cata-2022	pmc.condelli-2022	strong	strong	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.02	family.condelli-consumer-cata-2022	pmc.condelli-2022	delicate	delicate	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.03	family.condelli-consumer-cata-2022	pmc.condelli-2022	balanced	balanced	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.04	family.condelli-consumer-cata-2022	pmc.condelli-2022	long aftertaste	long aftertaste	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.05	family.condelli-consumer-cata-2022	pmc.condelli-2022	tobacco	tobacco	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.06	family.condelli-consumer-cata-2022	pmc.condelli-2022	caramel	caramel	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.07	family.condelli-consumer-cata-2022	pmc.condelli-2022	liquorice	liquorice	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.08	family.condelli-consumer-cata-2022	pmc.condelli-2022	chocolate	chocolate	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.09	family.condelli-consumer-cata-2022	pmc.condelli-2022	nutty	nutty	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.10	family.condelli-consumer-cata-2022	pmc.condelli-2022	roasted	roasted	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.11	family.condelli-consumer-cata-2022	pmc.condelli-2022	burnt	burnt	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.12	family.condelli-consumer-cata-2022	pmc.condelli-2022	earthy	earthy	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.13	family.condelli-consumer-cata-2022	pmc.condelli-2022	grassy	grassy	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.14	family.condelli-consumer-cata-2022	pmc.condelli-2022	citrus	citrus	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.15	family.condelli-consumer-cata-2022	pmc.condelli-2022	bitter	bitter	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.16	family.condelli-consumer-cata-2022	pmc.condelli-2022	sweet	sweet	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.17	family.condelli-consumer-cata-2022	pmc.condelli-2022	acidic	acidic	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.condelli.18	family.condelli-consumer-cata-2022	pmc.condelli-2022	astringent	astringent	CONSUMER_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Instrument term supports research structure, not Atlas wording validation.
construct.heo.01	family.heo-coldbrew-consumers-2019	pmc.heo-2019	acrid	acrid	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.02	family.heo-coldbrew-consumers-2019	pmc.heo-2019	ashy	ashy	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.03	family.heo-coldbrew-consumers-2019	pmc.heo-2019	bitter	bitter	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.04	family.heo-coldbrew-consumers-2019	pmc.heo-2019	burnt	burnt	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.05	family.heo-coldbrew-consumers-2019	pmc.heo-2019	dark chocolate	dark chocolate	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.06	family.heo-coldbrew-consumers-2019	pmc.heo-2019	grain	grain	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.07	family.heo-coldbrew-consumers-2019	pmc.heo-2019	hazelnut	hazelnut	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.08	family.heo-coldbrew-consumers-2019	pmc.heo-2019	longevity	longevity	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.09	family.heo-coldbrew-consumers-2019	pmc.heo-2019	medicinal	medicinal	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.10	family.heo-coldbrew-consumers-2019	pmc.heo-2019	mouth drying	mouth drying	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.11	family.heo-coldbrew-consumers-2019	pmc.heo-2019	musty/earthy	musty/earthy	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.12	family.heo-coldbrew-consumers-2019	pmc.heo-2019	nutty	nutty	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.13	family.heo-coldbrew-consumers-2019	pmc.heo-2019	overall impact	overall impact	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.14	family.heo-coldbrew-consumers-2019	pmc.heo-2019	roasted	roasted	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.15	family.heo-coldbrew-consumers-2019	pmc.heo-2019	sour	sour	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.16	family.heo-coldbrew-consumers-2019	pmc.heo-2019	sour aromatics	sour aromatics	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.heo.17	family.heo-coldbrew-consumers-2019	pmc.heo-2019	woody	woody	OBSERVED_REDUCED_TERM	CATA	PREBUILD_ONLY	PUBLIC_AGGREGATE	Reduced observed term set only; the full antecedent-derived 108-term list is not republished.
construct.cuality.01	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	overall quality score	overall quality score	GENERIC_MEASURE_ARCHITECTURE	JAR_CATA_OPEN_RESPONSE	PREBUILD_ONLY	PUBLIC_GENERIC_ARCHITECTURE	Trademarked name, scorecard, logos, and trade dress are excluded.
construct.cuality.02	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	color JAR adequacy	color JAR adequacy	GENERIC_MEASURE_ARCHITECTURE	JAR_CATA_OPEN_RESPONSE	PREBUILD_ONLY	PUBLIC_GENERIC_ARCHITECTURE	Trademarked name, scorecard, logos, and trade dress are excluded.
construct.cuality.03	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	roast-level JAR adequacy	roast-level JAR adequacy	GENERIC_MEASURE_ARCHITECTURE	JAR_CATA_OPEN_RESPONSE	PREBUILD_ONLY	PUBLIC_GENERIC_ARCHITECTURE	Trademarked name, scorecard, logos, and trade dress are excluded.
construct.cuality.04	family.coffee-cuality-experts-2026	pmc.coffee-cuality-2026	flavor JAR adequacy	flavor JAR adequacy	GENERIC_MEASURE_ARCHITECTURE	JAR_CATA_OPEN_RESPONSE	PREBUILD_ONLY	PUBLIC_GENERIC_ARCHITECTURE	Trademarked name, scorecard, logos, and trade dress are excluded.
