review_item_id	decision	decision_allowed_values	output_tier	output_tier_allowed_values	answer_effect	answer_effect_allowed_values	rationale	reviewer	review_date	lineage_paths
product-review:001		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:002		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:003		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:004		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:005		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:006		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:007		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:008		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:009		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:010		approve|reject|revise|defer		main|secondary|exploratory-only|neutral		supports|contradicts|insufficient evidence				db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
