inference_case_id	case_type	preparation_family_key	roast_code	selected_question_axis_ids	question_count	stopped_before_q4	main_concept_ids	secondary_concept_ids	main_output_count	secondary_output_count	abstention_codes	override_observed	candidate_state_before_json	candidate_state_after_json	decision_score_semantics	policy_version	lineage_paths	next_question_axis_id	question_trace_json	result_state
context-01-01	CONTEXT_ONLY	preparation.family.filter_percolation	extremely_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-01-02	CONTEXT_ONLY	preparation.family.filter_percolation	light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-01-03	CONTEXT_ONLY	preparation.family.filter_percolation	medium_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-01-04	CONTEXT_ONLY	preparation.family.filter_percolation	medium		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-01-05	CONTEXT_ONLY	preparation.family.filter_percolation	medium_dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-01-06	CONTEXT_ONLY	preparation.family.filter_percolation	dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-01-07	CONTEXT_ONLY	preparation.family.filter_percolation	extremely_dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-01	CONTEXT_ONLY	preparation.family.immersion	extremely_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-02	CONTEXT_ONLY	preparation.family.immersion	light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-03	CONTEXT_ONLY	preparation.family.immersion	medium_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-04	CONTEXT_ONLY	preparation.family.immersion	medium		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-05	CONTEXT_ONLY	preparation.family.immersion	medium_dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-06	CONTEXT_ONLY	preparation.family.immersion	dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-02-07	CONTEXT_ONLY	preparation.family.immersion	extremely_dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-01	CONTEXT_ONLY	preparation.family.hybrid	extremely_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-02	CONTEXT_ONLY	preparation.family.hybrid	light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-03	CONTEXT_ONLY	preparation.family.hybrid	medium_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-04	CONTEXT_ONLY	preparation.family.hybrid	medium		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-05	CONTEXT_ONLY	preparation.family.hybrid	medium_dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-06	CONTEXT_ONLY	preparation.family.hybrid	dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-03-07	CONTEXT_ONLY	preparation.family.hybrid	extremely_dark		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-04-01	CONTEXT_ONLY	preparation.family.espresso_pressure	extremely_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-04-02	CONTEXT_ONLY	preparation.family.espresso_pressure	light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
context-04-03	CONTEXT_ONLY	preparation.family.espresso_pressure	medium_light		0	true			0	0	MANDATORY_Q1_UNANSWERED	false	"{""candidate_count"":20}"	"{""candidate_count"":0}"	UNCALIBRATED_DETERMINISTIC_DECISION_SCORE_NOT_PROBABILITY	product-inference-policy-v0.1.0	db/data/product-inference-v0/PRODUCT_CONCEPT_CANDIDATE.tsv|db/data/product-inference-v0/PRODUCT_CONTEXT_PRIOR.tsv|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv	floral_tea_reference	[]	NEEDS_MANDATORY_Q1
