review_item_id	priority	review_category	target_id	target_summary	decision_needed	suggested_action	owner_decision	owner_rationale	reviewer	review_date	lineage_paths
product-review:001	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.jasmine	Jasmine	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:002	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.rose	Rose	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:003	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.orange_blossom	Orange Blossom	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:004	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.lemon	Lemon	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:005	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.orange	Orange	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:006	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.blueberry	Blueberry	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:007	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.honey	Honey	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:008	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.caramel	Caramel	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:009	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.brown_sugar	Brown Sugar	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:010	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.almond	Almond	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:011	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.hazelnut	Hazelnut	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:012	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.dark_chocolate	Dark Chocolate	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:013	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.cinnamon	Cinnamon	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:014	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.tobacco	Tobacco	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:015	HIGH	MAIN_SECONDARY_BOUNDARY	sensory.smoky	Smoky	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
product-review:016	HIGH	QUESTION_AXIS_PARTITION	family_direction	broad descriptor-family direction	combined family options are research constructs						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:017	HIGH	QUESTION_AXIS_PARTITION	fruit_region	specific fruit reference region	named fruit does not establish perceptual equivalence						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:018	HIGH	QUESTION_AXIS_PARTITION	browned_sweet_reference	browned sweet, cocoa, or nut reference	sweet taste and sweet-associated references remain distinct						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:019	HIGH	QUESTION_AXIS_PARTITION	floral_tea_reference	floral or tea reference	floral and tea are not treated as equivalent						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:020	HIGH	QUESTION_AXIS_PARTITION	roast_smoke_reference	spice, smoke, or wood reference	roasted, burnt, smoky, and ashy remain distinct source constructs						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:021	HIGH	QUESTION_AXIS_PARTITION	fermentation_character	earthy, fermented, or wine-like reference	process-linked language requires contextual interpretation						db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/round3g/question_target_reviews.tsv
product-review:022	HIGH	QUESTION_AXIS_PARTITION	acidity_character	citrus-like versus other fruit-associated acidity reference	citrus descriptors are not acidity measurements						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:023	HIGH	QUESTION_AXIS_PARTITION	texture_character	mouthfeel and tactile sensation	no admitted candidate concepts in this flavor-only simulator						db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
product-review:024	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:extremely_light:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:025	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:extremely_light:sensory.caramel	sensory.caramel	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
product-review:026	HIGH	CONTEXT_PRIOR_DISAGREEMENT	prior:preparation.family.filter_percolation:light:sensory.honey	sensory.honey	WEAK_SOURCE_LOCAL_WITHIN_STUDY_DIFFERENCE						db/022_round3b_context_governance.sql|db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
