inference_case_id	case_type	preparation_family_key	roast_code	answers_json	open_set_expression	locale	expected_policy_state	gold_descriptor_labels	lineage_paths
context-01-01	CONTEXT_ONLY	preparation.family.filter_percolation	extremely_light	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-01-02	CONTEXT_ONLY	preparation.family.filter_percolation	light	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-01-03	CONTEXT_ONLY	preparation.family.filter_percolation	medium_light	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-01-04	CONTEXT_ONLY	preparation.family.filter_percolation	medium	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-01-05	CONTEXT_ONLY	preparation.family.filter_percolation	medium_dark	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-01-06	CONTEXT_ONLY	preparation.family.filter_percolation	dark	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-01-07	CONTEXT_ONLY	preparation.family.filter_percolation	extremely_dark	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-01	CONTEXT_ONLY	preparation.family.immersion	extremely_light	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-02	CONTEXT_ONLY	preparation.family.immersion	light	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-03	CONTEXT_ONLY	preparation.family.immersion	medium_light	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-04	CONTEXT_ONLY	preparation.family.immersion	medium	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-05	CONTEXT_ONLY	preparation.family.immersion	medium_dark	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-06	CONTEXT_ONLY	preparation.family.immersion	dark	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
context-02-07	CONTEXT_ONLY	preparation.family.immersion	extremely_dark	[]		en	NEEDS_MANDATORY_Q1		docs/product/PRODUCT_CONTRACT_V0.md|db/022_round3b_context_governance.sql
