explanation_id	inference_case_id	canonical_concept_id	output_tier	deterministic_rank	decision_score	direct_evidence_component	effective_record_component	source_diversity_component	context_component	answer_component	governed_semantic_component	structured_contrast_component	typed_answer_effects	rights_state	review_state	redundancy_decision	uncertainty_note	human_readable_explanation	lineage_paths
explanation:answer-update-01:main:1	answer-update-01	sensory.caramel	main	1	9.185000	2.500000	2.000000	0.750000	-0.065000	3.000000	0.000000	0.500000	supports|neutral|neutral|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:browned_sweet	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Caramel is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:main:2	answer-update-01	sensory.dark_chocolate	main	2	8.877524	2.142221	1.735302	1.000000	0.000000	3.000000	0.000000	0.500000	supports|neutral|neutral|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:cocoa	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Dark Chocolate is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:main:3	answer-update-01	sensory.honey	main	3	8.862951	2.275054	1.887897	0.750000	-0.050000	3.000000	0.000000	0.500000	supports|neutral|neutral|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:honey	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Honey is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:main:4	answer-update-01	sensory.jasmine	main	4	8.640823	2.124880	1.765943	0.750000	0.000000	3.000000	0.000000	0.500000	neutral|neutral|neutral|supports	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:white_floral	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Jasmine is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:main:5	answer-update-01	sensory.blueberry	main	5	8.031422	1.936900	1.594522	1.000000	0.000000	3.000000	0.000000	0.000000	neutral|neutral|supports|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:berry	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Blueberry is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:secondary:1	answer-update-01	sensory.cinnamon	secondary	1	7.342710	1.819681	1.523030	0.500000	0.000000	3.000000	0.000000	0.000000	neutral|supports|neutral|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:warming_spice	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Cinnamon is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:secondary:2	answer-update-01	sensory.almond	secondary	2	7.293865	1.795564	1.498302	0.500000	0.000000	3.000000	0.000000	0.000000	supports|neutral|neutral|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:tree_nut	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Almond is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-01:secondary:3	answer-update-01	sensory.tobacco	secondary	3	6.853738	1.609976	1.243763	0.500000	0.000000	3.000000	0.000000	0.000000	neutral|supports|neutral|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:wood_tobacco	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Tobacco is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-02:main:1	answer-update-02	sensory.caramel	main	1	9.250000	2.500000	2.000000	0.750000	0.000000	3.000000	0.000000	0.500000	neutral|supports|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:browned_sweet	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Caramel is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
explanation:answer-update-02:main:2	answer-update-02	sensory.honey	main	2	8.912951	2.275054	1.887897	0.750000	0.000000	3.000000	0.000000	0.500000	neutral|supports|neutral	PUBLIC_RESEARCH_SIMULATION_ELIGIBLE_PRODUCT_DEPLOYMENT_UNKNOWN	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	SELECTED_ONE_FROM_GROUP:honey	Heuristic policy output; not a probability, scientific validation result, or production authorization.	Honey is retained because explicit answer support and direct professional evidence remain after rights and redundancy checks.	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts|db/data/product-inference-v0/PRODUCT_ANSWER_EFFECT.tsv
