answer_effect_id	question_axis_id	option_id	canonical_concept_id	effect_type	decision_score_adjustment	effect_basis	structured_negative_evidence	nonmention_used_as_negative	review_status	lineage_paths
effect:family_direction:floral_tea:sensory.jasmine	family_direction	floral_tea	sensory.jasmine	supports	3.000000	EXPLICIT_SELECTED_OPTION	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.rose	family_direction	floral_tea	sensory.rose	supports	3.000000	EXPLICIT_SELECTED_OPTION	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.orange_blossom	family_direction	floral_tea	sensory.orange_blossom	supports	3.000000	EXPLICIT_SELECTED_OPTION	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.lemon	family_direction	floral_tea	sensory.lemon	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.orange	family_direction	floral_tea	sensory.orange	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.blueberry	family_direction	floral_tea	sensory.blueberry	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.honey	family_direction	floral_tea	sensory.honey	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.caramel	family_direction	floral_tea	sensory.caramel	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.brown_sugar	family_direction	floral_tea	sensory.brown_sugar	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.almond	family_direction	floral_tea	sensory.almond	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.hazelnut	family_direction	floral_tea	sensory.hazelnut	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.dark_chocolate	family_direction	floral_tea	sensory.dark_chocolate	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.cinnamon	family_direction	floral_tea	sensory.cinnamon	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.tobacco	family_direction	floral_tea	sensory.tobacco	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.smoky	family_direction	floral_tea	sensory.smoky	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.green_tea	family_direction	floral_tea	sensory.green_tea	supports	3.000000	EXPLICIT_SELECTED_OPTION	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.cedar	family_direction	floral_tea	sensory.cedar	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
effect:family_direction:floral_tea:sensory.earthy	family_direction	floral_tea	sensory.earthy	neutral	0.000000	UNSELECTED_OR_UNRELATED_IS_NOT_NEGATIVE_EVIDENCE	false	false	OFFLINE_POLICY_FIXTURE_NOT_CALIBRATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
