abstention_rule_id	condition_code	behavior	explanation	fills_empty_slots	lineage_paths
abstention:no_rights_eligible_evidence	NO_RIGHTS_ELIGIBLE_EVIDENCE	abstain	No simulation-purpose rights-eligible supported candidate remains.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:insufficient_direct_support	INSUFFICIENT_DIRECT_SUPPORT	abstain_or_partial	Direct support is too weak for the requested tier.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:unresolved_semantic_mapping	UNRESOLVED_SEMANTIC_MAPPING	withhold	The target has no governed canonical mapping.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:only_review_required_relations	ONLY_REVIEW_REQUIRED_RELATIONS	exploratory_only	Review-required relations cannot independently justify main output.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:conflicting_user_answers	CONFLICTING_USER_ANSWERS	abstain	A single-select axis received incompatible explicit answers.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:c0_evidence_unavailable	C0_EVIDENCE_UNAVAILABLE	neutral_prior	Missing preparation evidence contributes zero adjustment.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:c1_evidence_unavailable	C1_EVIDENCE_UNAVAILABLE	neutral_prior	Missing or unreviewed roast evidence contributes zero adjustment.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:scores_too_close	SCORES_TOO_CLOSE	withhold_boundary	Ties are deterministic but not claimed scientifically separable.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:unknown_descriptor_target	UNKNOWN_DESCRIPTOR_TARGET	abstain	Unknown target enters open-set handling.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:open_set_expression	OPEN_SET_EXPRESSION	abstain	Unmapped expression is not forced into a known concept.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:insufficient_evidence_for_five_main	INSUFFICIENT_EVIDENCE_FOR_FIVE_MAIN	partial	Fewer than five main outputs is valid.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:insufficient_evidence_for_secondary	INSUFFICIENT_EVIDENCE_FOR_SECONDARY	partial	Zero to two secondary outputs is valid.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:mandatory_q1_unanswered	MANDATORY_Q1_UNANSWERED	needs_question	Context-only policy fixtures do not produce final outputs.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
abstention:product_deployment_rights_unknown	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN	deployment_block	Research simulation eligibility is not deployment authorization.	false	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
